name,id,tags,rarity,base price,stack size,cargo space,icon,sound id,sound id drop,plugin,plugin params,desc,order
Exodus Initiative Early Blueprint Package,loa_arkmid1_package,"package_bp, no_drop",,50000,1000,1,graphics/arkleg/icons/cargo/loa_arkmid1_package.png,ui_cargo_goods,ui_cargo_goods_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,loa_ark1_bp,"Detailed schematic drawings and digitized scans that collectively allow heavy industry to produce the curiously labeled 'Initiative 1' Hulls used by the Anarakis Reparations Society. Many of the materials contained within are physical in nature and are annotated in strange terminology, much to the dismay of factory foremen everywhere.",200
Exodus Initiative Middle Blueprint Package,loa_arkmid2_package,"package_bp, no_drop",,75000,1000,1,graphics/arkleg/icons/cargo/loa_arkmid2_package.png,ui_cargo_goods,ui_cargo_goods_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,loa_ark2_bp,"Detailed schematic drawings and digitized scans that collectively allow heavy industry to produce the curiously labeled 'Initiative 2 and 3' Hulls used by the Anarakis Reparations Society. Many of the materials contained within are physical in nature and are annotated in strange terminology, much to the dismay of factory foremen everywhere.",200
Exodus Initiative Late Blueprint Package,loa_arkmid3_package,"package_bp, no_drop",,150000,1000,1,graphics/arkleg/icons/cargo/loa_arkmid3_package.png,ui_cargo_goods,ui_cargo_goods_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,loa_ark3_bp,"Detailed schematic drawings and digitized scans that collectively allow heavy industry to produce the curiously labeled 'Initiative 4' Hulls used by the Anarakis Reparations Society. Many of the materials contained within are physical in nature and are annotated in strange terminology, much to the dismay of factory foremen everywhere.",200
Battlecruiser 01 Blueprint,loa_alastair_package,"package_bp, no_drop",,200000,1000,1,graphics/arkleg/icons/cargo/loa_alastair_package.png,ui_cargo_goods,ui_cargo_goods_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,loa_alastair_bp,"Detailed schematic drawings and digitized scans that collectively allow heavy industry to produce a 'Battlecruiser 01' Class battlecruiser, more commonly known as the Alastair. Many of the materials contained within are physical in nature and are annotated in strange terminology, much to the dismay of factory foremen everywhere.",200
Destroyer 06 Blueprint,loa_osmond_package,"package_bp, no_drop",,100000,1000,1,graphics/arkleg/icons/cargo/loa_osmond_package.png,ui_cargo_goods,ui_cargo_goods_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,loa_osmond_bp,"Detailed schematic drawings and digitized scans that collectively allow heavy industry to produce a 'Destroyer 06' Class heavy destroyer, more commonly known as the Osmond. Many of the materials contained within are physical in nature and are annotated in strange terminology, much to the dismay of factory foremen everywhere.",200
Exodus Initiative Armaments Blueprint Package,loa_arkmidw_package,"package_bp, no_drop",,100000,1000,1,graphics/arkleg/icons/cargo/loa_weapons_package.png,ui_cargo_goods,ui_cargo_goods_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,loa_arkmidw_bp,"Detailed schematic drawings and digitized scans that collectively allow heavy industry to produce the weapons used by the Anarakis Reparations Society. Many of the materials contained within are physical in nature and are annotated in strange terminology, much to the dismay of factory foremen everywhere.",200
Pellet Cannon Blueprint,loa_pelletcannon_package,"package_bp, no_drop",,50000,1000,1,graphics/arkleg/icons/cargo/loa_pelletcannon_package.png,ui_cargo_goods,ui_cargo_goods_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,loa_pelletcannon_bp,"Detailed schematic drawings and digitized scans that collectively allow heavy industry to produce the 'Pellet Cannon' Many of the materials contained within are physical in nature and are annotated in strange terminology, much to the dismay of factory foremen everywhere.",200
Monogram Shredder Blueprint Package,loa_mk2bigram_package,"package_bp, no_drop",,35000,1000,1,graphics/arkleg/icons/cargo/loa_mk2bigram_package.png,ui_cargo_goods,ui_cargo_goods_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,loa_mk2bigram_bp,"Detailed schematic drawings and digitized scans that collectively allow heavy industry to produce the 'Mk2 Bigram Railgun' Many of the materials contained within are physical in nature and are annotated in strange terminology, much to the dismay of factory foremen everywhere.",200
,,,,,,,,,,,,,
Warpshot Repeater Hacked Production Chip,loa_warpshot_package,"package_bp, no_drop",,15000,1000,1,graphics/arkleg/icons/cargo/loa_warpshot_package.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,loa_warpshot_bp,"A thorough hack job, what was once a production chip containing common baseline blueprints has been extensively reconfigured to read and translate data from an unknown source into something more readily usable. This has allowed it to produce something labeled as a Warpshot Repeater, provided one is willing to ignore the bevy of diagnostic warnings that pop up when this chip is plugged in. The level of firmware modifications that had to be made to make this possible have irrevocably bricked the chip for all other uses.",200
