name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Oogik,loalt_oogik,Patrol Ship,Colonial Initiative,loa_warspeed,5,1750,300,2000,,150,40,,120,110,90,60,90,200,OMNI,,90,0.4,1,,,15,25,30,25,1,25,10,9000,8,10,240,0.25,4,4,,,,,,,HIDE_IN_CODEX,,,0.4,2,2,,204
???,loalt_oogik_r,Frigate,Colonial Initiative,loa_warspeed,5,1750,300,2000,,150,40,,120,110,90,60,90,200,OMNI,,90,0.4,1,,,15,25,30,25,1,25,10,20000,8,10,240,0.25,4,4,,,,,,,HIDE_IN_CODEX,,,0.4,2,2,,204
Taath,loalt_taath,Heavy Patrol Ship,Colonial Initiative,al_chafflauncher,8,2250,500,4500,,350,50,,100,90,70,50,80,250,OMNI,,120,0.4,1.2,,,20,40,40,20,1,20,9,11000,8,10,300,0.25,5,5,,,,,,,HIDE_IN_CODEX,,,0.4,2,2,,204
????,loalt_taath_r,Heavy Frigate,Colonial Initiative,al_chafflauncher,8,2250,500,4500,,350,50,,100,90,70,50,80,250,OMNI,,120,0.4,1.2,,,20,40,40,20,1,20,9,11000,8,10,300,0.25,5,5,,,,,,,HIDE_IN_CODEX,,,0.4,2,2,,204
Nicke,loalt_nicke,Destroyer,Colonial Initiative,loa_ammo_swap,10,5000,750,7500,,450,85,,60,40,20,30,20,475,FRONT,,150,0.4,1.2,,,50,80,90,90,3,30,9,38000,5,12,420,0.25,10,10,,,,,,,HIDE_IN_CODEX,,,0.4,2,3,,303
?????,loalt_nicke_r,Destroyer,Colonial Initiative,loa_ammo_swap,10,5000,750,7500,,450,85,,60,40,20,30,20,475,FRONT,,150,0.4,1.2,,,50,80,90,90,3,30,9,65000,5,12,420,0.25,10,10,,,,,,,HIDE_IN_CODEX,,,0.4,2,3,,303
Eylamn,loalt_eylamn,Cruiser,Colonial Initiative,loa_warspeed3,14,8000,1200,10000,,700,150,,55,30,20,25,30,1100,FRONT,,180,0.4,1.2,,,125,150,150,150,5,30,8,120000,4,12,480,0.25,20,20,,,,,,,HIDE_IN_CODEX,,,0.5,2,3,,400
??????,loalt_eylamn_r,Cruiser,Colonial Initiative,loa_warspeed3,14,8000,1200,10000,,700,150,,55,30,20,25,30,1100,FRONT,,180,0.4,1.2,,,125,150,150,150,5,30,8,120000,4,12,480,0.25,20,20,,,,,,,HIDE_IN_CODEX,,,0.5,2,3,,400
#Alanqil,loalt_alanqil,Fleet Carrier,Colonial Initiative,,26,15000,1500,15000,,600,220,6,30,15,10,7,10,2250,OMNI,,180,0.4,1.2,,,700,1500,250,300,15,20,7,300000,3,15,720,0.25,40,40,,,,,,,CARRIER,,,0.5,2,3,,400
#Thlos,loalt_thlos,Battleship,Colonial Initiative,,26,20000,1750,25000,,1200,330,,30,15,10,5,5,2750,FRONT,,180,0.4,1.2,,,500,1000,300,400,15,26,7,275000,3,15,720,0.25,40,40,,,,,,,HIDE_IN_CODEX,,,0.5,2,3,,400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox,loamt_fox,Corvette,Exodus Initiative,al_magneticoverload,4,1000,100,1500,,75,35,,140,130,90,100,100,120,OMNI,,90,0.4,1,,,3,6,40,30,1,30,11,4500,5,10,200,0.25,2,2,,,,,,,,loa_ark2_bp,,0.75,2,2,,217
Fox (SE),loamtg_fox,Corvette,Anarakis Reparations Society,maneuveringjets,4,1000,100,1500,,75,35,,140,130,90,100,100,120,OMNI,,90,0.4,1,,,3,6,40,30,1,30,11,4500,5,10,200,0.25,2,2,,,,,,,,loa_arkg_bp,,0.75,2,2,,217
Fox (P),loamtp_fox,Corvette,Pirate,loa_redline,4,1000,200,1500,,75,45,,140,175,125,100,100,135,NONE,,0,0,0,,,3,6,40,30,1,30,11,4500,5,20,180,0.25,6,6,,,,,,,,loa_arkp_bp,,0.75,2,2,,217
Edith,loamt_edith,AWACS Frigate,Exodus Initiative,loa_awacs,11,2000,200,1500,,100,25,,120,100,80,60,80,200,OMNI,,90,0.4,1,,,20,25,30,35,1,35,10,35000,8,10,300,0.25,10,5,,,,,,,,"loa_ark3_bp, no_autofit",,0.4,2,2,,204
Walsh,loamt_walsh,Frigate,Exodus Initiative,loa_moe,7,1500,150,1250,,120,45,,130,125,85,60,80,200,OMNI,,90,0.4,1,,,10,15,75,35,1,35,10,12500,8,10,220,0.25,6,6,,,,,,,,loa_ark2_bp,,0.4,2,2,,204
Walsh (SE),loamtg_walsh,Frigate,Anarakis Reparations Society,ammofeed,7,1500,150,1250,,120,45,,130,125,85,60,80,200,OMNI,,90,0.4,1,,,10,15,75,35,1,35,10,12500,8,10,220,0.25,6,6,,,,,,,,loa_arkg_bp,,0.4,2,2,,204
Sherman,loamt_sherman,Frigate,Exodus Initiative,al_magplating,5,2250,600,1500,,100,50,,120,100,80,60,80,300,OMNI,,90,0.4,1,,,15,20,50,35,1,35,10,17500,8,10,240,0.25,4,4,,,,,,,,loa_ark1_bp,,0.4,2,2,,204
Reid,loamt_reid,Heavy Frigate,Exodus Initiative,al_magneticoverload,8,2500,250,2000,,200,60,,120,90,50,40,55,300,OMNI,,90,0.4,1,,,25,35,50,70,2,35,10,27500,5,10,240,0.25,7,7,,,,,,,,loa_ark3_bp,0.25,0.5,2,3,,300
Ike,loa_ike,Assault Shuttle,Anarakis Reparations Society,maneuveringjets,4,2000,100,1250,,75,40,,120,125,85,40,50,250,OMNI,,90,0.4,1,,,5,55,50,35,1,35,10,20000,8,10,220,0.25,3,3,,,,,,,,loa_ark1_bp,,0.4,2,2,,204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor,loamt_thatcher,Light Destroyer,Exodus Initiative,loa_moe,9,3500,300,4000,,150,85,,90,60,40,35,45,350,OMNI,,90,0.4,1,,,30,35,90,70,2,35,10,36000,5,12,360,0.25,8,8,,,,,,,,loa_ark1_bp,,0.4,2,3,,303
Taylor (SE),loamtg_thatcher,Light Destroyer,Anarakis Reparations Society,maneuveringjets,9,3500,300,4000,,150,85,,90,60,40,35,45,350,OMNI,,90,0.4,1,,,30,35,90,70,2,35,10,36000,5,12,360,0.25,8,8,,,,,,,,loa_arkg_bp,,0.4,2,3,,303
Taylor (P),loamtp_thatcher,Escort Carrier,Pirate,fastmissileracks,9,3500,300,4000,,150,90,,90,60,40,35,45,350,OMNI,,90,0.4,1,,,30,35,25,70,2,35,10,36000,5,12,360,0.25,10,10,,,,,,,,loa_arkp_bp,,0.4,2,3,,303
Norwood,loamt_norwood,Combat Tanker,Exodus Initiative,loa_hotracks,9,4000,350,3000,,100,60,,80,50,25,25,30,400,OMNI,,90,0.4,1,,,40,45,50,300,2,150,9,36000,5,12,360,0.25,9,9,,,,,,,,loa_ark1_bp,,0.4,2,3,,303
Burke,loamt_burke,Destroyer,Exodus Initiative,loa_flakcurtain,10,5000,700,4000,,200,95,,60,40,15,20,30,400,OMNI,,90,0.4,1,,,35,40,100,70,2,35,9,38000,5,12,420,0.25,9,9,,,,,,,,loa_ark2_bp,,0.5,2,3,,300
Burke (P),loamtp_burke,Destroyer,Pirate,flarelauncher,10,5000,700,4000,,200,85,,60,40,15,20,30,400,OMNI,,90,0.4,1,,,35,40,100,70,2,35,9,38000,5,12,420,0.25,9,9,,,,,,,,loa_arkp_bp,0.5,0.5,2,3,,300
Victoria,loamt_victoria,Destroyer,Exodus Initiative,al_tacticalscan,11,5000,400,4000,,250,105,,90,60,30,30,40,400,OMNI,,90,0.4,1,,,35,40,100,70,2,35,9,42500,5,12,360,0.25,10,10,,,,,,,,loa_ark1_bp,,0.5,2,3,,300
Osmond,loamt_osmond,Heavy Destroyer,Exodus Initiative,loa_osmondsweb,12,5500,500,5000,,300,120,,85,50,25,25,30,600,OMNI,,90,0.4,1,,,50,60,120,70,2,35,9,60000,5,15,360,0.25,13,13,,,,,,,,loa_osmond_bp,0.5,0.5,2,3,,300
