id,type,frame,magnitude,map,path
,,,,,
,,,,,
al_deco_ace,turret,,2,normal,graphics/arkleg/shaders/ships/ace/al_ace_mask_n.png
,,,,,
loa_arscapitol_core,ship,,1,normal,graphics/arkleg/shaders/ships/arscapitol/loa_arscapitol_core_n.png
loa_arscapitol_prow,ship,,1,normal,graphics/arkleg/shaders/ships/arscapitol/loa_arscapitol_prow_n.png
loa_arscapitol_main_left,ship,,1,normal,graphics/arkleg/shaders/ships/arscapitol/loa_arscapitol_main_left_n.png
loa_arscapitol_main_right,ship,,1,normal,graphics/arkleg/shaders/ships/arscapitol/loa_arscapitol_main_right_n.png
loa_arscapitol_shield_left,ship,,1,normal,graphics/arkleg/shaders/ships/arscapitol/loa_arscapitol_shield_left_n.png
loa_arscapitol_shield_right,ship,,1,normal,graphics/arkleg/shaders/ships/arscapitol/loa_arscapitol_shield_right_n.png
loa_arscapitol_engine,ship,,1,normal,graphics/arkleg/shaders/ships/arscapitol/loa_arscapitol_engine_n.png
,,,,,
loa_arsstation_core,ship,,1,normal,graphics/arkleg/shaders/ships/station/ars/loa_ars_station_core_n.png
loa_arsstation_core2,ship,,1,normal,graphics/arkleg/shaders/ships/station/ars/loa_ars_station_core_n.png
loa_arsstation_core3,ship,,1,normal,graphics/arkleg/shaders/ships/station/ars/loa_ars_station_core_n.png
loa_module_ars_small,ship,,1,normal,graphics/arkleg/shaders/ships/station/ars/loa_module_small_n.png
loa_module_ars_big,ship,,1,normal,graphics/arkleg/shaders/ships/station/ars/loa_module_big_n.png
loa_module_ars_support,ship,,1,normal,graphics/arkleg/shaders/ships/station/ars/loa_module_support_n.png
loa_module_ars_annex,ship,,1,normal,graphics/arkleg/shaders/ships/station/ars/loa_module_annex_n.png
loa_asteroiddrone,ship,,1,normal,graphics/arkleg/shaders/ships/station/ars/loa_asteroid_drone_n.png
,,,,,
loa_gigaton,turret,,2,normal,graphics/arkleg/shaders/weapons/gigaton/loa_gigaton_turret_base_n.png
,,,,,
loamt_alastair,ship,,2,normal,graphics/arkleg/shaders/ships/alastair/loa_alastair_n.png
al_deco_ala_missileshadow_left,turret,,2,normal,graphics/arkleg/weapons/al_inviswep.png
al_deco_ala_missileshadow_left,turret,,,material,graphics/arkleg/weapons/al_inviswep.png
al_deco_ala_missileshadow_left,turret,,,surface,graphics/arkleg/weapons/al_inviswep.png
al_deco_ala_missileshadow_right,turret,,2,normal,graphics/arkleg/weapons/al_inviswep.png
al_deco_ala_missileshadow_right,turret,,,material,graphics/arkleg/weapons/al_inviswep.png
al_deco_ala_missileshadow_right,turret,,,surface,graphics/arkleg/weapons/al_inviswep.png
al_deco_ala_gunshadow_left,turret,,2,normal,graphics/arkleg/weapons/al_inviswep.png
al_deco_ala_gunshadow_left,turret,,,material,graphics/arkleg/weapons/al_inviswep.png
al_deco_ala_gunshadow_left,turret,,,surface,graphics/arkleg/weapons/al_inviswep.png
al_deco_ala_gunshadow_right,turret,,2,normal,graphics/arkleg/weapons/al_inviswep.png
al_deco_ala_gunshadow_right,turret,,,material,graphics/arkleg/weapons/al_inviswep.png
al_deco_ala_gunshadow_right,turret,,,surface,graphics/arkleg/weapons/al_inviswep.png
