name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siege Cannon,al_nuclearlauncher,5,,0,5000,,1000,,10,0,0,3,,,HIGH_EXPLOSIVE,200,,0,25,1,,,,,,,800,800,12,250,,,"STRIKE,CONSERVE_1,SYSTEM",,,Exodus Initiative,,Strike,,,,,Detonation generates an omnidirectional spray of %s fragments each dealing %s HE damage.,16 | 100,Warhead will detonate a set distance away from its primary target.,,,
Siege Cannon,loa_siegecannon_l,5,,0,5000,,1000,,10,0,0,,,,HIGH_EXPLOSIVE,500,,0,25,1,,,,,,,800,800,12,250,,,"STRIKE,USE_VS_FRIGATES,SYSTEM",,,Exodus Initiative,,Strike,,,,,Detonation generates an omnidirectional spray of %s fragments each dealing %s HE damage.,16 | 100,Warhead will detonate a set distance away from its primary target.,,,
Siege Cannon,loa_siegecannon_v,5,,0,5000,,1000,,10,0,0,,,,HIGH_EXPLOSIVE,500,,0,25,1,,,,,,,800,800,12,250,,,"STRIKE,USE_VS_FRIGATES,SYSTEM",,,Exodus Initiative,,Strike,,,,,Detonation generates an omnidirectional spray of %s fragments each dealing %s HE damage.,16 | 100,Warhead will detonate a set distance away from its primary target.,,,
Siege Cannon,loa_siegecannon_w,5,,0,5000,,1000,,10,0,0,,,,HIGH_EXPLOSIVE,500,,0,25,1,,,,,,,800,800,12,250,,,"STRIKE,USE_VS_FRIGATES,SYSTEM",,,Exodus Initiative,,Strike,,,,,Detonation generates an omnidirectional spray of %s fragments each dealing %s HE damage.,16 | 100,Warhead will detonate a set distance away from its primary target.,,,
Siege Cannon,al_nuclearcannon,5,,0,5000,,1000,,10,0,0,,,,HIGH_EXPLOSIVE,500,,0,25,1,,,,,,,800,800,12,250,,,"STRIKE,SYSTEM",,,Exodus Initiative,,Strike,,,,,Detonation generates an omnidirectional spray of %s fragments each dealing %s HE damage.,16 | 100,Warhead will detonate a set distance away from its primary target.,,,
Siege Cannon,al_nuclearburstcannon,5,,0,5000,,1000,,10,0,0,4,0.08,,HIGH_EXPLOSIVE,500,,0,2,1,,,,,,,800,800,12,250,,,"STRIKE,SYSTEM",,,Exodus Initiative,,Strike,,,,,Detonation generates an omnidirectional spray of %s fragments each dealing %s HE damage.,16 | 100,Warhead will detonate a set distance away from its primary target.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Pellet Gun,al_pelletdriver,2,0.2,750,800,,250,0,40,9,8,,,,KINETIC,250,,0.5,1.5,,,,,,,,1000,,,300,,,,"kinetic9, LR, loa_arkmidw_bp",,Exodus Initiative,,Anti Shield,,,,,"Damage is spread across 5 linear submunitions, each dealing less damage than the one before it.",,,,,
Pellet Gun,al_pelletgun,2,0.2,2500,1000,,700,0,75,7,13,,,,KINETIC,800,,0.5,4,,,,,,,,1000,,,300,,,,"kinetic15, LR, loa_arkmidw_bp",,Exodus Initiative,,Anti Shield,,,,,"Damage is spread across 7 linear submunitions, each dealing less damage than the one before it.",,,,,
