fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab
#ITEM DESTRUCTION,,,,,,,,
shu_itemdestructionHeader,Item Destruction Toggle Header,Header,Item Destruction Toggle,,,,,
shu_itemdestructionToggle,Toggle Item Destruction,Boolean,False,,"Disables the destruction of AI cores and colony items when the ship is disabled or destroyed in combat. Set it to true to turn off the item loss penalty.

[Default]: False",,,
,,,,,,,,
#SUBSYSTEMS,,,,,,,,
shu_subsystemHeader,Subsystem Hotkey Header,Header,Hullmod Subsystem Hotkey,,,,,
shu_subsystemHotkey,Subsystem Hotkey,String,C,,"Assign a different hotkey for the special hullmods with subsystem function.

[Recommended]: R, LSHIFT, LMENU (Left ALT), LCONTROL

[Note]: Must be capitalized and double check your input after saving the change.

[Default]: C",,,
,,,,,,,,
,,,,,,,,
#CUSTOM STATS MODE,,,,,,,,
shu_customStatsModeHeader,Custom Stats Mode Toggle Header,Header,Custom Stats Mode Toggle,,,,,Custom Stats
shu_customStatsModeToggle,Toggle Custom Stats Mode,Boolean,False,,"Set this to true first in order for the custom stats to take effect.

[Default]: False",,,Custom Stats
,,,,,,,,
#AI CORES,,,,,,,,
shu_alphaCore,Armament Support System (Alpha),Header,Armament Support System (Alpha),,,,,Custom Stats
LUNA_CM_ALPHA_AUTOFIRE_BONUS,ALPHA_AUTOFIRE_BONUS,Double,60,,"Autofire accuracy bonus.

[Default]: 60",0,500,Custom Stats
LUNA_CM_ALPHA_TURRET_TURN_BONUS,ALPHA_TURRET_TURN_BONUS,Double,70,,"Turret turn bonus.

[Default]: 70",0,500,Custom Stats
LUNA_CM_ALPHA_COST_REDUCTION_LG,ALPHA_COST_REDUCTION_LG,Double,4,,"Reduces OP cost for non-missile large weapon.

[Default]: 4",0,50,Custom Stats
LUNA_CM_ALPHA_COST_REDUCTION_MED,ALPHA_COST_REDUCTION_MED,Double,3,,"Reduces OP cost for non-missile medium weapon.

[Default]: 3",0,50,Custom Stats
LUNA_CM_ALPHA_COST_REDUCTION_SM,ALPHA_COST_REDUCTION_SM,Double,2,,"Reduces OP cost for non-missile small weapon.

[Default]: 2",0,50,Custom Stats
,,,,,,,,
shu_betaCore,Armament Support System (Beta),Header,Armament Support System (Beta),,,,,Custom Stats
LUNA_CM_BETA_AUTOFIRE_BONUS,BETA_AUTOFIRE_BONUS,Double,30,,"Autofire accuracy bonus.

[Default]: 30",0,500,Custom Stats
LUNA_CM_BETA_TURRET_TURN_BONUS,BETA_TURRET_TURN_BONUS,Double,50,,"Turret turn bonus.

[Default]: 50",0,500,Custom Stats
LUNA_CM_BETA_COST_REDUCTION_LG,BETA_COST_REDUCTION_LG,Double,2,,"Reduces OP cost for non-missile large weapon.

[Default]: 2",0,50,Custom Stats
LUNA_CM_BETA_COST_REDUCTION_MED,BETA_COST_REDUCTION_MED,Double,2,,"Reduces OP cost for non-missile medium weapon.

[Default]: 2",0,50,Custom Stats
LUNA_CM_BETA_COST_REDUCTION_SM,BETA_COST_REDUCTION_SM,Double,2,,"Reduces OP cost for non-missile small weapon.

[Default]: 2",0,50,Custom Stats
,,,,,,,,
shu_gammaCore,Armament Support System (Gamma),Header,Armament Support System (Gamma),,,,,Custom Stats
LUNA_CM_GAMMA_AUTOFIRE_BONUS,GAMMA_AUTOFIRE_BONUS,Double,15,,"Autofire accuracy bonus.

[Default]: 15",0,500,Custom Stats
LUNA_CM_GAMMA_TURRET_TURN_BONUS,GAMMA_TURRET_TURN_BONUS,Double,30,,"Turret turn bonus.

[Default]: 30",0,500,Custom Stats
LUNA_CM_GAMMA_COST_REDUCTION_LG,GAMMA_COST_REDUCTION_LG,Double,2,,"Reduces OP cost for non-missile large weapon.

[Default]: 2",0,50,Custom Stats
LUNA_CM_GAMMA_COST_REDUCTION_MED,GAMMA_COST_REDUCTION_MED,Double,1,,"Reduces OP cost for non-missile medium weapon.

[Default]: 1",0,50,Custom Stats
LUNA_CM_GAMMA_COST_REDUCTION_SM,GAMMA_COST_REDUCTION_SM,Double,1,,"Reduces OP cost for non-missile small weapon.

[Default]: 1",0,50,Custom Stats
,,,,,,,,
#COLONY ITEMS,,,,,,,,
shu_corruptedNanoforge,Arsenal Autoforge,Header,Arsenal Autoforge (Corrupted Nanoforge),,,,,Custom Stats
LUNA_CM_CNANOFORGE_AMMO_BONUS,CNANOFORGE_AMMO_BONUS,Double,20,,"Increases ammo capacity of weapons.

[Default]: 20",0,500,Custom Stats
LUNA_CM_CNANOFORGE_MISSILE_AMMO_BONUS,CNANOFORGE_MISSILE_AMMO_BONUS,Double,30,,"Increases ammo capacity of missile weapons.

[Default]: 30",0,500,Custom Stats
,,,,,,,,
shu_pristineNanoforge,Arsenal Autoforge (Enhanced),Header,Arsenal Autoforge (Pristine Nanoforge),,,,,Custom Stats
LUNA_CM_PNANOFORGE_WEAPON_RELOAD_BONUS,PNANOFORGE_WEAPON_RELOAD_BONUS,Double,30,,"Decreases reload time of ammo-based weapons.

[Default]: 30",0,500,Custom Stats
LUNA_CM_PNANOFORGE_AMMO_BONUS,PNANOFORGE_AMMO_BONUS,Double,50,,"Increases ammo capacity of missile weapons.

[Default]: 50",0,500,Custom Stats
LUNA_CM_PNANOFORGE_MISSILE_AMMO_BONUS,PNANOFORGE_MISSILE_AMMO_BONUS,Double,100,,"Increases ammo capacity of missile weapons.

[Default]: 100",0,500,Custom Stats
,,,,,,,,
shu_biofactory,Biologic Commodity Replicator (Biofactory Embryo),Header,Biologic Commodity Replicator (Biofactory Embryo),,,,,Custom Stats
