id,type,text1,text2,text3,notes
#Mayawati,,,,,
illusiaskimmer7s,SHIP_SYSTEM,,Main System,"Teleports the vessel forwards, leaving behind an Illusia Clone",
paradox7s,SHIP_SYSTEM,,Defense,"Generates an anomalous field, which interferes with projectiles, missiles and phase mines inside of it, variable effects may occur with different entities. Grants protection against beam weapons.",
Ex7s_soulcrier,WEAPON,"""Anomalous flux readings around that main gun, it's like the whole ship's being pumped through i-""","- Battle report, recovered from ??? Riddance Bringer - cc203/??/07",,
Mayawati7s,SHIP,"An abnormality in the field of P-space, reaching what is described as the ""Breakpoint"", this ship seems to have used its entire structure as a phase dilatator, and ditched its anchors to dive further. While it is incapable of fully diving into P-space to cloak again after the ""Breakpoint Phenomena"", it seems to have ""fractured"" and partially exists in multiple areas of real space, creating incorporeal clones which fool any sensor that is not data linked to the craft it's self.",Unidentified Vessel,"// ERROR 404 //

Access denied.",
Mayawati7s_no_recovery,SHIP,"An abnormality in the field of P-space, reaching what is described as the ""Breakpoint"", this ship seems to have used its entire structure as a phase dilatator, and ditched its anchors to dive further. While it is incapable of fully diving into P-space to cloak again after the ""Breakpoint Phenomena"", it seems to have ""fractured"" and partially exists in multiple areas of real space, creating incorporeal clones which fool any sensor that is not data linked to the craft it's self.",Unidentified Vessel,"// ERROR 404 //

Access denied.",
#Spawn mechanics,forced me to,"do another mayawati, thanks Alex!",,,
,,,,,
,,,,,
#SHIPS,,,,,
tarantula7s,SHIP,"Following the conclusion of the Second AI War, the Persean League aimed to attain a more decisive victory against smaller ship classes, and to that end developed the Tarantula. The Tarantula is a ship equipped with an aggressive propulsion system that allows it to rapidly close in on enemies by diverting power from the shields to all other aspects, including the active aspect of it's armor, it's weaponry, and most importantly it's main engine for a massive forward boost. While the Tarantula is extremely effective at pursuing and killing smaller ships, the limited range of it's weaponry, coupled with the lack of firepower compared to other ships of it's size means that it is ineffective against equally sized or larger foes.",,,
elipsion7s,SHIP,"Facing significant financial losses following the events of the Battle of Forlorn Hope, the Tri-Tachyon Corporation standardized some aspects of their fleet composition to reduce running costs. To that end, the Elipsion class destroyer was developed, possessing a modular core that allows it to assume different roles in battle, with each core type wildly changing it's battlefield performance compared to others, albeit at the cost of friendly battlefield interference resulting in lower numbers being actually deployable.",,,
