name,id,tier,rarity,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,tech/manufacturer,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
#Phobos drone,,,,,,,,,,,,,,,,,,
Phobos Core,NES_PhobosCore,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_PhobosCore,I love u,"not ""terminator core""",graphics/hullmods/nes_phoboscore.png
,,,,,,,,,,,,,,,,,,
#Carnelian,,,,,,,,,,,,,,,,,,
Stormfeeder Array,NES_AafArray,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_AafArray,"Increases rate of fire and charge generation by %s,
Reduces flux use by %s,

Increases zero flux engine boost by %s su/s,
Increases ship's flux dissipation rate while venting by %s,

Drastically reduces weapon ranges past %s units,

Only affects non-missile weapons,
Incompatible with %s.",brrrt,graphics/hullmods/nes_aafarray.png
Carnelian Color Selector,NES_ColorSelector_Carn,,,,,,,TRUE,TRUE,,0,0,0,0,data.scripts.hullmods.NES_ColorSelector_Carn,The Last Hero,,
Hull Livery: Vintage,NES_Midline,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Carn_Midline,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_carnelian_hullmod_midline.png
Hull Livery: Reef,NES_Reef,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Carn_Reef,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_carnelian_hullmod_reef.png
Hull Livery: Scourge,NES_Toxic,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Carn_Toxic,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_carnelian_hullmod_toxic.png
Hull Livery: Turquoise,NES_Turquoise,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Carn_Turquoise,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_carnelian_hullmod_turquoise.png
Hull Livery: Navy,NES_Persean,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Carn_Persean,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_carnelian_hullmod_persean.png
Hull Livery: Recon,NES_Agent,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Carn_Agent,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_carnelian_hullmod_agent.png
,,,,,,,,,,,,,,,,,,
#Fluorspar,,,,,,,,,,,,,,,,,,
Crystalline Construction,NES_CrystalHull,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_CrystalHull,"Increases ship's flux dissipation rate while venting by %s,

Decreases the effect operating in a solar corona has on combat readiness by %s; also has the same effect against storms in deep hyperspace,
In combat, reduces energy damage taken by %s,

Crystalline structure constantly oscillates, drastically reducing weapon ranges past %s units,

The same effect, when amplified, intensifies beams and may cause a harmonic resonance whithin projectiles fired by the ship, increasing their destructive potential,

Incompatible with %s and %s.",,graphics/hullmods/nes_crystalhull.png
Volatile Shells,NES_VolatileShells,,,,,,,TRUE,TRUE,,0,0,0,0,data.scripts.hullmods.NES_VolatileShells,"That was your own fault
You should have paid attention
And looked through the lie.",QUAD DAMAGE,
Crystal Color Selector,NES_ColorSelector,,,,,,,TRUE,TRUE,,0,0,0,0,data.scripts.hullmods.NES_ColorSelector,The Colour of Magic,,
GEMLOCK: Phosphophyllite,NES_Phosphophyllite,,,no_build_in,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Phosphophyllite,"GEMLOCK experimental system allows reconfiguring crystalline core for a different color profile.

""By calibrating minute gravitic fluctuations in the allochromatic matrix we can exert control over the photons in ways previously thought impossible, and by extent light emission in the visible spectrum...""
  - Shou Ratana, lab notes",,graphics/hullmods/nes_fluorspar_hullmod_Phosphophyllite.png
GEMLOCK: Aquamarine,NES_Aquamarine,,,no_build_in,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Aquamarine,"GEMLOCK experimental system allows reconfiguring crystalline core for a different color profile.

""By calibrating minute gravitic fluctuations in the allochromatic matrix we can exert control over the photons in ways previously thought impossible, and by extent light emission in the visible spectrum...""
  - Shou Ratana, lab notes",,graphics/hullmods/nes_fluorspar_hullmod_Aquamarine.png
GEMLOCK: Amber,NES_Amber,,,no_build_in,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Amber,"GEMLOCK experimental system allows reconfiguring crystalline core for a different color profile.

""By calibrating minute gravitic fluctuations in the allochromatic matrix we can exert control over the photons in ways previously thought impossible, and by extent light emission in the visible spectrum...""
  - Shou Ratana, lab notes",,graphics/hullmods/nes_fluorspar_hullmod_Amber.png
GEMLOCK: Rose Quartz,NES_RoseQuartz,,,no_build_in,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_RoseQuartz,"GEMLOCK experimental system allows reconfiguring crystalline core for a different color profile.

""By calibrating minute gravitic fluctuations in the allochromatic matrix we can exert control over the photons in ways previously thought impossible, and by extent light emission in the visible spectrum...""
  - Shou Ratana, lab notes",,graphics/hullmods/nes_fluorspar_hullmod_RoseQuartz.png
GEMLOCK: Cinnabar,NES_Cinnabar,,,no_build_in,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Cinnabar,"GEMLOCK experimental system allows reconfiguring crystalline core for a different color profile.

""By calibrating minute gravitic fluctuations in the allochromatic matrix we can exert control over the photons in ways previously thought impossible, and by extent light emission in the visible spectrum...""
  - Shou Ratana, lab notes",,graphics/hullmods/nes_fluorspar_hullmod_Cinnabar.png
GEMLOCK: Bornite,NES_Iridescent,,,no_build_in,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Iridescent,"GEMLOCK experimental system allows reconfiguring crystalline core for a different color profile.

""By calibrating minute gravitic fluctuations in the allochromatic matrix we can exert control over the photons in ways previously thought impossible, and by extent light emission in the visible spectrum...""
  - Shou Ratana, lab notes",,graphics/hullmods/nes_fluorspar_hullmod_Iridescent.png
