id,trigger,conditions,script,text,options,notes
# relationship level descriptions,,,,,,
# PRV,,,,,,
relLevelCooperativePrv,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == prv",FireAll RelLevelMoreDescription,"Stories of your exploits inspire young blood across the prv into ever more reckless ambition, while the various houses move mercilessly against each other as they try to be the ones to guide your hand.",,
relLevelFriendlyPrv,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == prv",FireAll RelLevelMoreDescription,"You seem to have become a focal point in the political scheming inside the prv, with several houses trying to use you to further their latest plots. Few doors are closed to you.",,
relLevelWelcomingPrv,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == prv",FireAll RelLevelMoreDescription,"You’ve found yourself on the good side of a few nobles, who see you as a charming rogue and a reliable agent. You can expect to get away with some minor indescretions.",,
relLevelFavorablePrv,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == prv",FireAll RelLevelMoreDescription,"You’ve picked up a swagger and a sense of how things are done in the prv, a whiff of the winds of power. You find yourself bothering less and less with formal avenues, and meeting less resistance in turn.",,
relLevelNeutralPrv,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == prv",FireAll RelLevelMoreDescription,"The prv care little for you one way or another, and are unlikely to involve you in their schemes.",,
relLevelSuspiciousPrv,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == prv",FireAll RelLevelMoreDescription,"An unreliable agent, a less-than-charming rogue, and a killer for hire; you are not respected in the prv, but you are tolerated. For now.",,
relLevelInhospitablePrv,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == prv",FireAll RelLevelMoreDescription,"Having offended more than a few officials, your existence inside the prv sphere of influence is decidedly fragile. You are the very definition of a disposable asset.",,
relLevelHostilePrv,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == prv",FireAll RelLevelMoreDescription,"Intractable, arrogant, impossible, rude, crude, there is no end to the epithets you find used to describe your conduct. Having given up any hope of advantageously deploying your special talents against each other, the prv power brokers have decided that you are best eliminated.",,
relLevelVengefulPrvSF,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == prv
$player.fleetPoints >= 160",FireAll RelLevelMoreDescription,"You are nemesis, the bringer of divine punishment that has struck down the prv for their impudent arrogance. You are the rider on the pale horse, the bringer of death. You are the end of hope.",,
relLevelVengefulPrvLF,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == prv
$player.fleetPoints < 160",FireAll RelLevelMoreDescription,"In the war of assassins your exploits have left you as the one feared and hated the most. Seen as an almost metaphysical evil sent to mar the prv, a dark spirit that cannot be reasoned with, you are hunted at every turn.",,
,,,,,,
# PRV COMMISSION,,,,,,
CMSNTextRejectHostile_prv,CMSNTextRejectHostile,$faction.id == prv,,"""Oh, I like your attitude. Hah. No, those sins of yours do not wash away so easily.""",,
CMSNTextHasOther_prv,CMSNTextHasOther,$faction.id == prv,,"""We’re not currently looking for additional agents inside $theOtherCommissionFaction, so you’ll have to resign that commission before we can make use of you.",,
CMSNTextUnsuited_prv,CMSNTextUnsuited,$faction.id == prv,,"""I don’t really see what you’d be good for. Come back when you’ve shown some worth.""",,
CMSNTextSuitedPart1_prv,CMSNTextSuitedPart1,$faction.id == prv,,"""You’ve been useful to us so far, and we can make further use of you.

Working under a formal commission would entitle you do a monthly stipend, but you would lose any deniability as an independent operator, and anyone hostile to the corporation would regard you as an enemy.

If this should become inconvenient for our work you can request to be striken from the rolls at any time, and we will make up some suitable excuse for terminating your commission.""",,
CMSNTextSuitedPart2_prv,CMSNTextSuitedPart2,$faction.id == prv,,"""Will you walk the path of knives with us?""",,
CMSNTextWelcomePart1_prv,CMSNTextWelcomePart1,$faction.id == prv,,"""Very well, welcome to the official fraction of Pariabyrån, $playerName. Your service resumes immediately.""",,
CMSNTextWelcomePart2_prv,CMSNTextWelcomePart2,$faction.id == prv,,"""You will be granted an honorary knighthood, and my adjutant will supply you with all the information you will need on the formal terms of commissioning. Is there anything else I can help you with?""",,
CMSNTextChangeMind_prv,CMSNTextChangeMind,$faction.id == prv,,"""As you wish. We’ll… remain in touch, $playerName.""",,
CMSNResignAskToConfirm_prv,CMSNResignAskToConfirm,$faction.id == prv,,"""What are you up to now? No, I suspect you won’t answer that. Do you wish for me to formally erase you from the list of commissioned operators?""",,
CMSNResignConfirmed_prv,CMSNResignConfirmed,$faction.id == prv,,"""It is done. We look forward to hearing of your future undertakings, former agent.""",,
CMSNResignCancelled_prv,CMSNResignCancelled,$faction.id == prv,,"""Very well, you will remain on the rolls, agent.""",,
,,,,,,
# AI CORES,,,,,,
aiCores_turnInOptionSell_prv,DialogOptionSelected,"$option == aiCores_startTurnIn
$faction.id == prv",FireAll PopulateCoresTurnInOptions,"""Dangerous stuff you’ve got there. You can’t trust those damn things, you know. Did you hear about the alpha at the HEL that was disguising itself as a gamma? Who knows what trouble that one could have caused if it was plugged in.

Anyway, I can give you a respectable bounty for any cores you’ve gotten your hands on, no questions asked.""
OR
""Those things always creep me out. Never understood what’s supposed to motivate them.

Anyway, I can give you a respectable bounty for any cores you’ve gotten your hands on, no questions asked.""
OR
""Fascinating things. Have you ever touched one directly, $playerLastName? You can feel the sheer power through the metal, it's something more than a mere mechanism.

Anyway, I can give you a respectable bounty for any cores you’ve gotten your hands on, no questions asked.""",,
aiCores_turnInResponse_prv,AICoresTurnedIn,$faction.id == prv,FireAll PopulateOptions,"""We’ll take the goods into custody, I’m clearing the transfer contract as we speak."" $personName finishes entering a few commands and looks up. ""It’s our problem now.""",,
,,,,,,
# BAR ENTRY,,,,,,
bar_desc_prv,BarPrintDesc,$faction.id == prv,ShowImageVisual space_bar,"You find yourself in a corporate lounge, expensively but tastelessly decorated and full of what you suspect are largely fakes, dead-end suits with neither talent nor connections. A group of men by a game table shuffle around piles of chips representing either very large or very small amounts of money, while sharply-dressed men and women prowl around the bar, looking for other predators of similar inclination. Fake smiles and giggles stand in for sincere emotion, and a quiet soundtrack does its best to escape notice.",,
bar_desc_prv_nedan,BarPrintDesc,"$faction.id == prv
$market.id == prv_stjarngard_ymer_moon2 score: 100",ShowImageVisual pirate_bar,"Seeking out the only bar in the settlement that actually welcomes spacers, you enter a circular room that surrounds a roaring flame, several meters tall and open to the dark nighttime sky through an oculus at the center of the domed roof. Booths and benches oriented towards the center line the outer wall, letting each patron choose his level of comfort between the freezing cold of the walls and the scorching heat of the flame geyser.",,
bar_desc_prv_utbo_planet,BarPrintDesc,"$faction.id == independent
$market.id == prv_stjarngard_utbo score: 100",ShowImageVisual teahouse,"Decorated with fine wood, intricate textiles, and a real fireplace, the värdshus - inn - you enter offers weary spacers food, lodging, and, of course, drink. A group of boisterous young nobles are playing a cardgame by a table in the back, with most of the serving girls hovering close-by, hoping to catch an eye. In the central parts of the room serious merchant-captains enjoy rich meals with thick cuts of meat, mounds of boiled tubers, and thick gravy, while a few men by the bar slowly sip amber spirits while in quiet conversation. In spite of the youthful energy in the back the overall feeling of the bar is calm and collected, almost muted.",,
