name,id,designation,tech/manufacturer,tags,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,,,,,,,hints,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnista,prv_gnista,Light Frigate,prv Starworks,"prv_bp, prv_kratul_bp, merc",flarelauncher_active,3,1000,200,1800,1375,110,32,,160,110,90,70,90,140,OMNI,,120,0.45,0.8,,,8,16,25,35,1,35,10,7500,8,12,180,0.25,3,3,,,,,,,,,0.5,2,2,,8706
Ljus,prv_ljus,Frigate,prv Starworks,"prv_bp, prv_hel_bp, merc",prv_lykta,5,1400,250,2250,2875,230,50,,105,90,70,55,80,200,OMNI,,120,0.4,0.8,,,15,30,45,35,1,35,10,15000,12,20,240,0.25,5,5,,,,,,,,,0.5,2,2,,8707
Flamma,prv_flamma,Heavy Frigate,prv Starworks,"prv_bp, prv_stjarngard_bp, merc",prv_gravity_shield,6,2400,300,2350,1875,180,55,,110,90,60,60,90,275,OMNI,,90,0.3,1,,,20,40,30,25,1,25,10,12000,8,10,240,0.25,6,6,,,,,,,,,0.5,2,2,,8708
Fasnod,prv_fasnod,Phase Frigate,prv Starworks,"prv_adv_bp, prv_hel_bp, rare_bp, merc",prv_gravitywell,9,1750,350,3000,3750,300,50,,150,170,100,50,100,225,PHASE,phasecloak,,,,0.04,0.04,7,11,25,40,1,40,10,41000,10,30,210,0.25,9,9,,,,,,,,,0.5,2,2,,8709
Gryning,prv_gryning,Frigate,prv Starworks,"prv_adv_bp, rare_bp, merc, hist1t",prv_temporalcore,8,1100,200,2250,2875,230,50,,170,120,90,75,60,90,OMNI,,210,0.6,0.7,,,6,12,10,25,1,25,11,32000,12,24,300,0.25,8,8,,,,,,,,0.5,0.6,2,3,,8710
Sinne,prv_sinne,Frigate,prv Starworks,"prv_adv_bp, rare_bp",prv_fracturer,12,2150,250,7500,5000,400,60,,150,270,135,70,140,250,OMNI,,150,0.6,0.9,,,10,20,40,30,1,30,10,77500,9,27,210,0.25,17,17,,,,,,,,0.5,0.5,2,3,,8710.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ande,prv_ande,Integrated Swarm,prv Starworks,"prv_swarm_bp, rare_bp",displacer,10,50,25,3000,,0,30,2,100,150,150,150,150,50,NONE,,,,,,,0,10,10,10,0.5,20,10,37000,10,20,210,0.25,10,10,,,,,,,HIDE_IN_CODEX,0.25,0.8,2,5,,8711
Gast,prv_gast,Integrated Swarm,prv Starworks,"prv_swarm_bp, rare_bp",displacer,13,100,25,6000,,0,60,4,80,120,120,120,120,100,NONE,,,,,,,0,20,20,20,1,20,9,84000,7,15,300,0.25,20,20,,,,,,,HIDE_IN_CODEX,0.25,0.8,2,6,,8712
Vålnad,prv_valnad,Integrated Swarm,prv Starworks,"prv_swarm_bp, hist3t",displacer,17,200,25,9000,,0,120,6,60,90,90,90,90,200,NONE,,,,,,,0,40,40,40,4,10,8,215000,5,12,420,0.25,30,30,,,,,,,HIDE_IN_CODEX,0.25,0.8,2,7,,8712.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tystnad,prv_tystnad,Light Destroyer,prv Starworks,"prv_adv_bp, prv_hel_bp, merc",prv_gunpod_kaja,7,2900,350,3900,4600,275,75,1,100,65,50,50,50,250,OMNI,,90,0.4,0.8,,,40,80,30,40,2,20,9,34000,7,20,270,0.25,7,7,,,,,,,,,0.6,2,2,,8713
Eld,prv_eld,Destroyer,prv Starworks,"prv_bp, prv_kratul_bp, merc",prv_tensordrive,11,5000,600,5750,5833,350,105,,75,60,45,45,60,375,OMNI,,120,0.45,0.9,,,40,75,70,60,2,30,9,47000,5,15,360,0.25,12,12,,,,,,,,,0.4,2,3,,8715
