id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
,,,,,,,,,,,,,,,,,
prv_uvpulse_shot,projectile,100,0.3,0.25,"[34,0,128]",,115,0.35,0.5,"[43,0,156]",75,0.2,0.35,"[153,102,255]",,1,TRUE
prv_uvbeam_fighter,beam,45,0.45,,"[34,0,128]",,130,0.35,,"[43,0,156]",65,0.35,,"[153,102,255]",,1,TRUE
prv_sipdlaser,beam,35,0.55,,"[102,255,153]",,100,0.25,,"[102,255,153]",50,0.25,,"[102,255,153]",,1,TRUE
prv_lpk_shot,projectile,60,0.33,0.25,"[51,0,153]",,115,0.25,0.5,"[51,0,153]",75,0.2,0.35,"[153,102,255]",,1,TRUE
prv_lpk_1_shot,projectile,20,0.2,0.25,"[51,0,153]",,60,0.25,0.5,"[51,0,153]",75,0.15,0.35,"[153,102,255]",,1,TRUE
prv_frasare,beam,70,1,,"[255,128,0]",,210,0.4,,"[200,255,128]",105,0.4,,"[255,196,128]",,1,TRUE
prv_svepfrasare,beam,90,1.2,,"[128,196,64]",,275,0.5,,"[196,255,96]",105,0.5,,"[196,255,96]",,1,TRUE
prv_vakt,beam,80,0.9,,"[34,0,128]",,230,0.4,,"[43,0,156]",95,0.4,,"[153,102,255]",,1,TRUE
prv_ljungeld,beam,90,1.2,,"[102,255,212]",,275,0.5,,"[255,0,127]",135,0.5,,"[255,0,127]",,1,TRUE
prv_uvir_shot,projectile,150,0.2,0.25,"[100,0,200]",,185,0.35,0.65,"[100,0,200]",150,0.2,0.65,"[127,100,255]",,1,TRUE
prv_jursla,beam,65,0.65,,"[100,100,255]",,190,0.35,,"[100,100,255]",95,0.35,,"[100,100,255]",,1,TRUE
prv_jursla_1_shot,projectile,70,0.4,0.3,"[100,100,255]",,100,0.6,0.75,"[100,100,255]",75,0.4,0.2,"[100,100,255]",,1,TRUE
,,,,,,,,,,,,,,,,,
