id,type,frame,magnitude,map,path
,,,,,
#v24,,,,,
prv_gnista,ship,,1,normal,graphics/prv/ships/materials/prv_gnista_normal.png
prv_gnista,ship,,,material,graphics/prv/ships/materials/prv_gnista_material.png
prv_gnista,ship,,,surface,graphics/prv/ships/materials/prv_gnista_surface.png
,,,,,
prv_ljus,ship,,1,normal,graphics/prv/ships/materials/prv_ljus_normal.png
prv_ljus,ship,,,material,graphics/prv/ships/materials/prv_ljus_material.png
prv_ljus,ship,,,surface,graphics/prv/ships/materials/prv_ljus_surface.png
,,,,,
#v19,,,,,
prv_flamma,ship,,1,normal,graphics/prv/ships/materials/prv_flamma_normal.png
prv_flamma,ship,,,material,graphics/prv/ships/materials/prv_flamma_material.png
prv_flamma,ship,,,surface,graphics/prv/ships/materials/prv_flamma_surface.png
,,,,,
#v14,,,,,
prv_gryning,ship,,1,normal,graphics/prv/ships/materials/prv_gryning_normal.png
prv_gryning,ship,,,material,graphics/prv/ships/materials/prv_gryning_material.png
prv_gryning,ship,,,surface,graphics/prv/ships/materials/prv_gryning_surface.png
,,,,,
prv_fasnod,ship,,1,normal,graphics/prv/ships/materials/prv_fasnod_normal.png
prv_fasnod,ship,,,material,graphics/prv/ships/materials/prv_fasnod_material.png
prv_fasnod,ship,,,surface,graphics/prv/ships/materials/prv_fasnod_surface.png
,,,,,
,,,,,
#v20,,,,,
prv_sinne,ship,,1,normal,graphics/prv/ships/materials/prv_sinne_normal.png
prv_sinne,ship,,,material,graphics/prv/ships/materials/prv_sinne_material.png
prv_sinne,ship,,,surface,graphics/prv/ships/materials/prv_sinne_surface.png
,,,,,
#v19,,,,,
prv_shrike,ship,,1,normal,graphics/prv/ships/materials/prv_shrike_normal.png
prv_shrike,ship,,,material,graphics/prv/ships/materials/prv_shrike_material.png
prv_shrike,ship,,,surface,graphics/prv/ships/materials/prv_shrike_surface.png
,,,,,
#v19,,,,,
prv_eld,ship,,1,normal,graphics/prv/ships/materials/prv_eld_normal.png
prv_eld,ship,,,material,graphics/prv/ships/materials/prv_eld_material.png
prv_eld,ship,,,surface,graphics/prv/ships/materials/prv_eld_surface.png
,,,,,
#v14,,,,,
prv_ballebo,ship,,1,normal,graphics/prv/ships/materials/prv_ballebo_normal.png
