trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
prv_bounder_shot_main,prv_bounder_shot,base_trail_aura,6,0.0125,0.0125,0.0125,16,0,"[255,128,0]","[128,64,0]",0.75,-64,-64,-8,50,0,TRUE,FALSE,TRUE,125,0,0,0,180,0,true,false
prv_bounder_shot_tail,prv_bounder_shot,base_trail_smoke,6,0.025,0.075,0.0125,16,0,"[255,128,0]","[128,64,0]",0.25,-128,-128,8,50,0,TRUE,FALSE,TRUE,0,125,0,0,0,180,true,false
prv_heavybounder_shot_main,prv_heavybounder_shot,base_trail_aura,4,0.025,0.0125,0.0125,16,0,"[255,128,0]","[128,64,0]",0.75,-64,-64,-8,50,0,TRUE,FALSE,TRUE,125,0,0,0,180,0,true,false
prv_heavybounder_shot_tail,prv_heavybounder_shot,base_trail_smoke,4,0.05,0.0375,0.025,16,0,"[255,128,0]","[128,64,0]",0.25,-128,-128,8,50,0,TRUE,FALSE,TRUE,0,125,0,0,0,180,true,false
prv_heavybounder_shot_1_main,prv_heavybounder_1_shot,base_trail_aura,4,0.025,0.0125,0.0125,16,0,"[255,128,0]","[128,64,0]",0.75,-64,-64,-8,50,0,TRUE,FALSE,TRUE,125,0,0,0,180,0,true,false
prv_heavybounder_shot_1_tail,prv_heavybounder_1_shot,base_trail_smoke,4,0.05,0.0375,0.025,16,0,"[255,128,0]","[128,64,0]",0.25,-128,-128,8,50,0,TRUE,FALSE,TRUE,0,125,0,0,0,180,true,false
prv_spattergun_main_shot,prv_spattergun_main_shot,base_trail_smoke,8,0.025,0.01,0.125,40,20,"[220,160,255]","[199,102,255]",0.33,-128,-32,0,25,0,TRUE,FALSE,TRUE,30,0,0,0,0,180,true,true
prv_spattergun_1_shot,prv_spattergun_1_shot,base_trail_smoke,8,0.025,0.01,0.125,20,10,"[220,160,255]","[199,102,255]",0.33,-128,-32,0,25,0,TRUE,FALSE,TRUE,15,0,0,0,0,180,true,true
prv_spattergun_2_shot,prv_spattergun_2_shot,base_trail_smoke,8,0.025,0.01,0.125,30,15,"[220,160,255]","[199,102,255]",0.33,-128,-32,0,25,0,TRUE,FALSE,TRUE,20,0,0,0,0,180,true,true
prv_spattergun_fighter_main_shot,prv_spattergun_fighter_main_shot,base_trail_smoke,8,0.025,0.01,0.125,20,10,"[220,160,255]","[199,102,255]",0.33,-128,-32,0,25,0,TRUE,FALSE,TRUE,15,0,0,0,0,180,true,true
prv_spattergun_fighter_1_shot,prv_spattergun_fighter_1_shot,base_trail_smoke,8,0.025,0.01,0.125,20,10,"[220,160,255]","[199,102,255]",0.33,-128,-32,0,25,0,TRUE,FALSE,TRUE,15,0,0,0,0,180,true,true
prv_spattergun_fighter_2_shot,prv_spattergun_fighter_2_shot,base_trail_smoke,8,0.025,0.01,0.125,30,20,"[220,160,255]","[199,102,255]",0.33,-128,-32,0,25,0,TRUE,FALSE,TRUE,22.5,0,0,0,0,180,true,true
prv_heavyspattergun_main_shot,prv_heavyspattergun_main_shot,base_trail_smoke,12,0.025,0.01,0.25,60,30,"[220,160,255]","[199,102,255]",0.33,-128,-256,0,25,0,TRUE,FALSE,TRUE,45,0,0,0,0,180,true,true
prv_akers_shot_1,prv_akers_shot,base_trail_zap,3,0.01,0.01,0.05,24,3,"[180,180,255]","[255,255,255]",0.75,-128,-256,6,125,1,TRUE,FALSE,TRUE,15,0,0.4,0,200,200,true,false
prv_heavyakers_shot_1,prv_heavyakers_shot,base_trail_zap,3,0.01,0.01,0.05,36,3,"[180,180,255]","[255,255,255]",0.75,-128,-256,10,125,1,TRUE,FALSE,TRUE,15,0,0.4,0,200,200,true,false
prv_akers_nova_shot_1,prv_akers_nova_shot,base_trail_zap,3,0.01,0.01,0.03,36,3,"[220,160,255]","[255,255,255]",0.4,-128,-256,18,125,1,TRUE,FALSE,TRUE,15,0,0.4,0,200,200,true,false
prv_akers_nova_shot_2,prv_akers_nova_shot,base_trail_zap,3,0.01,0.01,0.06,48,3,"[220,160,255]","[255,255,255]",0.4,-128,-512,9,150,1,TRUE,FALSE,TRUE,25,0,0.6,0,200,200,true,false
prv_akers_nova_shot_3,prv_akers_nova_shot,base_trail_zap,3,0.01,0.01,0.06,24,3,"[220,160,255]","[255,255,255]",0.4,-128,-1024,0,100,1,TRUE,FALSE,TRUE,35,0,0.2,0,200,200,true,false
