name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIPD Laser,prv_sipdlaser,2,,350,500,40,,,0,100,4,,,,ENERGY,,70,0.1,0.10,,,,,,,2400,,,,,,,"PD, PD_ALSO, ANTI_FTR","prv_adv_bp, prv_hel_bp, pd7, energy7, beam9, merc",,prv Starworks,,Close Defense,,,,,"Bursts for %s energy damage after %s second of focusing on the target.

Will target missiles if no other targets are in range.",80 | 1,,,,8790
Spattergun,prv_spattergun,1,,275,400,,60,,20,10,5,,,,ENERGY,60,,,1.85,4,0.05,3,15,3,8,,600,,,,,,,"prv_bp,  prv_stjarngard_bp, energy8, merc, prv_spatterfire",,prv Starworks,,General (Area),,,,,"%s clings to the target on hull hits, dealing an additional %s energy damage over time. 

Shield hits spread additional plasma particles which will hit any other target for %s to %s energy damage.",Spatterfire | 60 | 75 | 125,,,,8703
Spattergun Goop,prv_spattergun_1,0,,0,75,,125,,5,10,,,,,ENERGY,0,,,2,,,0,10,1,2,,200,,,,,,SYSTEM,,,,,Byproduct,,,,,,,,,,8703a
Spattergun Goop,prv_spattergun_2,0,,0,50,,75,,3,10,,,,,ENERGY,0,,,2,,,0,10,1,2,,100,,,,,,SYSTEM,,,,,Byproduct,,,,,,,,,,8703b
Heavy Spattergun,prv_heavyspattergun,1,,1200,600,,120,,40,8,12,,,,ENERGY,120,,,4.15,8,0.05,2,10,2,8,,600,,,,,,,"prv_adv_bp, prv_stjarngard_bp, energy14, merc, prv_spatterfire",,prv Starworks,,General (Area),,,,,"%s clings to the target on hull hits, dealing an additional %s energy damage over time. 

Shield hits spread additional plasma particles which will hit any other target for %s to %s energy damage.",Spatterfire | 120 | 75 | 125,,,,8703.1
Fräsare,prv_frasare,3,0.65,2100,900,1681,,,40,34,13,,,,FRAGMENTATION,,1681,0.25,1.5,0.25,1.5,0,0,0,0,2000000,,,,,,,ANTI_FTR,"prv_adv_bp, prv_hel_bp, beam13, kinetic9, LR, merc, prv_fragsoup",,prv Starworks,,Finisher,,,,,Generates %s anomalies which deal %s fragmentation damage per second for %s seconds to anything caught in the area.,4 | 200 | 2,,,,8785.5
Svepfräsare,prv_svepfrasare,2,0.5,4200,700,1690,,,40,34,20,,,,FRAGMENTATION,,1668,0.05,0.05,1.15,3.75,0,0,0,0,2000000,,,,,,,FIRE_WHEN_INEFFICIENT,"prv_adv_bp, prv_hel_bp, beam17, kinetic13, merc, prv_fragsoup",,prv Starworks,,Finisher (Area),,,,,"Fires in a sweeping arc, generating %s anomalies which deal %s fragmentation damage per second for %s seconds to anything caught in the area.",numerous | 200 | 5,,,,8785.52
Vakt Flicker Beam,prv_vakt,2,0.3,5000,600,450,,,0,90,18,,,,ENERGY,,360,0.1,0.1,,,,,,,2000000,,,,,,,"PD, ANTI_FTR, NO_TURN_RATE_BOOST_WHEN_IDLE","prv_adv_bp, prv_hel_bp, pd15, beam13",,prv Starworks,,Point Defense,,,,,,,,,,8726
#Jursla Graviton Lance,prv_jursla,3,0.3,5000,750,375,,,50,60,25,,,,KINETIC,,600,0.5,1,1.5,,0,0,0,0,2000000,,,,,,,NO_TURN_RATE_BOOST_WHEN_IDLE,"prv_adv_bp, prv_stjarngard_bp, kinetic20, energy16, LR, merc, prv_gravcapture",,prv Starworks,,Anti Shield,,,,,"Generates %s particles per burst while firing, each of which deals %s kinetic damage.",9 | 75,Gravitic effects slow and push target off-course. The effect is minor and is most noticeable vs fighters and missiles.,,,8785.5
Jursla Graviton Emitter,prv_jursla,3,0.3,5000,700,250,,,30,60,25,,,,KINETIC,,400,0.1,0.33,,,0,0,0,0,2000,,,,,,,NO_TURN_RATE_BOOST_WHEN_IDLE,"prv_adv_bp, prv_stjarngard_bp, kinetic20, energy16, LR, merc, prv_gravcapture",,prv Starworks,,Anti Shield,,,Medium,,"Generates %s particles per second while firing, each of which deals %s kinetic damage.

Counts as a graviton beam and disrupts the target's shields, increasing all shield damage taken by %s for one full-power graviton beam, %s for two, and %s for three or more hitting the shields at the same time.",3 | 75 | 5% | 8% | 10%,,,,8785.5
Jursla Blast,prv_jursla_1,3,,0,750,,75,,0,12,,,,,KINETIC,75,,,1,,,0,0,0,0,,700,,,,,,SYSTEM,,,prv Starworks,,Anti Shield,,,,,,,Gravitic effects slow and push target off-course. The effect is minor and is most noticeable vs fighters and missiles.,,,8785.6
Ljungeld,prv_ljungeld,3,,5000,900,869.38,,,0,18,24,7,0.03666667,,HIGH_EXPLOSIVE,,1070,0.1,0.1,3.8,2,0,0,0,0,2000,,,,,,,"USE_LESS_VS_SHIELDS, USE_VS_FRIGATES, STRIKE","prv_adv_bp, prv_hel_bp, strike19, energy16, LR, merc",,prv Starworks,,Strike,,,,,"Hits on shields cause the beam to fracture, giving it a chance based on the target's hard flux level to pierce the shield with high explosive arcs of energy.",,,,,8786
UVIR Pulse Laser,prv_uvir,1,,3700,700,,200,,0,15,16,,,,ENERGY,160,,0.333333,,,,,,,,,1000,,,,,,,"prv_bp, prv_stjarngard_bp, energy18, merc",,prv Starworks,,General,,,,,,,,,,8788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punktskydd,prv_pskd,1,,300,300,,75,,1,70,5,,,,FRAGMENTATION,10,,0,1.37,9,0.11,0,14,1.2,10,,800,,,10,,,PD,"prv_bp, prv_kratul_bp, pd7, SR, merc",,prv Starworks,,Point Defense,,,,Good,,,,,,8711
AKC c67,prv_akc,2,,1000,500,,30,,2,36,10,54,9,27,KINETIC,20,,0,0.0555555,3,0.0555555,0,14,0.75,15,,600,,,10,,,PD,"prv_adv_bp, prv_kratul_bp, kinetic14, pd12, SR, merc",,prv Starworks,,Point Defense,,,,,,,,,,87386
Light Akers,prv_akers,1,,400,450,,30,15,4,24,4,,,,KINETIC,15,,0,0.2333333333,2,0.1,0,7,0.6,10,,750,,,10,,,,"prv_bp, prv_kratul_bp, kinetic7, merc, SR",,prv Starworks,,Anti Shield,,,,,"Shell hits on hull or armor have a %s chance to arc to weapons and engines, inflicting %s EMP damage.

The EMP arcs are less effective against fighters.",12.5% | 120,,,,8712
Akers Nova (Single),prv_akers_nova_fighter,3,,600,900,,60,60,6,24,7,,,,KINETIC,70,,0.075,0.5916666,,,0,5,0.5,10,,900,,,25,,,,"prv_lab_bp, kinetic12, LR",,prv Starworks,,Anti Shield,,,,,"Shell hits on hull or armor have a %s chance to arc to weapons and engines, inflicting %s EMP damage.

The EMP arcs are less effective against fighters.",25% | 240,,,,8714a
Heavy Akers,prv_heavyakers,1,,1200,700,,50,25,5,18,10,,,,KINETIC,45,,0,0.375,2,0.125,0,7,0.6,10,,750,,,20,,,,"prv_bp, prv_kratul_bp, merc, kinetic14",,prv Starworks,,Anti Shield,,,,,"Shell hits on hull or armor have a %s chance to arc to weapons and engines, inflicting %s EMP damage.

The EMP arcs are less effective against fighters.",20% | 125,,,,8713
Akers Nova,prv_akers_nova,3,0.3,2300,900,,60,60,6,24,12,,,,KINETIC,70,,0.075,1.95,6,0.075,0,5,0.5,10,,900,,,25,,,,"prv_adv_bp, prv_hel_bp, kinetic15, LR, merc",,prv Starworks,,Anti Shield,,,,,"Shell hits on hull or armor have a %s chance to arc to weapons and engines, inflicting %s EMP damage.

The EMP arcs are less effective against fighters.",25% | 240,,,,8714
Akers Denova,prv_akers_denova,3,0.3,2700,700,,75,,6,12,14,700,,,KINETIC,125,,,0.25,,,0,5,0.5,10,,750,,,,,,,"prv_lab_bp, kinetic15, LR, hist1t, merc, prv_fragsoup",,prv Starworks,,Anti Shield,,,,,Hits generate anomalies which deal %s fragmentation damage per second for %s seconds to anything caught in the area.,50 | 2,,,,8714.5
Fräs,prv_akers_denova_1,0,,0,0,,75,,6,12,,,,,FRAGMENTATION,125,,,0.25,,,0,5,0.5,10,,750,,,,,,SYSTEM,,,prv Starworks,,Anti Shield,,,,,,,,,,8714.51
Siege Akers,prv_siege_akers,1,,3500,900,,120,60,15,8,22,,,8,KINETIC,135,,,1.0333333333,4,0.1,0,7,0.6,10,,750,,,100,,,,"prv_adv_bp, prv_kratul_bp, merc, kinetic18",,prv Starworks,,Anti Shield,,,,,"Shell hits on hull or armor have a %s chance to arc to weapons and engines, inflicting %s EMP damage spread over %s locations. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.

The EMP arcs are less effective against fighters.",33% | 180 | 2,,,,8716
#Jursla,prv_jursla,3,0.3,5000,900,,400,,175,12,25,,,,KINETIC,520,,,2.17,2,0.33,0,5,0.33,1,,1200,,,200,,,,"prv_lab_bp, kinetic20, LR, rare_bp",,prv Starworks,,Anti Shield,,,,,,,,,,8786
Gravkan,prv_gravkan,1,,900,500,,100,,4,40,10,,,,HIGH_EXPLOSIVE,70,,0.875,0.25,7,0.145833,0,24,2,12,,675,,,35,,,,"prv_bp, prv_kratul_bp, he15, SR, merc",,prv Starworks,,Anti Armor,,,,,Causes a %s gravitic ripple on impact.,minor,,,,8716.5
Gravpjäs,prv_heavygravkan,3,0.3,4750,900,,300,,32,12,21,,,,HIGH_EXPLOSIVE,300,,0.375,0.375,,,0,15,1.875,7.5,,675,,,200,,,ANTI_FTR,"prv_adv_bp, prv_kratul_bp, he19, merc, LR",,prv Starworks,,Disruption (Area),,,,,Causes a %s gravitic ripple on impact.,major,,,,8716.75
Studsare,prv_bounder,2,,1200,700,,120,,12,9,9,,,,HIGH_EXPLOSIVE,120,,,0.66666666667,,,0,7,1.5,7,,900,,,70,,,,"prv_adv_bp, prv_hel_bp, merc, he14",,prv Starworks,,Anti Armor,,,,,"Shells will ricochet on shield hits up to %s times, attempting to hit a nearby target.",5,,,,8717
Automatstudsare,prv_heavybounder,2,,4000,700,,100,,8,7,22,,,,HIGH_EXPLOSIVE,80,,,1.175,12,0.075,0,13,0.33,5,,900,,,45,,,,"prv_adv_bp, prv_hel_bp, merc, he19",,prv Starworks,,Anti Armor,,,,,"Shells will ricochet on shield hits up to %s times, attempting to hit a nearby target.",5,,,,8718
Automatstuds,prv_heavybounder_1,2,,0,700,,100,,8,7,,,,,HIGH_EXPLOSIVE,80,,,1.175,12,0.075,0,13,0.33,5,,900,,,45,,,SYSTEM,,,prv Starworks,,Anti Armor,,,,,,,,,,8718.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
