name,id,designation,tech/manufacturer,tags,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,,,,,,,hints,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buck,prv_agni_buck,Agni,Agni,prv_agni,prv_agni_microburn,18,12000,2200,10000,10000,500,190,,50,30,20,15,20,1900,NONE,,90,0.6,1,,,0,0,0,400,3,133,8,130000,12,24,240,0.1,25,25,,,,,,,"HIDE_IN_CODEX, UNBOARDABLE",,0.1,1,5,,8801
Doe,prv_agni_doe,Agni,Agni,prv_agni,prv_agni_cocoon_large,20,11000,2000,10000,10000,500,170,,60,35,25,20,30,1750,NONE,,90,0.6,1,,,0,0,0,300,3,100,8,120000,12,24,270,0.1,30,30,,,,,,,"HIDE_IN_CODEX, UNBOARDABLE",,0.1,1,5,,8801.5
Juvenile,prv_agni_juvenile,Agni,Agni,prv_agni,prv_agni_microburn,13,6000,1500,4000,4166,250,125,,100,60,40,30,40,500,NONE,,90,0.6,1,,,0,0,0,100,2,50,9,65000,18,30,160,0.1,15,15,,,,,,,"HIDE_IN_CODEX, UNBOARDABLE",,0.2,1,4,,8802
Hatchling,prv_agni_hatchling,Agni,Agni,prv_agni,prv_agni_cocoon,9,2500,750,1500,1562,125,50,,150,90,60,45,60,250,NONE,,90,0.6,1,,,0,0,0,40,1,40,10,32500,24,36,120,0.1,10,10,,,,,,,"HIDE_IN_CODEX, UNBOARDABLE",,0.3,1,3,,8803
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale,prv_agni_scale,,Agni,,,,450,150,400,,40,0,,200,200,450,60,90,20,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,87013
Down,prv_agni_down,,Agni,,prv_agni_cocoon_fighter,,750,100,400,,40,0,,250,300,600,90,270,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,87013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nest,prv_agni_station1_nest,Mining Station,Agni,"prv_agni, prv_agni_extra_loot_small",,25,40000,1600,1000,2500,100,0,,30,200,200,2,2,2500,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,0,,,,87115
Hive,prv_agni_station2_hive,Mining Complex,Agni,"prv_agni, prv_agni_extra_loot_large",,50,80000,2000,1000,2500,100,0,,30,200,200,2,2,2500,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,0,,,,87116
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Cocoon,prv_agni_station_drone_cocoon,Ensnared Drone,Agni,"prv_agni, no_dealer",prv_agni_cocoon,,4000,1000,2000,3750,300,50,,200,100,100,45,60,500,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0.5,2,3,,87119
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,prv_agni_module_battery,Smelter,Agni,prv_agni,,1,15000,1500,30000,15000,600,1000,,0,0,0,10,10,1750,NONE,,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,0.5,2,4,,87114
,prv_agni_module_cocoons,Wharf,Agni,prv_agni,reservewing,1,7500,1200,10000,6250,250,1000,2,0,0,0,10,10,1250,NONE,,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,0.5,2,4,,87113
,prv_agni_module_bastion,Hab Complex,Agni,prv_agni,reservewing,1,6000,1000,7000,3750,150,1000,1,0,0,0,10,10,120,NONE,,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,1,2,4,,87117
,prv_agni_module_citadel,Administration,Agni,prv_agni,,1,12000,1500,30000,21875,875,1000,,0,0,0,10,10,500,NONE,,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,1,2,4,,87118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,prv_agni_module_armor,Station Armor,Agni,prv_agni,prv_agni_cocoon,1,5000,250,0,2500,100,0,,0,0,0,10,10,100,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,1,2,3,,87111
