id,type,frame,magnitude,map,path
,,,,,
#v22,,,,,
prv_agni_hatchling,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_hatchling_normal.png
prv_agni_hatchling,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_hatchling_material.png
prv_agni_hatchling,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_hatchling_surface.png
prv_agni_d_cover_hatchling,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_hatchling_normal.png
prv_agni_d_cover_hatchling,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_hatchling_material.png
prv_agni_d_cover_hatchling,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_hatchling_surface.png
,,,,,
#v22,,,,,
prv_agni_juvenile,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_juvenile_normal.png
prv_agni_juvenile,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_juvenile_material.png
prv_agni_juvenile,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_juvenile_surface.png
prv_agni_d_cover_juvenile,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_juvenile_normal.png
prv_agni_d_cover_juvenile,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_juvenile_material.png
prv_agni_d_cover_juvenile,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_juvenile_surface.png
,,,,,
#v22,,,,,
prv_agni_doe,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_doe_normal.png
prv_agni_doe,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_doe_material.png
prv_agni_doe,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_doe_surface.png
prv_agni_d_cover_doe_l,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_l_normal.png
prv_agni_d_cover_doe_l,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_l_material.png
prv_agni_d_cover_doe_l,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_l_surface.png
prv_agni_d_cover_doe_r,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_r_normal.png
prv_agni_d_cover_doe_r,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_r_material.png
prv_agni_d_cover_doe_r,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_doe_r_surface.png
,,,,,
#v22,,,,,
prv_agni_buck,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_buck_normal.png
prv_agni_buck,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_buck_material.png
prv_agni_buck,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_buck_surface.png
prv_agni_d_cover_buck_l,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_l_normal.png
prv_agni_d_cover_buck_l,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_l_material.png
prv_agni_d_cover_buck_l,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_l_surface.png
prv_agni_d_cover_buck_r,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_r_normal.png
prv_agni_d_cover_buck_r,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_r_material.png
prv_agni_d_cover_buck_r,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_d_cover_buck_r_surface.png
,,,,,
#v22,,,,,
prv_agni_down,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_down_normal.png
prv_agni_down,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_down_material.png
prv_agni_down,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_down_surface.png
,,,,,
#v22,,,,,
prv_agni_scale,ship,,1,normal,graphics/prv/ships/materials/agni/prv_agni_scale_normal.png
prv_agni_scale,ship,,,material,graphics/prv/ships/materials/agni/prv_agni_scale_material.png
prv_agni_scale,ship,,,surface,graphics/prv/ships/materials/agni/prv_agni_scale_surface.png
,,,,,
#v26/22,,,,,
#prv_agni_module_bastion,ship,,1,normal,graphics/prv/ships/materials/stations/prv_module_agni_bastion_normal.png
#prv_agni_module_bastion,ship,,,material,graphics/prv/ships/materials/stations/prv_module_agni_bastion_material.png
#prv_agni_module_bastion,ship,,,surface,graphics/prv/ships/materials/stations/prv_module_agni_bastion_surface.png
prv_agni_module_bastion,ship,,1,normal,graphics/shaders/normal/ships/stations/module_medium_pd1_lowtech_normal.png
prv_agni_module_bastion,ship,,,material,graphics/shaders/material/ships/stations/module_medium_pd1_lowtech_material.png
prv_agni_module_bastion,ship,,,surface,graphics/shaders/surface/ships/stations/module_medium_pd1_lowtech_surface.png
,,,,,
#v26/22,,,,,
#prv_agni_module_battery,ship,,1,normal,graphics/prv/ships/materials/stations/prv_module_agni_battery_normal.png
#prv_agni_module_battery,ship,,,material,graphics/prv/ships/materials/stations/prv_module_agni_battery_material.png
#prv_agni_module_battery,ship,,,surface,graphics/prv/ships/materials/stations/prv_module_agni_battery_surface.png
prv_agni_module_battery,ship,,1,normal,graphics/shaders/normal/ships/stations/module_large1_lowtech_normal.png
prv_agni_module_battery,ship,,,material,graphics/shaders/material/ships/stations/module_large1_lowtech_material.png
prv_agni_module_battery,ship,,,surface,graphics/shaders/surface/ships/stations/module_large1_lowtech_surface.png
,,,,,
#v26/22,,,,,
#prv_agni_module_citadel,ship,,1,normal,graphics/prv/ships/materials/stations/prv_module_agni_citadel_normal.png
#prv_agni_module_citadel,ship,,,material,graphics/prv/ships/materials/stations/prv_module_agni_citadel_material.png
#prv_agni_module_citadel,ship,,,surface,graphics/prv/ships/materials/stations/prv_module_agni_citadel_surface.png
prv_agni_module_citadel,ship,,1,normal,graphics/shaders/normal/ships/stations/module_citadel1_lowtech_normal.png
prv_agni_module_citadel,ship,,,material,graphics/shaders/material/ships/stations/module_citadel1_lowtech_material.png
prv_agni_module_citadel,ship,,,surface,graphics/shaders/surface/ships/stations/module_citadel1_lowtech_surface.png
,,,,,
#v26/22,,,,,
#prv_agni_module_cocoons,ship,,1,normal,graphics/prv/ships/materials/stations/prv_module_agni_hangar_normal.png
#prv_agni_module_cocoons,ship,,,material,graphics/prv/ships/materials/stations/prv_module_agni_hangar_material.png
#prv_agni_module_cocoons,ship,,,surface,graphics/prv/ships/materials/stations/prv_module_agni_hangar_surface.png
prv_agni_module_cocoons,ship,,1,normal,graphics/shaders/normal/ships/stations/module_large2_lowtech_normal.png
prv_agni_module_cocoons,ship,,,material,graphics/shaders/material/ships/stations/module_large2_lowtech_material.png
prv_agni_module_cocoons,ship,,,surface,graphics/shaders/surface/ships/stations/module_large2_lowtech_surface.png
,,,,,
,,,,,
#v22,,,,,
prv_agni_eye,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_eye_turret_main_normal.png
prv_agni_eye,turretunder,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_eye_turret_under_normal.png
prv_agni_eye,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_eye_turret_main_material.png
prv_agni_eye,turretunder,,,material,graphics/prv/weapons/materials/agni/prv_agni_eye_turret_under_normal.png
prv_agni_eye,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_eye_turret_main_surface.png
prv_agni_eye,turretunder,,,surface,graphics/prv/weapons/materials/agni/prv_agni_eye_turret_under_normal.png
prv_agni_eye,hardpoint,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_eye_hardpoint_main_normal.png
prv_agni_eye,hardpoint,,,material,graphics/prv/weapons/materials/agni/prv_agni_eye_hardpoint_main_material.png
prv_agni_eye,hardpoint,,,surface,graphics/prv/weapons/materials/agni/prv_agni_eye_hardpoint_main_surface.png
,,,,,
#v26,,,,,
prv_agni_cyst,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_cyst_turret_normal.png
prv_agni_cyst,hardpoint,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_cyst_hardpoint_normal.png
prv_agni_cyst,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_cyst_turret_material.png
prv_agni_cyst,hardpoint,,,material,graphics/prv/weapons/materials/agni/prv_agni_cyst_hardpoint_material.png
prv_agni_cyst,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_cyst_turret_surface.png
prv_agni_cyst,hardpoint,,,surface,graphics/prv/weapons/materials/agni/prv_agni_cyst_hardpoint_surface.png
,,,,,
#v22,,,,,
prv_agni_flamelash,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_flamelash_turret_normal.png
prv_agni_flamelash,hardpoint,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_flamelash_hardpoint_normal.png
prv_agni_flamelash,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_flamelash_turret_material.png
prv_agni_flamelash,hardpoint,,,material,graphics/prv/weapons/materials/agni/prv_agni_flamelash_hardpoint_material.png
prv_agni_flamelash,turret,,,surface,graphics/prv/weapons/materials/agni/prv_agni_flamelash_turret_surface.png
prv_agni_flamelash,hardpoint,,,surface,graphics/prv/weapons/materials/agni/prv_agni_flamelash_hardpoint_surface.png
,,,,,
#v22,,,,,
prv_agni_teeth,turret,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_teeth_turret_main_normal.png
prv_agni_teeth,turretbarrel,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_teeth_turret_recoil_normal.png
prv_agni_teeth,hardpoint,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_teeth_hardpoint_main_normal.png
prv_agni_teeth,hardpointbarrel,,1,normal,graphics/prv/weapons/materials/agni/prv_agni_teeth_hardpoint_recoil_normal.png
prv_agni_teeth,turret,,,material,graphics/prv/weapons/materials/agni/prv_agni_teeth_turret_main_material.png
prv_agni_teeth,turretbarrel,,,material,graphics/prv/weapons/materials/agni/prv_agni_teeth_turret_recoil_material.png
prv_agni_teeth,hardpoint,,,material,graphics/prv/weapons/materials/agni/prv_agni_teeth_hardpoint_main_material.png
