id,type,text1,text2,text3,text4,notes
#############################,,,,,,
###,,,,,,
### Agni,,,,,,
###,,,,,,
#############################,,,,,,
,,,,,,
### Weapons,,,,,,
prv_agni_spines,WEAPON,"”Each spine group is attached to a neuron cluster, and acts independently of the main body ganglions. Their accuracy is most impressive once we consider that they are operating only on impulses from the gravitic sacs and Enholm organs.”","- Emma Sandgren, veterinary neurologist, House Gyllenhaag",,,
prv_agni_spore,WEAPON,”No. Not going out there again. Fuck no.”,"- Torbjörn Eklund, inebriated figher pilot, Johans Bar & Grill",,,
prv_agni_claw,WEAPON,"”While the Agni largely live on stellar energy, we’ve spotted them smashing small asteroids with a horn spike and then consuming the debris. They’re very picky, and finding a suitable rock can take weeks.","- Karl Nilsson, exobiologist, House Gyllenhaag",,,
prv_agni_web,WEAPON,"”The organ’s structure is remarkably similar to the silk glands of cocooning insects, and we believe it is primarily used to build nests.”","- Karl Nilsson, exobiologist, House Gyllenhaag",,,
prv_agni_web_fighter,WEAPON,"”Then it launches this webbing at me and for a moment I completely lose control of the craft, I’m tossed back and forth on an elastic pendulum. I had to hit the armor plating quick-release to get loose, letting the creature tear off the plating entirely.”","- Bengt Magnusson, Diskordant Pilot, prv teknokeramik",,,
prv_agni_teeth,WEAPON,”It took us the better part of a day to extract the damn thing from where it had lodged itself in the bulkhead. Plasma cutters simply didn’t work on the enamel.”,"- Erik Tallberg, chief salvor, prv Begynnelsen",,,
prv_agni_pureflame_lance,WEAPON,"”We’ve mostly seen them used in mating displays. The brightest, hottest lance attracts the most mates.”","- My Holmquist, exobiologist, House Gyllenhaag",,,
prv_agni_flamelash,WEAPON,"”If we disturb the creatures, their first response will be a gout of flame emitted from one of their many gas nozzles. We have not yet found a way for our sample retrieval drones to survive this.”","- Karl Nilsson, exobiologist, House Gyllenhaag",,,
prv_agni_conflagration,WEAPON,"”The agitative trial ended with the complete destruction of prv Begynnelsen. But the data is astounding, the energies involved are an order of magnitude beyond what we can account for.”","- Mikael Gyllenhaag, director of exobiology, Fältbiologiska Institutet",,,
prv_agni_eye,WEAPON,”I’m gonna be honest. They creep me out.”,"- Björn Lidén, sensors operator, prv Saknad",,,
prv_agni_cyst,WEAPON,"”The symbiotes that can be found burrowed into the skin of the Agni are generally dormant, leaching only a miniscule amount of blood from their host. But when they are disturbed they will emerge in a great fury and defend their host to the utmost.”","- My Holmquist, exobiologist, House Gyllenhaag",,,
prv_agni_prominence,WEAPON,”Two separate types of droplets are emitted from the Scale creature in a constant spray. Whenever the two types meet they immediately undergo a powerful exothermic reaction. The combined fluid will easily melt standard ablative ship plating if it is applied in sufficient amounts.”,"- Göran Eskilsson, chemist, House Gyllenhaag",,,
,,,,,,
### Systems,,,,,,
prv_agni_cocoon,SHIP_SYSTEM,"”We believe the silk is mostly used for nesting. Very durable material, and easily spun.” 

- Agni, an executive primer, House Gyllenhaag archives.",Defensive,"Coats the user in layers of defensive silk, which will absorb 2000 incoming damage. Less effective while the armor remains intact.",2000,
