name,id,designation,tech/manufacturer,tags,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,,,,,,,hints,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kite (prv),prv_kite,Shuttle,prv Starworks,"prv_adv_bp, prv_aux_bp",prv_plasmamanjets,3,900,150,1400,1000,80,18,1,140,150,75,45,85,120,OMNI,,150,0.5,0.8,,,2,10,10,15,1,15,9,8000,5,20,180,0.25,3,3,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",0.66,0.75,2,2,,8705
Mule (prv),prv_mule,Combat Freighter,prv Starworks,"prv_adv_bp, prv_aux_bp",prv_plasmamanjets,9,5500,650,3000,2500,150,80,,60,40,20,20,15,500,OMNI,,120,0.4,1,,,40,100,250,80,2,40,9,42500,5,10,420,0.25,7,7,,,,,,,,,0.5,2,3,,8735.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enforcer (RB),prv_enforcer_rb,Destroyer,Rust Belt,prv_rb_bp,burndrive,10,6000,900,4000,3333,200,110,,60,40,20,30,20,500,OMNI,,150,0.4,1,,,60,100,90,90,3,30,9,38000,5,12,420,0.25,9,9,,,,,,,,,0.4,2,3,,8715.25
Eldsjäl,prv_eld_rb,Destroyer,Rust Belt,prv_rb_bp,prv_microburn_p,9,6000,500,4500,4166,350,95,,75,60,45,45,60,375,FRONT,,240,0.4,0.9,,,40,75,70,60,2,30,9,39000,5,15,360,0.25,10,10,,,,,,,,,0.4,2,3,,8715.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grendel (RB),prv_grendel_rb,Heavy Gunship,Rust Belt,prv_rb_bp,prv_plasmamanjets_rb,16,11000,1200,6000,12000,600,190,,60,60,60,15,20,1200,PHASE,damper,,,,0.05,0.08,120,120,100,75,3,25,8,100000,3,10,540,0.25,18,18,,,,,,,,,0.4,3,4,,8726.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fika,prv_fika,Combat Freighter,prv Starworks,"prv_adv_bp, prv_stjarngard_bp",prv_gunpod_kaja,12,7000,700,6000,5000,400,130,,60,40,30,12,18,1500,OMNI,,120,0.6,0.8,,,70,200,600,120,3,50,8,115000,4,20,420,0.25,12,12,,,,,,,,,0.4,2,3,,8737
Middag,prv_middag,Combat Superfreighter,prv Starworks,"prv_adv_bp, rare_bp",prv_gunpod_lpk,19,11000,1100,9000,11250,500,230,,50,25,20,6,9,3000,OMNI,,120,0.6,0.8,,,180,400,1200,400,8,50,7,175000,3,20,600,0.25,25,25,,,,,,,,,0.4,2,3,,8738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visent (XL),prv_visent_xl,Frontier Freighter,Rust Belt,prv_rb_bp,burndrive,5,5900,450,2400,1875,140,75,,90,30,25,15,15,700,OMNI,,180,0.5,1,,,30,65,230,60,2,30,9,34000,3,10,360,0.25,5,5,,,,,,,FREIGHTER,,0.45,2,3,,8734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquest (prv),prv_conquest_ryak,Battlecruiser,prv Starworks,"rare_bp, prv_lab_bp",prv_plasmamanjets,24,12000,1200,15000,18750,750,320,,45,20,15,7,5,2750,OMNI,,120,0.4,0.9,,,400,500,250,300,10,30,8,300000,4,20,600,0.25,40,40,,,,,,,HIDE_IN_CODEX,,0.5,2,4,,8731
Sunder (prv),prv_sunder_ryak,Destroyer,prv Starworks,"rare_bp, prv_lab_bp",prv_tofsmes_flak,9,5000,600,6000,7000,350,105,,90,80,60,30,30,350,OMNI,,150,0.4,0.9,,,50,70,80,50,2,25,9,54000,5,15,300,0.25,10,10,,,,,,,HIDE_IN_CODEX,0.33,0.5,2,3,,8714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klirr,prv_klirr,,prv Starworks,,,,550,100,600,,180,0,,200,200,250,110,220,40,OMNI,,90,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,87013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gun Pod,prv_gunpod,,prv Starworks,,,,250,100,300,,150,20,,150,150,150,60,60,75,OMNI,,210,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
