id,type,frame,magnitude,map,path
,,,,,
#v28,,,,,
prv_flamma_midline,ship,,1,normal,graphics/prv/ships/materials/prv_flamma_midline_normal.png
prv_flamma_midline,ship,,,material,graphics/prv/ships/materials/prv_flamma_midline_material.png
prv_flamma_midline,ship,,,surface,graphics/prv/ships/materials/prv_flamma_midline_surface.png
,,,,,
#v28,,,,,
prv_eld_midline,ship,,1,normal,graphics/prv/ships/materials/prv_eld_midline_normal.png
prv_eld_midline,ship,,,material,graphics/prv/ships/materials/prv_eld_midline_material.png
prv_eld_midline,ship,,,surface,graphics/prv/ships/materials/prv_eld_midline_surface.png
,,,,,
#v28,,,,,
prv_tystnad_midline,ship,,1,normal,graphics/prv/ships/materials/prv_tystnad_midline_normal.png
prv_tystnad_midline,ship,,,material,graphics/prv/ships/materials/prv_tystnad_midline_material.png
prv_tystnad_midline,ship,,,surface,graphics/prv/ships/materials/prv_tystnad_midline_surface.png
,,,,,
#v28,,,,,
prv_sorl_midline,ship,,1,normal,graphics/prv/ships/materials/prv_sorl_midline_normal.png
prv_sorl_midline,ship,,,material,graphics/prv/ships/materials/prv_sorl_midline_material.png
prv_sorl_midline,ship,,,surface,graphics/prv/ships/materials/prv_sorl_midline_surface.png
,,,,,
#v28,,,,,
prv_flock_midline,ship,,1,normal,graphics/prv/ships/materials/prv_flock_midline_normal.png
prv_flock_midline,ship,,,material,graphics/prv/ships/materials/prv_flock_midline_material.png
prv_flock_midline,ship,,,surface,graphics/prv/ships/materials/prv_flock_midline_surface.png
,,,,,
#v?,,,,,
prv_ljus_pather,ship,,1,normal,graphics/prv/ships/materials/prv_ljus_pather_normal.png
prv_ljus_pather,ship,,,material,graphics/prv/ships/materials/prv_ljus_pather_material.png
prv_ljus_pather,ship,,,surface,graphics/prv/ships/materials/prv_ljus_pather_surface.png
,,,,,
#v24,,,,,
prv_visent_xl,ship,,1,normal,graphics/prv/ships/materials/prv_visent_xl_normal.png
prv_visent_xl,ship,,,material,graphics/prv/ships/materials/prv_visent_xl_material.png
prv_visent_xl,ship,,,surface,graphics/prv/ships/materials/prv_visent_xl_surface.png
,,,,,
#v14,,,,,
prv_gnejs_p,ship,,1,normal,graphics/prv/ships/materials/prv_gnejs_p_normal.png
prv_gnejs_p,ship,,,material,graphics/prv/ships/materials/prv_gnejs_p_material.png
prv_gnejs_p,ship,,,surface,graphics/prv/ships/materials/prv_gnejs_p_surface.png
,,,,,
#v23,,,,,
prv_kite,ship,,1,normal,graphics/prv/ships/materials/prv_kite_normal.png
prv_kite,ship,,,material,graphics/prv/ships/materials/prv_kite_material.png
prv_kite,ship,,,surface,graphics/prv/ships/materials/prv_kite_surface.png
,,,,,
#v6e,,,,,
prv_gnista_tt,ship,,1,normal,graphics/prv/ships/materials/prv_gnista_tt_normal.png
prv_gnista_tt,ship,,,material,graphics/prv/ships/materials/prv_gnista_tt_material.png
prv_gnista_tt,ship,,,surface,graphics/prv/ships/materials/prv_gnista_tt_surface.png
,,,,,
#v14,,,,,
prv_gryning_tt,ship,,1,normal,graphics/prv/ships/materials/prv_gryning_tt_normal.png
prv_gryning_tt,ship,,,material,graphics/prv/ships/materials/prv_gryning_tt_material.png
prv_gryning_tt,ship,,,surface,graphics/prv/ships/materials/prv_gryning_tt_surface.png
,,,,,
#v3e,,,,,
prv_enforcer_rb,ship,,1,normal,graphics/prv/ships/materials/prv_enforcer_rb_normal.png
prv_enforcer_rb,ship,,,material,graphics/prv/ships/materials/prv_enforcer_rb_material.png
prv_enforcer_rb,ship,,,surface,graphics/prv/ships/materials/prv_enforcer_rb_surface.png
,,,,,
#v17,,,,,
prv_eld_rb,ship,,1,normal,graphics/prv/ships/materials/prv_eld_rb_normal.png
prv_eld_rb,ship,,,material,graphics/prv/ships/materials/prv_eld_rb_material.png
prv_eld_rb,ship,,,surface,graphics/prv/ships/materials/prv_eld_rb_surface.png
,,,,,
#v29,,,,,
prv_grendel_rb,ship,,1,normal,graphics/prv/ships/materials/prv_grendel_rb_normal.png
prv_grendel_rb,ship,,,material,graphics/prv/ships/materials/prv_grendel_rb_material.png
prv_grendel_rb,ship,,,surface,graphics/prv/ships/materials/prv_grendel_rb_surface.png
,,,,,
#v3e,,,,,
prv_mule,ship,,1,normal,graphics/prv/ships/materials/prv_mule_normal.png
prv_mule,ship,,,material,graphics/prv/ships/materials/prv_mule_material.png
prv_mule,ship,,,surface,graphics/prv/ships/materials/prv_mule_surface.png
,,,,,
#v27,,,,,
prv_eld_lg,ship,,1,normal,graphics/prv/ships/materials/prv_eld_lg_normal.png
prv_eld_lg,ship,,,material,graphics/prv/ships/materials/prv_eld_lg_material.png
prv_eld_lg,ship,,,surface,graphics/prv/ships/materials/prv_eld_lg_surface.png
,,,,,
#v27,,,,,
prv_flock_lg,ship,,1,normal,graphics/prv/ships/materials/prv_flock_lg_normal.png
prv_flock_lg,ship,,,material,graphics/prv/ships/materials/prv_flock_lg_material.png
prv_flock_lg,ship,,,surface,graphics/prv/ships/materials/prv_flock_lg_surface.png
,,,,,
#v27,,,,,
prv_aska_lg,ship,,1,normal,graphics/prv/ships/materials/prv_aska_lg_normal.png
prv_aska_lg,ship,,,material,graphics/prv/ships/materials/prv_aska_lg_material.png
prv_aska_lg,ship,,,surface,graphics/prv/ships/materials/prv_aska_lg_surface.png
,,,,,
v28,,,,,
prv_gnista_lc,ship,,1,normal,graphics/prv/ships/materials/prv_gnista_lc_normal.png
prv_gnista_lc,ship,,,material,graphics/prv/ships/materials/prv_gnista_lc_material.png
prv_gnista_lc,ship,,,surface,graphics/prv/ships/materials/prv_gnista_lc_surface.png
,,,,,
#v28,,,,,
prv_aska_lc,ship,,1,normal,graphics/prv/ships/materials/prv_aska_lc_normal.png
prv_aska_lc,ship,,,material,graphics/prv/ships/materials/prv_aska_lc_material.png
prv_aska_lc,ship,,,surface,graphics/prv/ships/materials/prv_aska_lc_surface.png
,,,,,
#v28,,,,,
prv_tiger_lc,ship,,1,normal,graphics/prv/ships/materials/prv_tiger_lc_normal.png
prv_tiger_lc,ship,,,material,graphics/prv/ships/materials/prv_tiger_lc_material.png
prv_tiger_lc,ship,,,surface,graphics/prv/ships/materials/prv_tiger_lc_surface.png
,,,,,
#v28,,,,,
prv_munsbit_lc,ship,,1,normal,graphics/prv/ships/materials/prv_munsbit_lc_normal.png
prv_munsbit_lc,ship,,,material,graphics/prv/ships/materials/prv_munsbit_lc_material.png
prv_munsbit_lc,ship,,,surface,graphics/prv/ships/materials/prv_munsbit_lc_surface.png
,,,,,
#v3e,,,,,
prv_sunder_ryak,ship,,1,normal,graphics/prv/ships/materials/prv_sunder_ryak_normal.png
prv_sunder_ryak,ship,,,material,graphics/prv/ships/materials/prv_sunder_ryak_material.png
prv_sunder_ryak,ship,,,surface,graphics/prv/ships/materials/prv_sunder_ryak_surface.png
,,,,,
#v3e,,,,,
prv_conquest_ryak,ship,,1,normal,graphics/prv/ships/materials/prv_conquest_ryak_normal.png
prv_conquest_ryak,ship,,,material,graphics/prv/ships/materials/prv_conquest_ryak_material.png
prv_conquest_ryak,ship,,,surface,graphics/prv/ships/materials/prv_conquest_ryak_surface.png
,,,,,
#ve3,,,,,
prv_middag,ship,,1,normal,graphics/prv/ships/materials/prv_middag_normal.png
prv_middag,ship,,,material,graphics/prv/ships/materials/prv_middag_material.png
prv_middag,ship,,,surface,graphics/prv/ships/materials/prv_middag_surface.png
,,,,,
#v3e,,,,,
prv_fika,ship,,1,normal,graphics/prv/ships/materials/prv_fika_normal.png
prv_fika,ship,,,material,graphics/prv/ships/materials/prv_fika_material.png
prv_fika,ship,,,surface,graphics/prv/ships/materials/prv_fika_surface.png
,,,,,
#v28,,,,,
prv_ilbud_h,ship,,1,normal,graphics/prv/ships/materials/prv_ilbud_h_normal.png
prv_ilbud_h,ship,,,material,graphics/prv/ships/materials/prv_ilbud_h_material.png
prv_ilbud_h,ship,,,surface,graphics/prv/ships/materials/prv_ilbud_h_surface.png
,,,,,
#v4e,,,,,
prv_klirr,ship,,1,normal,graphics/prv/ships/materials/fighters/prv_klirr_normal.png
