id,type,text1,text2,text3,text4,notes
#############################,,,,,,
### prv Ships,,,,,,
#############################,,,,,,
prv_kite,SHIP,"Remodeled to carry a wing of escort drones instead of a gun turret, this shuttle features an impressively optimized flight deck complete with a miniature manufactory.

A familiar civilian design, the ""Kite""-class aeroshuttle is the day-to-day reminder of Fabrique Orbitale's reputation for aeronautical engineering- a valuable specialty even in the age of space travel. This compact space/aircraft is streamlined for efficient atmospheric flight and boasts a grid of cleverly distributed short-burst maneuvering thrusters coordinated by a delta-level AI subsystem to ensure smooth landings (a point driven home by Fabrique marketing by way of amusing ad-holos featuring a well-dressed couple and an overfull wine glass). The Kite has powerful engines for a civilian ship of its size, though zero-G maneuverability leaves something to be desired when the special subsystem is not engaged.

In the dangerous cycles post-Collapse, the Kite has been outfitted with a defense turret in place of the executive-class viewing dome and the two auxiliary jet-pods are replaced with missile systems (which do not need to draw on the limited powerplant). It won't stand up in a fair fight, but the Kite can be given unexpectedly sharp teeth and use its speed to escape from raiders. Luddic Path radicals have even been known to use modified Kite to deliver strike weapons against helpless freighters, followed by engaging the maneuvering subsystem to make a swift exit to avoid the wrath of their victim's escort.",,,,
prv_mule,SHIP,"Impressed to bulk out the prv's depleted merchant marine, this sturdy combat freighter has been given a quick refit before being put on hazard duty.

Quite possibly meeting its match against the rimward pirates, the Mules have fared little better than the rest of the prv’s shipping fleet. Corporate logistics continue to be intermittently successful at best.",,,,
prv_sunder_ryak,SHIP,"Retaining little of the standard model’s spirit, this Sunder has had its powerful generator and energy battery replaced with ballistic cannons and additional armor. An EMP-countermeasure array backs up the gunnery, giving the ship a significant edge in a close-in brawl.

Extensively remodeled by Mångtekniska Regalvarven in an attempt to fit the common Sunder into their fleets, the effort came to an end with the loss of Regalvarven’s home station, Hallar. The few Sunder conversions that have survived since maintain fine records of serving their house well and proudly.",,,,
prv_conquest_ryak,SHIP,"This Conquest has been heavily modified at the Ryak High-Energy Labs to serve as a test platform for an experimental armaments project. It now backs up its main broadside batteries with a powerful spinal-mount particle projector. Generally considered a somewhat awkward model.

The Conquest-class battlecruiser is the embodiment of concentrated firepower. Developed in the period just preceding the popularization of fighter craft, the class emphasizes firepower and speed over armor protection.

Space Naval tacticians of the day were confident that new weapons systems would always outperform armor and shields and thus were the key to winning an engagement. So why not build a ship for speed and power? Give it the armor protection of a cruiser, but arm it with the best weapons available to any ship, and have it remain faster than any of those lumbering behemoths of the line. The Conquest is a good example of these concepts put into a hull. Many other advanced technologies were incorporated into the design, including weapon mounts designed for a circling engagement. This maneuver requires greater navigational skill while serving to provide more tactical options to the commanding officers. 

Fortune favors the bold, the ancients said. This class of ships does indeed favor the bold captain, willing to risk everything for the thrill of victory.",,,,
prv_fika,SHIP,"Well armed for a freighter, the Fika is often used as a tender for prv expeditionary fleets. Fast taskforces expecially appreciate its high engine burn rate.

A further development of the Munsbit hullform, the Fika offers more armor, more cargo space, more guns, and as one would expect, more expenses. It’s been remarked that perhaps the prv would have fewer logistical problems if they simply used cheaper cargo ships.",,,,
prv_middag,SHIP,"As many prv ships the Middag straddles the line between ambitious and megalomanic - oversized and overarmed, this freighter is capable of standing up to most cruisers in the sector in direct combat. It is extravagant to a fault, and much too expensive for civilian shipping - or deployment in most navies, for that matter. Only a small number were built before the production lines were retooled to manufacture smaller and demilitarized versions.",,,,
,,,,,,
#############################,,,,,,
### prv Fighters,,,,,,
#############################,,,,,,
prv_klirr,SHIP,"As a slaved combat drone entirely dependent on its host for fire control, the Klirr offers significant firepower but is largely incapable of independent action. The subsumed targeting circuits allow it to take full advantage of any range improvements its host enjoys.",,,,
,,,,,,
#############################,,,,,,
### Rust Belt Ships,,,,,,
#############################,,,,,,
prv_enforcer_rb,SHIP,"Some Enforcers hulls have found their way into Ruster hands, where they have been modified to better suit local preferences: point defense lasers and a mount for an energy blaster.

While well-liked among the syndicates, Enforcer hulls are still fairly rare in the belts. Most remain intact in Hegemony fleets, deployed a thankful distance away from Ruster habitats in the Kratul system. Only a smattering of hulls purchased through various smuggling outfits end up getting the full conversion treatment.",,,,
prv_eld_rb,SHIP,"Though referred to as a ”petty mockery” by the prv Starworks corporation, the Rust Belt model of the Eld destroyer nonetheless finds itself as an appreciated ship among sector fringe elements, offering a competent mix of speed and firepower.

While the ship’s relationship to the prv Eld is evident at a glance, the Rust Belt model rebuilds large parts of the ship to be more suited for Outer Yard construction habits. This does result in it being cheaper to build, maintain and field, but leaves a noticable mark in the ship’s perfomance ratings due to a weaker generator and much more common frontal shield emitter - not to mention the complete lack of a tensor drive.

The Head4 syndicate claim that they produce the ship from a now-decrypted production chip stolen in a convoy raid. While outsiders have been unable to confirm the claims, it has been noted that the Old Wharf Eld production is down an average of 27% since the first Eldsjäl sighting was documented. According to the prv this reduction was done to shift production towards the Tystnad. 

Clear and credible sources supporting either side remain elusive.",,,,
prv_visent_xl,SHIP,"Equipped with a larger and more heavily shielded cargo module than the standard model, this Visent is a sturdy but painfully unweildy freighter. It is combat-capable and can carry a fair complement of missiles, but its poor handling tends to leave it very vulnerable to lighter ships.

Free traders of the belt often voice the complaint that ”the only way to hide something on a Visent is to lose it in the general mess”. These complaints, along with some encouraging venture funding, has lead to the development of the XL Cargo Module: sporting well over a hundred individualized compartments, many of which are discretely but thoroughly shielded against inquisitive patrol sensors and unneccessarily thorough customs officers, the XL helps ensure that free commerce in the sector is not overly hindered by stuffy bureaucrats or outdated regulations.",,,,
prv_grendel_rb,SHIP,"Lacking the phase coils of the original hull, this Grendel conversion instead augments its considerable ballistic array with several heavy energy mounts. But while the ship's firepower is intimidating, the lack of a central fire control computer drastically limits its offensive potential.

The Hegemony occasionally sell off a Grendel hull that's too worn down even for penal use, and consign it to the scrapyards. And useful scrap hulls have a way of ending up in Ruster hands. The Outer Yard shipbuilders of Frank & Stein Werft handle the conversion and reconstruction of these ships, but have gained a reputation for being somewhat unreliable both when it comes to delivery dates and the quality of the finished ship.",,,,
,,,,,,
#############################,,,,,,
### Midline ships,,,,,,
#############################,,,,,,
prv_flamma_midline,SHIP,"An adaptation of the Flamma manufactured for the Sindrian Diktat. This version opts for agility over advanced defenses, and can outpace most larger ships. 

Suitable for both assault and support roles, the Diktat has found itself purchasing the ship in significant amounts - with a bulk discount to match. It is generally accepted that the prv is exporting the hulls at a loss.",,,,
prv_eld_midline,SHIP,"An agile and flexible destroyer that can be outfitted for most mission profiles. The Lion Andrada himself authorized this modification of the Eld, with additional missile mounts, beefed-up engines, and no sensitive tensor drive to plague fleet logistics.",,,,
prv_sorl_midline,SHIP,"An adaptation of the Sorl for use by some of the lesser members in the Persean League. It is highly reliant on its maneuvering jets for mobility, and provides a significant amount of missile firepower.

It is approached with a certain degree of scepticism within the League, with the hulls mainly being commissioned by League members who would, perhaps, prefer that their dues not support Kazeron's naval yards directly.",,,,
