id,type,text1,text2,text3,text4,notes
,,,,,,
#############################,,,,,,
### Campaign,,,,,,
#############################,,,,,,
### Stjärngård ################,,,,,,
prv_stjarngard_strand,CUSTOM,"Great waves of harmless golden sand punctuated by a occasional streams, lakes and even a few minor oceans make up the main geographical features on Strand. Sadly, the otherwise pleasant planet is completely bereft of valuable resources or significant soil nutrients and the population must make a living though trade and manufacturing.",,"While economically completely worthless - its main export would be silicate - the low gravity and almost comforting biosphere of Strand make it an ideal waystation for goods that would be expensive and difficult to process elsewhere. The prv Starworks Corporation have set up a major presence here, completely dominating local politics through a combination of gunboat diplomacy and monopolizing all spacebound logistics on the planet.",,
prv_stjarngard_strand_station,CUSTOM,"Perseiska Kompaniet is a vast prv trade house that considers Strand its private protectorate. They control the majority of all trade on the colony, and impose military protection in exchange for extortionate fees. Nothing gets done on Strand without Kompaniet getting its cut of the proceeds.",,"Luxuriously decorated, the lavish halls of the PK speak of great wealth, or possibly great insecurity. With all the good taste of a bank office and humility of an aristocrat’s mansion, the station’s environments are considered entirely insufferable by anyone not a Tri-Tachyon financier or prv noble. All in all it is the perfect place to exchange large sums of other people’s money.",,
prv_stjarngard_utbo,CUSTOM,"A large, mild eccentric world populated by millions of people who live quiet lives mainly as farmers under the thumb of a dizzying array of feudal lords. All legal trade with the world passes through the orbital station, leaving the planet itself largely isolated from the sector.",,"Time passes slowly in endless farmsteads, fishing villages and townships of Utbo. The farmers work the land, the lords skirmish amongst each other, and the corporation taxes. In the planetside port, a large armed garrison ensures that no visitors leave the trade city without a passport, and likewise that no unauthorized locals enter it.",,
prv_stjarngard_utbo_station,CUSTOM,"Hanging as a dark star in the sky above the night-side of Utbo the orbital smelters, foundries and yards that form the industrial heart of the system loom hungrily, always asking for additional dues from the lords on the planet below.",,"The outer walls of the station contain a complex of dirty smelters, busy yards, noisy manufactories and bustling trade docks, all overlooked by a series of gigantic towers looming through the central axis of the station. In the towers residential sections are squeezed in between formal corporate offices and opulent trade houses. 

Salarymen walk the skybridges between the towers and cargo barges weave through the thin air and low gravity, delivering goods to wherever they are needed. Underneath the towers monorail trains move the industry laborers about through the din and clamor of the wharves and workshops. 

In the towers, ever-busy bureaucrats hurry through sedate parks and solemn office houses, while on the ring calm, collected workers carefully navigate a cacaphonous bustle of men and machines.",,
prv_stjarngard_utbo_moon1,CUSTOM,"Barren, lifeless, and one of two reasons for the fascinating tidal patterns on Utbo, this dead rock has little else to offer the universe at large.",,,,
prv_stjarngard_utbo_moon2,CUSTOM,"Barren, lifeless, and one of two reasons for the amazingly intricate folk astrology of the peasants on Utbo, this dead rock has little else to offer the universe at large.",,,,
prv_stjarngard_ymer,CUSTOM,A giant planet composed primarily of a mist of frozen water overlaying gigantic icebergs floating in a diffuse sea of liquid nitrogen.,,,,
