name,id,designation,tech/manufacturer,tags,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,,,,,,,hints,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnista (P),prv_gnista_p,Light Frigate,Pirate,prv_pirate_bp,flarelauncher,3,1000,200,1800,1375,110,25,,160,110,90,70,90,140,OMNI,,120,0.45,0.8,,,8,16,25,35,1,35,10,7500,8,12,180,0.25,3,3,,,,,,,,,0.5,2,2,,8706
Skiffer,prv_skiffer,Salvage Tender,Rust Belt,prv_rb_bp,flarelauncher,4,1600,300,1500,1250,90,30,1,110,90,70,45,45,250,FRONT,,270,0.3,1.1,,,12,24,70,25,1,25,9,8000,6,12,240,0.25,4,4,,,,,,,"CARRIER, FREIGHTER",,0.5,2,2,,8701
Basalt,prv_basalt,Heavy Frigate,Rust Belt,prv_rb_bp,prv_plasmamanjets_rb,4,3000,500,2000,1375,110,50,,110,60,60,55,55,225,FRONT,,270,0.6,1,,,15,30,60,30,1,30,10,12000,10,12,270,0.25,4,4,,,,,,,,,0.4,2,2,,8702
Gremlin (RB),prv_gremlin_rb,Gunship,Rust Belt,prv_rb_bp,flarelauncher_fighter,5,3100,450,2400,2000,160,45,,90,120,90,45,90,200,NONE,,,,,,,5,12,20,30,1,20,9,8000,8,10,240,0.25,4,4,,,,,,,,,0.7,2,3,,8703
Flamma (P),prv_flamma_p,Heavy Frigate,Pirate,prv_pirate_bp,prv_plasmamanjets_overtuned,5,2400,300,2350,1875,180,40,,110,90,60,60,90,275,OMNI,,90,0.3,1,,,20,40,30,25,1,25,10,11000,8,10,240,0.25,6,6,,,,,,,,,0.5,2,2,,8708
Fasnod (P),prv_fasnod_p,Phase Frigate,Pirate,prv_pirate_bp,prv_erfield_p,8,1750,350,3000,3750,300,35,,150,170,100,50,100,225,PHASE,phasecloak,,,,0.04,0.04,7,11,25,40,1,40,10,32000,10,30,210,0.25,7,7,,,,,,,,,0.5,2,2,,8709
Granit,prv_granit,Heavy Frigate,Rust Belt,"prv_rb_cap_bp, rare_bp",prv_erfield_p,9,3700,500,3750,3437,275,60,,140,210,140,40,80,275,FRONT,,270,0.3,1,,,18,45,40,40,2,20,10,36000,8,15,300,0.25,10,10,,,,,,,,,0.35,2,4,,8704
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tystnad (P),prv_tystnad_p,Light Destroyer,Pirate,prv_pirate_bp,ammofeed,7,2900,350,3900,4600,275,75,1,100,65,50,50,50,250,OMNI,,90,0.4,0.8,,,40,80,30,40,2,20,9,34000,7,20,270,0.25,7,7,,,,,,,,,0.6,2,2,,8713
Gnejs,prv_gnejs,Destroyer,Rust Belt,prv_rb_bp,ammofeed,7,5500,700,3750,3333,225,80,,70,45,35,35,20,325,FRONT,,150,0.4,1.1,,,45,90,80,60,2,30,9,31000,6,12,360,0.25,7,7,,,,,,,,,0.4,2,3,,8718
Dolomit,prv_dolomit,Destroyer,Rust Belt,prv_rb_bp,displacer,11,4800,550,4800,5000,300,95,,60,40,30,25,20,375,OMNI,,120,0.5,1.1,,,60,170,100,60,3,20,8,47000,6,15,420,0.25,12,12,,,,,,,,,0.4,2,3,,8719
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flock (RB),prv_flock_rb,Light Carrier,Rust Belt,prv_rb_bp,targetingfeed,13,6400,600,6000,5000,250,115,2,70,45,35,20,20,900,FRONT,,270,0.3,1.2,,,140,280,110,75,3,25,9,115000,4,15,420,0.25,17,17,,,,,,,"CARRIER, COMBAT",,0.6,2,4,,8720
Venture (RB),prv_venture_rb,Combat Freighter,Rust Belt,prv_rb_bp,prv_microburn_p,10,10000,1250,7000,6000,300,125,1,40,15,10,12,6,1800,FRONT,,240,0.3,1,,,80,300,800,270,3,90,7,90000,5,10,540,0.25,14,14,,,,,,,,,0.4,2,3,,8721
Hornfels,prv_hornfels,Cruiser,Rust Belt,prv_rb_bp,fortressshield,13,7800,1000,6000,5000,300,150,,65,35,30,15,15,1100,FRONT,,240,0.4,1.1,,,125,180,180,150,3,50,8,95000,4,12,480,0.25,15,15,,,,,,,,,0.4,2,3,,8722
