id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
,,,,,,,,,,,,,,,,,
prv_fusion_burster,beam,65,0.65,,"[245,55,15]",,190,0.35,,"[20,70,155]",95,0.35,,"[20,70,155]",,1,TRUE
prv_fusion_burster_fighter,beam,65,0.65,,"[245,55,15]",,190,0.35,,"[20,70,155]",95,0.35,,"[20,70,155]",,1,TRUE
prv_heavyilluminator,beam,75,0.2,,"[255,128,0]",,75,0.2,,"[255,128,0]",50,0.2,,"[255,128,0]",,1,TRUE
prv_hfl_shot,projectile,100,0.2,0.25,"[255,128,0]",,115,0.2,0.5,"[255,128,0]",75,0.1,0.35,"[255,128,128]",,0.5,TRUE
prv_belt_blaster_shot,projectile,115,0.5,0.3,"[255,128,0]",,160,0.6,0.7,"[255,128,0]",150,0.45,0.4,"[255,128,128]",,1,TRUE
prv_blaster_charge_shot,projectile,115,0.5,0.3,"[255,128,0]",,160,0.6,0.7,"[255,128,0]",150,0.45,0.4,"[255,128,128]",,1,TRUE
,,,,,,,,,,,,,,,,,
prv_spatterflamer_shot,projectile,60,0.3,,"[220,160,255]",,30,0.25,,"[199,102,255]",60,0.6,0.3,"[220,160,255]",,1,TRUE
,,,,,,,,,,,,,,,,,
prv_kartesch_main_shot,projectile,125,0.3,0.3,"[255,180,60]",,140,0.35,0.9,"[255,180,60]",100,0.25,0.5,"[255,240,165]",,1,TRUE
prv_kartesch_1_shot,projectile,110,0.3,0.2,"[255,220,30]",,135,0.4,0.9,"[255,220,30]",125,0.3,0.15,"[255,185,115]",,0.5,TRUE
prv_pskd_cluster_shot,projectile,25,0.15,0.3,"[180,180,255]",,20,0.25,0.1,"[180,180,255]",25,0.2,0.11,"[255,255,200]",,0.4,TRUE
prv_remission_shot,projectile,90,0.3,0.15,"[128,255,255]",,45,0.35,0.1,"[128,255,255]",85,0.25,0.22,"[128,255,255]",,1,TRUE
prv_remission_1_shot,projectile,90,0.3,0.15,"[128,255,255]",,45,0.35,0.1,"[128,255,255]",85,0.25,0.22,"[128,255,255]",,1,TRUE
prv_massdriver_shot,projectile,100,0.4,0.2,"[178,229,255]",,120,0.3,0.2,"[178,229,255]",150,0.35,0.2,"[178,229,255]",,1,TRUE
prv_massdriver_1_shot,projectile,30,0.2,0.1,"[178,229,255]",,40,0.2,0.1,"[178,229,255]",50,0.2,0.1,"[178,229,255]",,1,TRUE
prv_synac_shot,projectile,70,0.25,0.2,"[220,130,80]",,70,0.25,0.75,"[220,130,80]",80,0.2,0.15,"[220,130,80]",,1,TRUE
,,,,,,,,,,,,,,,,,
prv_brytare_srm,projectile,100,0.25,0.5,"[255,120,60]",6,200,0.2,1,"[255,120,60]",,,,,,1,FALSE
prv_blaster_charge,projectile,75,0.3,0.75,"[255,64,0]",4,150,0.6,0.5,"[255,64,0]",75,0.3,0.2,"[255,64,0]",,1,FALSE
prv_blaster_charge_cluster_missile,projectile,150,0.3,0.75,"[255,64,0]",4,250,0.6,0.75,"[255,64,0]",150,0.3,0.25,"[255,64,0]",,1,FALSE
prv_sidewinder_srm,projectile,90,0.25,0.3,"[255,145,75]",7,200,0.3,0.75,"[255,100,50]",,,,,,1,FALSE
