id,type,frame,magnitude,map,path
,,,,,
# v24,,,,,
prv_gnista_p,ship,,1,normal,graphics/prv/ships/materials/prv_gnista_p_normal.png
prv_gnista_p,ship,,,material,graphics/prv/ships/materials/prv_gnista_p_material.png
prv_gnista_p,ship,,,surface,graphics/prv/ships/materials/prv_gnista_p_surface.png
,,,,,
prv_skiffer,ship,,1,normal,graphics/prv/ships/materials/prv_skiffer_normal.png
prv_skiffer,ship,,,material,graphics/prv/ships/materials/prv_skiffer_material.png
prv_skiffer,ship,,,surface,graphics/prv/ships/materials/prv_skiffer_surface.png
,,,,,
#v19,,,,,
prv_basalt,ship,,1,normal,graphics/prv/ships/materials/prv_basalt_normal.png
prv_basalt,ship,,,material,graphics/prv/ships/materials/prv_basalt_material.png
prv_basalt,ship,,,surface,graphics/prv/ships/materials/prv_basalt_surface.png
,,,,,
#v23,,,,,
prv_wolf_rb,ship,,1,normal,graphics/prv/ships/materials/prv_wolf_rb_normal.png
prv_wolf_rb,ship,,,material,graphics/prv/ships/materials/prv_wolf_rb_material.png
prv_wolf_rb,ship,,,surface,graphics/prv/ships/materials/prv_wolf_rb_surface.png
,,,,,
#v19,,,,,
prv_flamma_p,ship,,1,normal,graphics/prv/ships/materials/prv_flamma_p_normal.png
prv_flamma_p,ship,,,material,graphics/prv/ships/materials/prv_flamma_p_material.png
prv_flamma_p,ship,,,surface,graphics/prv/ships/materials/prv_flamma_p_surface.png
,,,,,
prv_fasnod_p,ship,,1,normal,graphics/prv/ships/materials/prv_fasnod_p_normal.png
prv_fasnod_p,ship,,,material,graphics/prv/ships/materials/prv_fasnod_p_material.png
prv_fasnod_p,ship,,,surface,graphics/prv/ships/materials/prv_fasnod_p_surface.png
,,,,,
prv_gremlin_rb,ship,,1,normal,graphics/prv/ships/materials/prv_gremlin_rb_normal.png
prv_gremlin_rb,ship,,,material,graphics/prv/ships/materials/prv_gremlin_rb_material.png
prv_gremlin_rb,ship,,,surface,graphics/prv/ships/materials/prv_gremlin_rb_surface.png
,,,,,
#v14,,,,,
prv_gremlin_rb_rare,ship,,1,normal,graphics/prv/ships/materials/prv_gremlin_rb_rare_normal.png
prv_gremlin_rb_rare,ship,,,material,graphics/prv/ships/materials/prv_gremlin_rb_rare_material.png
