id,type,text1,text2,text3,text4,notes
,,,,,,
#############################,,,,,,
### Ships,,,,,,
### Pirate Frigates,,,,,,
#############################,,,,,,
prv_gnista_p,SHIP,"A light patrol craft outfitted with a tempramental pulse laser, this popular Gnista modification has been the starting point of many a pirate. Often found lurking along the more obscure shipping lanes of the sector.

While soundly beaten in raw combat power by most military frigates, the Gnista (P) is still a menace to civilian craft, and many a smuggler has found his voyage brought to an end by a fellow outlaw in a slightly meaner ship.",,,,
prv_flamma_p,SHIP,"Its engines replaced by hotrodded scrapyard finds and with a gigantic plasma thrower welded into the hull, this ship truly embraces the Rust Belt spirit.

Even the sceptics have to admit that this souped up ship is fairly agile, as far as bovines go.",,,,
prv_fasnod_p,SHIP,"A fast hunting frigate, adept at ganging up on isolated targets. One of the more advanced hulls to end up in pirate hands.

Among the many things that were lost during the collapse were one of the prv’s Fasnod production chips, which a senior technician absconded with in the general confusion of the first century of the collapse. 

It is unclear where - and with whom - the chip itself ended up, but it was likely on an industrial world as a large batch of Fasnods quickly made their way to pirate hands. The ramifications were however not quite as dire as sector legal authorities first feared, as the blueprint did not include the production codes for the ship’s gravity mine teleporter. 

Mass production ceased after a few cycles. It is suspected that prv agents from Pariabyrån managed to track down the deserter. There is still a trickle of hulls of dubious quality being produced in fringe workshops. Experienced appraisers can easily tell the difference through to a tell-tale flange replacement that is not present in the mass-produced series.",,,,
,,,,,,
,,,,,,
#############################,,,,,,
### Ships,,,,,,
### Rust Belt Frigates,,,,,,
#############################,,,,,,
prv_damm,SHIP,"A shuttle craft common in Ruster space. The Damm can carry light cargo loads or small groups of people, and also carries a multitool array and a tug-line fastener. Ideal for everyday tasks that are beyond a Buddy drone.

Supposedly there exists a pattern for installing a furnace on the Damm that smelts a single standard industrial ore grain at a time. Combined with a mining laser, a family could probably make a living off of that…",,,,
prv_skiffer,SHIP,"One of the primary economic engines of the belts, these small craft recycle and reuse the leftovers of life (and death) in space. Capable of cutting up and carting off larger ships in remarkably short time, the Skiffer is ubiquitous in Ruster space. To assist in the work, the Skiffer can carry a group of utility drones, or if safety is a bigger concern than usual, a wing of armed fighter craft.",,,,
prv_basalt,SHIP,"By all appearances chiseled out of a mountain, the Basalt is a sturdy combat frigate popular with the more well-organized Rust Belt militias. Held back somewhat by a sub-par flux system and limited uptime on the orientation thrusters.

Much of the innards of the Basalt are dedicated to a generous cargo hold, and it is not uncommon for the ship to be used as an armed courier in the ’freer’ parts of the sector.",,,,
prv_granit,SHIP,"Scrapyard salvage of the best kind has been gathered to build this rugged and feisty combat frigate. It is armed with an assortment of smaller weapons and with a potent shock emitter mounted on the port side. Although the Granit is a relatively common ship in the belt, owning one still commands a fair bit of respect. It is regarded as a solid ship, for respectable freebooters.

Sporting more creature comforts than most combat ships, Granit officers rarely have trouble finding willing crewmen. The standard non-standard mish-mash interior does cut deep in the heart of the more fashionably inclined however. But some of those seats are real pleather, man. That ain't bad.

On the side of the hull there is mounted a reclaimed beam weapon; no longer functional in its original role but full of power coils, flux vanes and other goodies that can be coaxed to transfer extreme currents. Once a splendor of the technology of man, this beam weapon now serves as a glorified spark plug.",,,,
