id,trigger,conditions,script,text,options,notes
#RULESET_NAME Roider Union DEV,,,,,,
,,,,,,
# Roider fleet greeting lines,,,,,,
roider_GreetingFriendly,OpenCommLink,"$faction.id == roider
$faction.friendlyToPlayer
","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Seen any raiders around?""
OR
""Burn bright, friend.""",,
roider_GreetingWeaker,OpenCommLink,"$faction.id == roider
$entity.isHostile
$entity.relativeStrength < 0
",$entity.ignorePlayerCommRequests = true 1,"""You knock off us and every Roider in the Sector is gonna come down on your head like a pile o' rocks.""
 The Roider $personRank fidgets.
OR
""Keep your distance. We don't want trouble.""",cutCommLink:Cut the comm link,
roider_GreetingHostileWeakerDefiant,OpenCommLink,"$faction.id == roider
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
",$entity.ignorePlayerCommRequests = true 1,"The Roider $personRank makes a rude gesture over the vid-screen before killing the comm link.
OR
$personName glares defiantly and spits before killing the comm link.",cutCommLink:Cut the comm link,
roider_GreetingHostileStronger,OpenCommLink,"$faction.id == roider
$entity.isHostile
$entity.relativeStrength >= 0
",$entity.ignorePlayerCommRequests = true 1,"""You came to the wrong part of the Sector, rock licker.""
OR
""You call that derelict a ship?"" The Roider $personRank spits derisively.
OR
""Rock and stone, roiders!"" $personName shouts. A chorus of ""Rock and stone!"" echoes $himHer before $heShe cuts the comm link.",cutCommLink:Cut the comm link,
roider_GreetingNeutral,OpenCommLink,"$faction.id == roider
$faction.neutralToPlayer
","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Keep your distance. We don't want trouble.""",,
#END Roider fleet greeting lines,,,,,,
,,,,,,
# Trade panel flavor text,,,,,,
roiderFlavorTextMarket,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == roider score:100
","AddText ""Roider warships blend together with the dust-covered freighters and mining ships that fill the port concourse."" marketFlavorTextColor
AddText ""Gruff captains negotiate deals in run-down bars surrounded by port workers, miners, and other spacers trading drinks and tall tales."" marketFlavorTextColor",,,
