name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
MIDAS,roider_midas,1,,,"special, roider","Special, Defenses",5000,FALSE,,,4,8,12,20,roiderUnion.hullmods.MIDAS,"The Massive Impact Deflection/Ablation System is a formalization of various ad-hoc protection schemes for mining ships. Reduces the damage of asteroid impacts on this ship by %s, with a proportional reduction of impact force and chance of a damaging impact for the entire fleet.

Reduces EMP damage taken by %s and increases the ship's effective mass by %s.",Reduces effect of collisions and EMP.,Reduces kinetic damage taken to armor and hull by %s.,graphics/hullmods/roider_midas.png
Fighter Clamps,roider_fighterClamps,0,,,"special, non_phase, roider",Fighters,5000,TRUE,,,2,4,8,10,roiderUnion.hullmods.FighterClamps,"An old and discredited trick, deploying fighters from simple hull clamps was reinvented by roiders and has proliferated among independents and pirates.

Adds attachment points for %s fighter wings to the ship's hull, depending on ship size, requiring %s more crew. Fighters cost %s more ordnance points. New fighters cannot be produced in combat.

Cannot be installed on phase ships or ships that have fighter bays. Blocks bombers.",Improvised fighter bay for non-carriers.,,graphics/hullmods/roider_fighter_clamps.png
Tracker Swap,roider_trackerSwap,0,,Roider Union,"special, no_build_in, roider","Special, Fighters",5000,FALSE,,,6,6,15,20,roiderUnion.hullmods.TrackerSwap,Switches the built-in drone bays on certain Roider ships to produce a Tracker strike drone.,Switches built-in drones to a Tracker.,,graphics/hullmods/roider_tracker_swap.png
EVA Expertise,roider_commissionCrew,,,Roider Union,,,,,TRUE,,0,0,0,0,roiderUnion.hullmods.EVAExpertise,"Roiders have a level of familiarity with working ""outside"" that other spacers can only dream of. Engine and weapon repairs are completed %s faster and %s fewer crew are lost both in and out of combat.",Faster combat repairs and reduced crew losses.,,graphics/hullmods/roider_eva_expertise.png
,,,,,,,,,,,,,,,,,,,
# Built in hullmods,,,,,,,,,,,,,,,,,,,
MIDAS,roider_midas_fighter,,,,"no_drop, no_drop_salvage",,,,TRUE,,0,0,0,0,roiderUnion.hullmods.FighterMIDAS,"The Massive Impact Deflection/Ablation System is a formalization of various ad-hoc protection schemes for mining ships. Reduces the damage of asteroid impacts on this ship by %s, with a proportional reduction of impact force and chance of a damaging impact for the entire fleet.

Reduces EMP damage taken by %s and increases the ship's effective mass by %s.",Reduces effect of collisions and EMP.,Reduces kinetic damage taken to armor and hull by %s.,graphics/hullmods/roider_midas.png
MIDAS-1,roider_midas1,,,,"no_drop, no_drop_salvage",,,,,,0,0,0,0,roiderUnion.hullmods.HiddenMIDAS,"The Massive Impact Deflection/Ablation System is a formalization of various ad-hoc protection schemes for mining ships. Reduces the damage of asteroid impacts on this ship by %s, with a proportional reduction of impact force and chance of a damaging impact for the entire fleet.

Reduces EMP damage taken by %s and increases the ship's effective mass by %s.",Reduces effect of collisions and EMP.,Reduces kinetic damage taken to armor and hull by %s.,graphics/hullmods/roider_midas.png
MIDAS-2,roider_midas2,,,,"no_drop, no_drop_salvage",,,,,,0,0,0,0,roiderUnion.hullmods.HiddenMIDAS,"The Massive Impact Deflection/Ablation System is a formalization of various ad-hoc protection schemes for mining ships. Reduces the damage of asteroid impacts on this ship by %s, with a proportional reduction of impact force and chance of a damaging impact for the entire fleet.

Reduces EMP damage taken by %s and increases the ship's effective mass by %s.",Reduces effect of collisions and EMP.,Reduces kinetic damage taken to armor and hull by %s.,graphics/hullmods/roider_midas.png
MIDAS-3,roider_midas3,,,,"no_drop, no_drop_salvage",,,,,,0,0,0,0,roiderUnion.hullmods.HiddenMIDAS,"The Massive Impact Deflection/Ablation System is a formalization of various ad-hoc protection schemes for mining ships. Reduces the damage of asteroid impacts on this ship by %s, with a proportional reduction of impact force and chance of a damaging impact for the entire fleet.

Reduces EMP damage taken by %s and increases the ship's effective mass by %s.",Reduces effect of collisions and EMP.,Reduces kinetic damage taken to armor and hull by %s.,graphics/hullmods/roider_midas.png
MIDAS Armor,roider_midas_armor,,,,,,,,TRUE,,0,0,0,0,roiderUnion.hullmods.ModuleMIDAS,Massive Impact Deflection/Ablation System armor modules inherit their parent ship's relevant hullmods.,Copies parent's hullmods.,,graphics/hullmods/roider_midas.png
Firestorm Integration,roider_firestormmod,,,,"no_drop, no_drop_salvage",,,,,,0,0,0,0,roiderUnion.hullmods.FirestormMod,Reduces the ordnance point cost of small and medium ballistic weapons by %s. Prevents the installation of Ballistic Rangefinder.,Reduces ordnance point cost of ballistic weapons.,"Increases the range of small ballistic/hybrid weapons by %s/%s, to a maximum of %s (min %s for hybrids). Since the base range is increased, this modifier - unlike most other flat modifiers - is increased by percentage modifiers from other hullmods and skills.",graphics/hullmods/roider_firestorm_integration.png
Dedicated Targeting Core (Cruiser),roider_bombardmentmod,,,,,,,,TRUE,,0,0,0,0,roiderUnion.hullmods.BombardDTC,"This cruiser-grade targeting core increases the range of ballistic and energy weapons by %s percent.

Can not work in conjunction with Integrated Targeting Unit.",Increases weapon range.,,graphics/hullmods/targeting_core.png
Phasenet Tow Pattern,roider_phasenetTowPattern,,,,,,,,TRUE,,0,0,0,0,roiderUnion.hullmods.PhasenetTowPattern,"Improves the maximum burn level of the slowest ship in the fleet by %s/%s/%s/%s, depending on hull size and up to the burn level of this ship. Multiple phasenets can not be used to speed up the same ship.",Increases burn level of another ship.,,graphics/hullmods/roider_phasenet_tow.png
Drone Reserves,roider_argosHangar,,,,,,,,TRUE,,0,0,0,0,roiderUnion.hullmods.DroneReserves,Fighter replacement rate does not go down when fighters are lost and entire wing is replenished when normally one fighter would launch.,Fighter wings are maintained at full strength.,,graphics/hullmods/roider_argos_hangar.png
Conversion Dock,roider_argosConversion,,,,,,,,TRUE,,0,0,0,0,roiderUnion.hullmods.ArgosSalvage,"Can convert certain ships into pristine warships at the cost of CR and materials. Use the Roider Conversions ability to access the conversion screen.

Also increases the resources gained from salvaging abandoned stations, derelicts, floating hulks, and other such by %s. Only affects the recovery of common resources such as fuel and supplies, and not rare items like blueprints. %s of the bonus applies to post-battle salvage.",Allows ship conversions and increases the resources gained from salvage.,,graphics/hullmods/roider_argos_conversion.png
Tracker Core,roider_armatureCore,,,,,,,,TRUE,,0,0,0,0,roiderUnion.hullmods.TrackerCore,"Used by the Tracker drone, this text should not be visible to the player.",,,graphics/hullmods/roider_drone_net.png
Holistic Gyro-Stabilizers,roider_holisticStab,,,,,,,,TRUE,,0,0,0,0,roiderUnion.hullmods.HolisticStabilizer,"Close integration between ship and weapon gyro-stabilizers increases the base range of medium ballistic/hybrid weapons by %s/%s, up to %s maximum, but does not affect point-defense weapons. It also increases the turn rate of all turrets by %s and reduces recoil by %s.","Increases weapon range, turn rate, and accuracy.",,graphics/hullmods/roider_holistic_stabilizers.png
Outrider,roider_outrider,,,,,,,,TRUE,,0,0,0,0,roiderUnion.hullmods.Outrider,Blocks bombers and reduces the OP cost of ballistic and energy weapons by %s.,Blocks bombers and reduces non-missile weapon OP cost.,,graphics/hullmods/roider_outrider.png
,,,,,,,,,,,,,,,,,,,
Tracker Core,roider_trackerCoreShip,,,,,,,,TRUE,,0,0,0,0,roiderUnion.hullmods.TrackerCoreShip,"The Tracker-class strike drone's relentless AI core transmits superior approach vectors to fighters in its carrier group, increasing their speed by %s, up to a maximum of %s.

Requires MIDAS.",Increases fighter speed.,,graphics/hullmods/roider_drone_net.png
,,,,,,,,,,,,,,,,,,,
Heavy Armor,roider_heavyarmor,,,,defensive,Defenses,,,TRUE,,8,15,20,40,roiderUnion.hullmods.ModuleHeavyArmor,"Increases the ship's armor by %s/%s/%s/%s points, depending on hull size. Also reduces its maneuverability by %s.","Increases armor, reduces maneuverability.",,graphics/hullmods/heavy_armor.png
