id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
roider_hazard,projectile,100,0.2,0.75,"[225,180,150,75]",13,250,0.4,1,"[255,165,135,255]",,,,,,1,FALSE
roider_zap,projectile,75,0.15,0.5,"[100,100,100,150]",8,110,0.25,0.5,"[25,100,160]",75,0.25,0.15,"[100,200,255]",,1,TRUE
roider_hammer_armature,projectile,150,0.5,0.5,"[225,100,70]",10,600,0.7,1.25,"[255,125,80]",,,,,,1,FALSE
,,,,,,,,,,,,,,,,,
roider_marksman_shot,projectile,,,,,,,,,,60,0.25,0.15,"[255,240,165]",,1,TRUE
roider_spike_shot,projectile,110,0.4,0.2,"[225,255,205]",,125,0.4,0.75,"[230,255,210]",150,0.25,0.15,"[165,225,185]",,1,TRUE
roider_pile_shot,projectile,175,0.4,0.3,"[235,225,195]",,225,0.4,0.75,"[230,255,210]",150,0.25,0.15,"[165,225,185]",,1,TRUE
roider_doldrums_shot,projectile,90,0.2,0.1,"[160,190,255]",,100,0.25,0.5,"[200,225,255]",125,0.15,0.5,"[255,165,10]",,1,FALSE
,,,,,,,,,,,,,,,,,
roider_blastinglaser,beam,60,0.95,,"[215,80,80]",,,,,,,,,,,1,TRUE
