id,type,text1,text2,text3,notes
# ships,,,,,
roider_drone_breaker,SHIP,"In the old days just a Blasting Laser on a basic drone chassis, the Rockpipers upgraded the Breaker into a hybrid combat/mining drone, equally adept at blasting rocks and ships.",,,
roider_hopskip2,SHIP,"A modified version of the notorious Hopskip shuttle, the Mk.II's high speed and long range payload can make it difficult to intercept.",,,
roider_bolt,SHIP,"Composed of a cockpit and missile pod crammed between several engines, the Bolt reaches its target with lightning speed.",,,
roider_rocksaw,SHIP,The thrilling firepower of the Rocksaw requires pilots be pried from the controls.,,,
roider_duster,SHIP,"The Duster's turret, missiles, and bombs, the latter stolen from Wasp blueprints, let it sweep aside fighter screens and missile barrages.",,,
roider_armature_left,SHIP,"A tough and quick drone with the relentless Tracker Core at its heart. Reports of the core's AI achieving ""uncanny"" torpedo hit rates hasn't prompted an official investigation. Yet.",,,
roider_armature,SHIP,"Tough and quick drones with the relentless Tracker Core at their hearts. Reports of the core's AI achieving ""uncanny"" torpedo hit rates hasn't prompted an official investigation. Yet.",,,
,,,,,
roider_cyclops,SHIP,"The most common combat frigate of the Roider Union, the Cyclops-class's 360 degree turret coverage and all around good profile make it an excellent escort and skirmisher despite its flimsy hull.

Hacked together by the Korovin shipbreakers, mainly from Hermes-class shuttles, the Cyclops has proved its worth many times over. The design was overhauled and standardized by the Rockpiper Engineering Society just in time for the Kiska Incident.",,,
roider_pepperbox,SHIP,"Without the demands of a modular weapon system, fitting a Devastator Cannon instead, this Roider redesign of the Mudskipper Mk.II is a reliable PD boat. It even has a shield.",,,
roider_roach,SHIP,"Heavily armed but reliant on MIDAS armor and its temporal shell for protection, all bets are off when a Roach-class heavy frigate is deployed in the hands of a skilled pilot.

Extremely advanced compared to other Roider technology, the Roach was made possible when the Roiders stole blueprints and other important data for the Scarab-class heavy frigate during the Kiska Incident. TriTachyon was not pleased, but had to console themselves with their loss after the showdown at Three Sisters Station.",,,
