trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trails_arti_4,sikr_arti_shot,base_trail_heavySmoke,10,0.2,0.3,0.7,20,40,"[50,50,50]","[20,20,20]",0.5,300,5,TRUE,-50,2,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,true,false
trails_arti_1,sikr_arti_shot,trails_trail_foggy,10,0,0,0.3,20,10,"[255,160,30]","[204,50,50]",0.5,300,5,TRUE,20,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_arti_5,sikr_arti_shot,base_trail_zap,10,0,0,0.8,15,20,"[255,100,30]","[204,50,50]",0.8,300,5,TRUE,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_arti_2,sikr_arti_shot,trails_trail_contrail,10,0,0,0.6,25,35,"[100,60,50]","[50,10,10]",0.4,200,5,TRUE,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_arti_3,sikr_arti_shot,trails_trail_contrail,10,0.05,0.1,0.2,20,30,"[150,120,100]","[50,10,10]",0.3,200,5,TRUE,10,0,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,true,false
trails_neolg_1,sikr_neolg_shot,trails_trail_contrail,10,0,0.1,0.1,25,15,"[205,100,255]","[255,50,100]",0.5,200,200,TRUE,20,0,1,TRUE,FALSE,TRUE,100,20,0.3,0,1000,200,true,false
trails_neolg_2,sikr_neolg_shot,trails_trail_contrail,10,0.1,0.1,0.2,20,26,"[255,180,70]","[255,70,70]",0.5,300,5,TRUE,-50,2,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,true,false
trails_neolg_glow,sikr_neolg_shot,trails_trail_smooth,10,0,0.05,0.1,80,60,"[255,180,70]","[125,95,255]",0.6,200,1000,TRUE,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_neolg2_1,sikr_neolg_shot2,trails_trail_zappy,10,0.1,0,0.2,10,8,"[250,70,70]","[255,125,0]",0.4,-1,0,TRUE,30,0,1,TRUE,FALSE,TRUE,15,80,0.4,0,0,200,true,false
trails_multishot_1,sikr_multishot_shot,trails_trail_zappy,10,0.1,0,0.2,10,8,"[250,70,70]","[255,125,0]",0.4,-1,0,TRUE,30,0,1,TRUE,FALSE,TRUE,15,80,0.4,0,0,200,true,false
trails_veko_1,sikr_veko_shot,trails_trail_zappy,10,0.1,0.3,0.2,10,8,"[200,0,165,255]","[255,0,210,255]",0.4,-1,0,TRUE,30,0,1,TRUE,FALSE,TRUE,15,60,0.4,0,0,50,false,false
trails_veko_glow,sikr_veko_shot,trails_trail_clean,10,0,0.1,0.1,4,20,"[255,120,230,255]","[255,120,180,255]",0.6,200,100,TRUE,20,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_chain_1,sikr_chain_shot1,trails_trail_clean,10,0,0,0.3,6,4,"[250,70,70]","[255,125,0]",0.7,-1,0,TRUE,10,0,1,TRUE,FALSE,TRUE,15,80,0.4,0,0,0,false,false
trails_vine_1,sikr_vine_bi_proj,trails_trail_clean,10,0,0,0.3,6,4,"[250,70,70]","[255,125,0]",0.7,-1,0,TRUE,10,0,1,TRUE,FALSE,TRUE,15,80,0.4,0,0,0,false,false
trails_vine_2,sikr_vine_bi_proj2,trails_trail_clean,10,0,0,0.3,6,4,"[45,145,255]","[75,165,220]",0.7,-1,0,TRUE,10,0,1,TRUE,FALSE,TRUE,15,80,0.4,0,0,0,false,false
trails_vine_3,sikr_vine_bi_proj2,trails_trail_zappy,10,0.1,0,0.2,10,8,"[45,145,255]","[75,165,220]",0.4,-1,0,TRUE,10,0,1,TRUE,FALSE,TRUE,15,80,0.4,0,800,200,true,false
trails_vine_glow,sikr_vine_bi_proj2,trails_trail_clean,10,0,0.1,0.1,4,16,"[45,145,255]","[75,165,220]",0.6,200,100,TRUE,20,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_ogmos_4,sikr_ogmos_shot,base_trail_heavySmoke,10,0.3,0,0.4,10,14,"[50,50,50]","[20,20,20]",0.3,300,5,TRUE,0,2,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,true,false
trails_ogmos_1,sikr_ogmos_shot,trails_trail_contrail,10,0,0.2,0.5,10,20,"[100,60,50]","[50,10,10]",0.4,200,5,TRUE,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_ogmos_2,sikr_ogmos_shot,trails_trail_contrail,10,0.05,0.1,0.2,8,16,"[150,120,100]","[50,10,10]",0.3,200,5,TRUE,15,0,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,true,false
trails_frag_1,sikr_fraggun_shot,trails_trail_clean,10,0.1,0.3,0.1,10,4,"[230,230,55,255]","[180,180,25,255]",0.4,-1,0,TRUE,30,0,1,TRUE,FALSE,TRUE,15,60,0.4,0,0,50,false,false
