shipId,startSpeed,endSpeed,startAngular,endAngular,startSize,endSize,colorIn,colorOut,inDuration,mainDuration,outDuration,loopLength,loopSpeed
sikr_himin,0,5,0,0,65,1,,,0.2,0.15,0.1,0,0
sikr_dufa,0,5,0,0,65,1,,,0.2,0.15,0.1,0,0
sikr_lehal,0,5,0,0,65,1,,,0.2,0.2,0.1,0,0
sikr_vine,0,5,0,0,65,1,,,0.2,0.2,0.1,0,0
sikr_seir,0,5,0,0,65,1,,,0.2,0.2,0.2,0,0
,,,,,,,,,,,,,
sikr_shion,0,5,0,0,80,1,,,0.2,0.3,0.25,0,0
sikr_bara,0,5,0,0,80,1,,,0.2,0.3,0.25,0,0
sikr_echin,0,5,0,0,60,1,,,0.2,0.25,0.1,0,0
sikr_nuyre,0,5,0,0,80,1,,,0.2,0.3,0.25,0,0
,,,,,,,,,,,,,
sikr_veko,0,5,0,0,100,1,,,0.2,0.7,0.2,0,0
sikr_marus,0,5,0,0,100,1,,,0.2,0.6,0.2,0,0
sikr_unnr,0,5,0,0,90,1,,,0.2,0.7,0.2,0,0
,,,,,,,,,,,,,
sikr_leviathan_off,0,5,0,0,146,1,,,0.2,1,0.3,0,0
sikr_leviathan_def,0,5,0,0,146,1,,,0.2,1,0.3,0,0
sikr_manta,0,5,0,0,130,1,,,0.2,1.2,0.3,0,0
sikr_palace,0,5,0,0,130,1,,,0.2,1,0.3,0,0
sikr_ocean,0,5,0,0,70,1,,,0.2,0.4,0.3,0,0
