name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FIGHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolga,sikr_kolga,,San-Iris,,,1000,180,600,,100,0,,180,360,240,90,180,55,NONE,,90,,,,,2,2,,,,,,,,,,,,,,,,,,,
Horonn,sikr_horonn,,San-Iris,ammofeed,,1100,180,600,,100,0,,160,260,200,70,180,55,NONE,,90,,,,,2,2,,,,,,,,,,,,,,,,,,,
Hefring,sikr_hefring,,San-Iris,,,1300,200,1200,,50,0,,130,200,200,45,140,55,FRONT,,100,0,1,,,2,2,,,,,,,,,,,,,,,,,,,
Escort Drone,sikr_funnel,,San-Iris,,,300,100,400,,100,0,,240,300,240,100,180,10,NONE,,30,,,,,0,0,,,,,,,,,,,,,,,,,,,
Jorm,sikr_jorm,,San-Iris,,,650,160,200,,100,0,,190,300,220,100,170,22,NONE,,90,,,,,2,2,,,,,,,,,,,,,,,,,,,
#FRIGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himin,sikr_himin,Monitor,San-Iris,flarelauncher_active,8,2800,450,1200,,250,45,,110,110,100,60,90,300,FRONT,,120,0.2,0.8,,,25,35,25,30,1,27,10,26000,8,10,300,0.25,5,5,,sikr_ar_bp,,0.4,2,3,
Dufa,sikr_dufa,Attack Frigate,San-Iris,ammofeed,7,2600,550,1600,,250,50,,130,110,100,60,90,300,FRONT,,100,0.2,1,,,20,35,25,25,1,27,10,20000,8,10,300,0.25,6,6,,sikr_ar_bp,,0.4,2,3,
Lehal,sikr_lehal,Missile Frigate,San-Iris,fastmissileracks,7,2600,550,1800,,350,35,,120,140,110,60,90,300,OMNI,,80,0.2,1,,,15,20,40,25,1,27,9,23000,8,10,300,0.25,6,6,ALWAYS_PANIC,sikr_ar_bp,,0.4,2,3,
Vine,sikr_vine,Assault Frigate,San-Iris,sikr_vine_system,8,2600,550,2000,,350,35,,120,140,110,60,90,300,FRONT,,180,0.2,1,,,15,20,40,25,1,27,9,26000,8,10,300,0.25,8,8,,sikr_ar_bp,,0.4,2,3,
#Seir,sikr_seir,Minelayer,San-Iris,sikr_mine,7,2600,350,1800,,350,30,,120,140,110,60,90,300,PHASE,phasecloak,90,,,0,0.05,15,20,100,25,1,27,9,20000,8,10,300,0.25,6,6,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,3,
#DESTROYER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shion,sikr_shion,Carrier,San-Iris,sikr_supply,13,4000,500,3000,,350,70,2,80,90,70,25,60,350,OMNI,,90,0.2,1,,,70,150,80,100,2,40,10,41000,5,20,300,0.25,15,15,CARRIER,sikr_ar_bp,,0.6,2,3,
Bara,sikr_bara,Destroyer,San-Iris,damper,13,6000,850,3600,,350,85,,90,60,40,25,50,400,FRONT,,100,0.2,1,,,65,100,80,60,2,27,8,40000,5,12,360,0.25,14,14,,sikr_ar_bp,,0.4,2,3,
Echin,sikr_echin,Escort Destroyer,San-Iris,sikr_emp_system,10,4500,750,3200,,400,55,,90,70,40,20,50,400,FRONT,,160,0.2,1,,,35,65,30,40,2,27,9,65000,5,12,360,0.25,10,10,,sikr_ar_bp,,0.4,2,3,
Nuyre,sikr_nuyre,Phase Striker,San-Iris,sikr_displacer,12,4500,700,4000,,310,75,,100,110,70,45,90,410,PHASE,phasecloak,90,,,0,0.05,40,50,60,30,2,40,9,51000,5,20,260,0.25,12,12,,sikr_ar_bp,,0.6,2,3,
#CRUISER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veko,sikr_veko,Heavy Cruiser,San-Iris,damper,15,9000,1000,8000,,550,160,,50,40,30,15,20,1500,FRONT,,180,0.2,1,,,150,220,150,150,4,38,8,130000,4,12,480,0.25,25,25,SHIP_WITH_MODULES,sikr_ar_bp,,0.2,2,3,
Veko left,sikr_veko_left,Armor,San-Iris,sikr_damper_module,0,1600,800,2000,,200,1,,500,0,0,0,0,300,NONE,,90,0.2,1,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,,,,
Veko right,sikr_veko_right,Armor,San-Iris,sikr_damper_module,0,1600,800,2000,,200,1,,500,0,0,0,0,300,NONE,,90,0.2,1,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,,,,
Marus,sikr_marus,Scavenger,San-Iris,sikr_pd_drone,11,11000,680,5000,,400,45,,60,30,25,20,20,850,OMNI,,90,0.2,1,,,70,120,700,150,4,27,7,150000,2,20,220,0.25,12,12,"FREIGHTER, CIVILIAN",sikr_ar_bp,,0.2,2,3,
Unnr,sikr_unnr,Defense Cruiser,San-Iris,sikr_unnr_system,14,9000,850,8000,,800,75,1,60,40,30,15,20,900,FRONT,,120,0.2,0.7,,,150,210,20,220,4,27,8,145000,4,12,480,0.25,18,18,SHIP_WITH_MODULES,sikr_ar_bp,,0.2,2,3,
Shield,sikr_shield_emitter,Emitter,San-Iris,,0,100,850,0,,0,0,,500,0,0,0,0,900,FRONT,,120,0.2,1,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,,
Shell,sikr_unnr_armor,Armor,San-Iris,,0,12000,1100,0,,0,0,,500,0,0,0,0,1100,NONE,,90,0.2,1,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,5,
#CAPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Levi base stat,,,,,30,20000,1200,13000,,900,320,,40,25,25,15,10,2500,FRONT,,90,0.2,1.4,,,800,1000,200,300,10,40,7,390000,3,12,620,0.25,50,50,SHIP_WITH_MODULES,sikr_arc_bp,,0.4,2,3,
Leviathan Offense,sikr_leviathan_off,Battleship,San-Iris,sikr_leviathan_system_offense,30,20000,1300,14500,,900,320,,45,25,25,25,15,2500,FRONT,,90,0.2,1.2,,,800,1000,200,300,10,40,7,390000,3,12,620,0.25,50,50,SHIP_WITH_MODULES,sikr_arc_bp,,0.4,2,3,
Leviathan Defense,sikr_leviathan_def,Battleship,San-Iris,sikr_leviathan_system_defense,30,20000,1200,13000,,1000,320,,40,25,25,20,10,2500,FRONT,,90,0.2,1.3,,,800,1000,200,300,10,40,7,390000,3,12,620,0.25,50,50,SHIP_WITH_MODULES,sikr_arc_bp,,0.4,2,3,
Paladin Horn,sikr_leviathan_defense,Armored Horn,San-Iris,,0,22000,1600,1000,,100,0,,500,250,250,0,0,1100,NONE,,90,0.2,1,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,1,6,
Spear Horn,sikr_leviathan_offense,Armored Horn,San-Iris,,0,18000,1750,1000,,100,0,,500,250,250,0,0,1100,NONE,,90,0.2,1,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,1,3,
Manta,sikr_manta,Carrier,San-Iris,sikr_fighter_damper,30,21000,1200,9000,,800,255,6,30,20,15,10,5,3000,FRONT,,140,0.2,1,,,450,1200,250,200,10,20,7,410000,3,15,600,0.25,55,55,CARRIER,sikr_arc_bp,,0.6,2,3,
Iridaceae,sikr_palace,Imperial Ship,San-Iris,damper,25,12000,900,10000,,1000,70,,60,80,60,20,40,2000,PHASE,phasecloak,,,,0,0.05,700,2300,300,400,10,40,7,1000000,3,12,800,0.25,50,50,"UNBOARDABLE, HIDE_IN_CODEX",,,0.6,2,3,
Ocean,sikr_ocean,Superfreighter,San-Iris,flarelauncher_active,7,8000,850,4000,,200,70,1,35,25,25,5,3,4000,OMNI,,90,0.2,1,,,80,120,2000,300,6,50,7,90000,4,20,620,0.25,12,12,"FREIGHTER, CIVILIAN",sikr_arc_bp,,0.7,2,3,
