id,type,frame,magnitude,map,path
sikr_veko,ship,,2,normal,graphics/ships/maps/sikr_veko_normal.png
sikr_veko_left,ship,,2,normal,graphics/ships/maps/sikr_veko_left_normal.png
sikr_veko_right,ship,,2,normal,graphics/ships/maps/sikr_veko_right_normal.png
sikr_unnr,ship,,2,normal,graphics/ships/maps/sikr_unnr_normal.png
sikr_unnr_left,ship,,2,normal,graphics/ships/maps/sikr_unnr_left_normal.png
sikr_unnr_right,ship,,2,normal,graphics/ships/maps/sikr_unnr_right_normal.png
sikr_shion,ship,,2,normal,graphics/ships/maps/sikr_shion_normal.png
sikr_seir,ship,,2,normal,graphics/ships/maps/sikr_seir_normal.png
sikr_nuyre,ship,,2,normal,graphics/ships/maps/sikr_nuyre_normal.png
sikr_marus,ship,,2,normal,graphics/ships/maps/sikr_marus_normal.png
sikr_manta,ship,,2,normal,graphics/ships/maps/sikr_manta_normal.png
sikr_leviathan,ship,,2,normal,graphics/ships/maps/sikr_leviathan_normal.png
sikr_leviathan_offense,ship,,2,normal,graphics/ships/maps/sikr_leviathan_offense_normal.png
sikr_leviathan_defense,ship,,2,normal,graphics/ships/maps/sikr_leviathan_defense_normal.png
sikr_lehal,ship,,2,normal,graphics/ships/maps/sikr_lehal_normal.png
sikr_himin,ship,,2,normal,graphics/ships/maps/sikr_himin_normal.png
sikr_echin,ship,,2,normal,graphics/ships/maps/sikr_echin_normal.png
sikr_dufa,ship,,2,normal,graphics/ships/maps/sikr_dufa_normal.png
sikr_bara,ship,,2,normal,graphics/ships/maps/sikr_bara_normal.png
sikr_palace,ship,,2,normal,graphics/ships/maps/sikr_palace_normal.png
sikr_ocean,ship,,2,normal,graphics/ships/maps/sikr_ocean_normal.png
sikr_vine,ship,,2,normal,graphics/ships/maps/sikr_vine_normal.png
