id,type,text1,text2,text3,notes
,,,,,
sikr_lehal,SHIP,"Highly specialised frigate built around a small nanoforge supplied by a deconstructor beam. This configuration allows the Lehal to manufacture missiles continuously throughout a battle, provided it can 'access' the materials to power the forge.",,,
sikr_vine,SHIP,"Highly specialized frigate built around a double-barreled autocannon directly connected to the ship's autoforge. The Vine is a sister project to the Lehal, both trying to exploit the advantages of a frigate-sized autoforge.",,,
sikr_himin,SHIP,"The Himin is designed to fit nicely in small and large fleets, the central mount allows the ship to fill many roles. Often used as a point defense platform.",,,
sikr_dufa,SHIP,A strong frigate capable of tearing apart other ships of its size with its heavy frontal firepower. Captains of this ship have a notorious tendancy to attack larger targets and often pay the price of such recklessness.,,,
sikr_shion,SHIP,"Converted from a failed prototype for a phase carrier, the Shion has ample hangar space from the place once used by the phase coil. Its past also grants this ship impressive speed for a carrier.",,,
sikr_nuyre,SHIP,"Designed to be used as a spec-ops ship, the Nyure make use of a in-house modified phase coil. The weapon complement is small and prioritizes alpha strike.",,,
sikr_bara,SHIP,"A main fleet destroyer, the Bara adds useful firepower to weaker part of the fleet but performs poorly when its the largest ship on its side of the battle.",,,
sikr_echin,SHIP,A dedicated escort ship using an emp emitter to intercept fighter and missiles. The Echin can also hunt smaller craft by overwhelming them with emp arc.,,,
sikr_marus,SHIP,"The Marus is a large scavanging platform capable of recovering even the most out of reach valuables. Carrying precious cargo, its fighter escort provides ample support should it find itself in combat. San-Iris uses these salvagers to recover their lost ships after battle.",,,
sikr_veko,SHIP,"Durable and powerful enough to serve as an anchor point for a small fleet, with enough firepower to fend off bigger targets. Carrying 2 energy bolt launchers as support, the Veko is the main cruiser of San-Iris's force.",,,
sikr_unnr,SHIP,Highly defensive cruiser using a large shield emitter to protect its fleet from damage coming from the front. ,,,
sikr_leviathan_off,SHIP,"The counterpart to the traditional defensive Leviathan. Equipped with a ramming horn and a mobility system, the 'offense' variant is less durable but poses an incredible threat to all ships facing it directly.",,,
sikr_leviathan_def,SHIP,"The symbol of San-Iris defence focused doctrine. The Leviathan is the shield of San-Iris territory. Serving as an unbreakable weapons platform, outlasting the strongest ship, and providing cover for smaller allied ships. Forward facing weapons make it vulnerable to flanking attacks by smaller ships and fighters, numerous PD emplacements compensates this weakness.",,,
sikr_manta,SHIP,A large carrier with numerous hangar bays and refitting facilities. It can provide ample support to its fleet with mount suitable for any engagment.,,,
sikr_palace,SHIP,"A palace-ship, from which one can watch a battle in the comfort of a castle and its gardens, protected by an armoured canopy and guaranteed to escape in phase. A true symbol of the hypocrisy of the nobility. Few were built and today there is only one left, the Empress's dedicated ship, which is rarely seen during major events.",,,
sikr_ocean,SHIP,"Specially designed to go underwater and withstand high pressure, while carrying magnetically locked containers. The Ocean is an engineering marvel, with hangars for escort and tug drone, good armor plating and decent speed. The only drawback is the mandatory use of non-standard containers, a minor problem with the reclusive mind of San-Iris.",,,
,,,,,
sikr_kolga,SHIP,"The light variant of the San-Iris mechs. The Kolga was designed to provide protection against enemy fighters, escort bombers and pressure small ships. All this in a light and quite cheap frame.",,,
sikr_horonn,SHIP,"The Horron was designed as a hunter, carrying two precision rifles with fragmentation bullets. It can easily shoot down other fighters and pose a threat to small ships. Although slightly slow, it only needs to hit its target once or twice, and its accelerated loading system increases the chances of this happening.",,,
sikr_hefring,SHIP,"Heavy variant of the San-Iris mechs. The Hefring carries 2 heavy anti-ship weapons, which can counter armor and shields. Equipped with a shield to be able to stay longer in the fight. It is easy to consider this fighter as a mobile artillery piece. ",,,
sikr_jorm,SHIP,"An old lpc from before the standardization of mechs in the San-Iris forces. It has been modified to include a mech-derived joint system, which gives it the ability to aim with its 2 heavy weapons.",,,
,,,,,
sikr_arti_launcher,WEAPON,A launcher deploying special canister holding shell in a near critical state. Detonating after some time and targetting the closest enemy. Benefit from ECCM package.,,,
sikr_arti_battery,WEAPON,"Large launcher of lotus charge, contain multiple internal rotary magazine that allow the weapon to hold more ammunition. Benefit from ECCM package.",,,
sikr_cluster,WEAPON,Deploy several second stage free flight plasma charged bomb with a significant EMP charge. Struggle to pierce efficient PD coverage.,,,
sikr_unnr_bi,WEAPON,"Overcharged laser emitter, fire a laser provoking micro explosion periodically. Good against armor and fighter.",,,
sikr_lehal_bi,WEAPON,Deconstructor beam designed to supply an internal autoforge with raw material extracted by damaging a target.,,,
sikr_vine_bi,WEAPON,Heavy autocannon built into the hull for direct access to the internal autoforge and improved recoil control. Fire shell of a higher caliber than expected at a steady rate.,,,
sikr_neolg,WEAPON,"Heavy turet with an impressive turning speed, shoot a special shell that split when closing on target. Designed to primarily deal with small craft, the weapon effectivness is greatly reduced by armor.",,,
sikr_ornnhal,WEAPON,"Missile launcher designed arroud a rotary part able to hold multiple missile and be reloaded in battle. The weapon can fire an impressive volume of ordnance, but is way less dangerous while reloading.",,,
sikr_rhodophyta,WEAPON,The paranoia of the school of offense toward small craft led to the design of this weapon. The rhodophyta tripwire can easily connect with a small target.,,,
sikr_spear_launcher,WEAPON,"Fire a high density self propelled spear, carrying vast kinetic power and the ability to bounce on shield to strike again multiple time, the Yniad is feared by high tech ship with insufficient point defense coverage.",,,
sikr_urchin,WEAPON,"Larger variant of the Urchin, launching more flak canister covering a larger area.",,,
sikr_urchin_small,WEAPON,"Point defense weapon shooting multiple small flak canister around it, creating a large interception area for missile and fighter.",,,
sikr_multishot,WEAPON,"A heavy cannon firing heated bolt at the enemy, large volume of fire with terrible spread especially in turret mount. Hold multiple ammo for maximum strike damage.",,,
sikr_multishot_heavy,WEAPON,Dual firing cannon spewing a large volume of heated bolt at a steady rate with low per shot flux. Terrible spread especially in turret mount.,,,
sikr_fraggun,WEAPON,A railgun firing an hyper britle warhead shattering on impact dealing fragmentation damage. The rotation time of the turret was increased to give it anti-fighter capabilities. ,,,
sikr_fraggun_heavy,WEAPON,"Long range railgun that fire a large hyper britle warhead dealing heavy fragmentation damage on impact. The warhead is decent against shield but really weak against armor, the true strength lies in the absurd damage the weapon can deal on exposed hull.",,,
sikr_disk_launcher,WEAPON,"Launch small explosive disk capable of readjusting their course in flight. The disks are suprisignly cheap, allowing for a huge volume of fire. Benefit from ECCM package.",,,
sikr_ontos,WEAPON,"Using recoilless rifle that eliminates the need for a cumbersome recoil control system, makes it possible to mount a heavier caliber than that normally used on this size of mount.",,,
sikr_ontos_battery,WEAPON,"A four gun configuration of the Ontos. Taking advantage of reduced stress, more ordnance can by fired on the same type of mount, albeit with a slow reload.",,,
,,,,,
sikr_veko_bi,WEAPON,Support weapon launching a wave of small homing energy bolt.,,,
sikr_veko_bi2,WEAPON,Support weapon launching a wave of small homing energy bolt.,,,
,,,,,
sikr_horonn_pauldronL,WEAPON,"Tiny micro missile housed in the mech's pauldron, used for anti-missile purpose.",,,
sikr_mech_assault,WEAPON,An hand-held variant of the standard single machine gun.,,,
sikr_mech_rpg,WEAPON,Heavy rocket launcher using modified Mjolnir shell.,,,
sikr_mech_rail,WEAPON,"An impressive railgun for a fighter, deal heavy damage against shield.",,,
sikr_mech_sniper,WEAPON,"Highly accurate rifle firing explosive shrapnel round, usefull for hunting down smaller craft.",,,
sikr_mech_sniper_R,WEAPON,"Highly accurate rifle firing explosive shrapnel round, usefull for hunting down smaller craft.",,,
sikr_mech_multishot,WEAPON,Lightweight variant of the multishot with a smaller magazine.,,,
sikr_kolga_head,WEAPON,Houses the majority of targeting device of the mech. Able to fire a short high intensity point defense beam.,,,
sikr_horonn_head,WEAPON,Houses the majority of targeting device of the mech. Able to fire a short high intensity point defense beam.,,,
sikr_hefring_head,WEAPON,Houses the majority of targeting device of the mech. Able to fire a short high intensity point defense beam.,,,
sikr_jorm_left,WEAPON,"A high rate of fire weapon, every fifth bullet in the belt carries an explosive charge.",,,
sikr_jorm_right,WEAPON,"A high rate of fire weapon, every fifth bullet in the belt carries an explosive charge.",,,
,,,,,
sikr_iris_desc,CUSTOM,"First of the two planets of the system to have been colonized. It is said that the first colonization ship crashed violently into the ocean. And that from its debris the first city-ship was built, the one that now houses the capital and imperial palace. From which the eternal empress rules over all.",,,
sikr_lily_desc,CUSTOM,"Although the colonization of the planet was planned at the same level of importance, the vast majority of the development took place on Iris. Leaving the more basic infrastructure to take place here. It is only in the last 50 years that a great effort has been made to bring this world to the same level of greatness as Iris.",,,
,,,,,
sikr_leviathan_system_offense,SHIP_SYSTEM,"Accelerates the ship forward while heating the horn, increasing collision damage.",,,
sikr_leviathan_system_defense,SHIP_SYSTEM,"Generates a regenerative field on the horn, reducing the damage received to a minimum and slowly recovering lost armor.",,,
sikr_unnr_system,SHIP_SYSTEM,"Deploys a large frontal shield to protect ally from damage. The shield stability is restored every second, generating flux. If the shield get overpowered, the ship will overload for a brief moment. Shield take hard flux damage from all source.",,,
sikr_emp_system,SHIP_SYSTEM,"Generate EMP arc around the ship, can disable engine and weapon. Prioritize missile.",,,
