name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#SMALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frag-gun,sikr_fraggun,1,,600,700,,400,,10,60,6,,,,FRAGMENTATION,150,,0,1,1,,,,,,,1000,,,50,,,,"kinetic8, LR, sikr_arw_bp",,San-Iris,,General,,,,,,,,,,
System_multi_stage2,sikr_multishot_stage2,,,,450,,50,,50,15,0,,,,HIGH_EXPLOSIVE,0,,0,0,0,,0,0,0,0,,900,,,20,,,SYSTEM,,,,,General,,,,,,,,,,
Multishot,sikr_multishot,1,,1100,450,,400,,50,15,5,3,0.5,1,HIGH_EXPLOSIVE,200,,0,0.5,1,,5,5,0,0,,900,,,20,,,,"hehe7, SR, sikr_arw_bp",,San-Iris,,General,,,,,Fire %s pellet dealing %s damage in a wide arc. Reduced spread for hardpoint mount.,8 | 50,,,,
Light Urchin Flak,sikr_urchin_small,0,,1300,150,,200,,50,30,3,16,1,8,FRAGMENTATION,0,,0.2,2,8,0.1,5,5,0,0,,300,200,5,100,,,"DO_NOT_AIM, ANTI_FTR, PD_ONLY","pd7, SR, sikr_arw_bp",,San-Iris,,Anti Small Craft,,,,,,,,,,
#MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontos Recoilless Gun,sikr_ontos,3,,3400,800,,500,,50,15,12,,,,HIGH_EXPLOSIVE,500,,0,5,1,,10,10,0,0,,600,,,250,,,,"he16, sikr_arw_bp",,San-Iris,,Anti Armor,,,,,,,,,,
Heavy Frag-gun,sikr_fraggun_heavy,1,,2000,1000,,1000,,20,20,12,,,,FRAGMENTATION,400,,0,1.5,1,,,,,,,1000,,,50,,,,"kinetic15, LR, sikr_arw_bp",,San-Iris,,General,,,,,,,,,,
Heavy Multishot,sikr_multishot_heavy,1,,2400,450,,400,,50,15,11,,,,HIGH_EXPLOSIVE,200,,0,0.5,1,,5,5,0,0,,900,,,20,,,,"he15, SR, sikr_arw_bp",,San-Iris,,General,,,,,Fire %s pellet dealing %s damage in a wide arc. Reduced spread for hardpoint mount.,8 | 50,,,,
Coral Cluster Launcher,sikr_cluster,1,,3200,2500,,1000,,50,10,12,2,0.05,,ENERGY,0,,0,10,1,,0,0,0,0,,200,50,10,350,,,DO_NOT_AIM,"utility13, missile8, sikr_arw_bp",,San-Iris,,Pressure,Medium,Good,,,,,,,TRUE,
Lotus Charge Launcher,sikr_arti_launcher,1,,3000,700,,500,,50,10,14,,,,HIGH_EXPLOSIVE,350,,0,8,4,0.1,20,30,2,2,,500,500,10,200,,,,"he16, sikr_arw_bp",,San-Iris,,Pressure,,,,,,,,,,
