id,trigger,conditions,script,text,options,notes
#RULESET_NAME Federation,,,,,,
greetingFederationFriendly,OpenCommLink,"$faction.id == star_federation
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Acknowledging contact, noting cycle and time."" states the Federation $personRank, who is seen adjusting the fit of their dress uniform before attending the comms-screen.

""Well, what is it? More pather sightings? Someone stole your Buffalo full of supplies again?""
OR
You catch a glimpse of a weary looking $personName before they replace it with a tight-lipped smile. ""Well, look what the scout drone dragged in. Better make this quick, because we both have places to be.""
OR
$personName shrugs off the small slouch they'd unwittingly wore in their seat. ""Greetings, $playerName, is there something we need to log for Federation High Command to review?""
OR
""Your paint seems a little scuffed, you may want to let the dockmaster know the next time you make port"", advises $personName with a slight nod.

Their blase pose doesn't betray truth or otherwise. There's probably not a fine for unkempt paint anyways.
OR
""Acknowledging contact, Affilliate. Do you have anything to report?"" 

",,
greetingFederationHostileWeaker,OpenCommLink,"$faction.id == star_federation
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"Federation $personRank $personName crackles to life on the viewport, shoulders strong and stance wide. ""You can remind me of the lowly pirates who slaughter in the name of strength and profit. The Federation will see to you brought justice, no matter what happens here today.""
OR
""There was an old Earth saying, 'Pick on someone your own size', you know,"" $personName says grimly. ""I look forward to when fate reverses the odds given by this day. For mankind, among the stars.""

The commlink cuts just as your sensor officer reports their EM signatures are blooming to combat outputs.
OR
""Star Federation $personRank, $personName, service ID..."" cuts across the audio channel in a manner that's hard to distinguish between wavering or garbled. Impossible to tell really given the interference of stellar emissions.

But the details of $personName are already on your screen, and listening $himOrHer rattle it off on the viewport seems redundant.

",cutCommLink:Cut the comm link,
greetingFederationHostileWeakerDefiant,OpenCommLink,"$faction.id == star_federation
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""The war wasn't won with an easy engagement, but rest assured the Star Federation is ready to prove its resilience again"" says $personName, a glimmer in their eyes. ""Load weapons!""
OR
""Charge weapons, ignite shields. Long live the Federation."" barks $personName. 

Hostile radiation signatures light up across the tactical computer display, though no warnings show up regarding them.
OR
""What a twisted pleasure it must be to fire upon fleets smaller than your own. I'll see you in hell, $playerName. Battlestations!""

The bray of the Federal bridge siren is the last thing you hear before commlink is cut by their communications officer.
OR
The Federation $personRank stares at you for a few seconds before cutting the connection. ",cutCommLink:Cut the comm link,
greetingFederationHostileStronger,OpenCommLink,"$faction.id == star_federation
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""You stand accused of countless crimes by charge of the Star Federation's High Command. I shall not give you the satisfaction of reliving them; today in recounting them, or tomorrow in repeating them.""

$personName waves their hand, and the commlink cuts to the red warnings of the tactical computer.
OR
""This is the Star Federation commissioned $personRank, $personName. I order you to disable your weapons and spin down your drives. I will fire if you do not comply, as per Order 35, Section 12 of...""

The sounds of your officers sounding general quarters thankfully drowns out $personName before they can read of the rest of the indictment.
OR
""I could tell you to stand down, but I'm just a soldier. Charge weapons! "" 

The comm link cuts out in a burst of static.
OR
""The future has no place for the likes of you, $playerName,"" $personName sneers, ""On behalf of Federal High Command, I'll see you out the back airlock of your ship"". The transmission ends as their finger blots out the screen, evidently pressing the cut-comms button..",cutCommLink:Cut the comm link,
greetingFederationNeutral,OpenCommLink,"$faction.id == star_federation
$faction.neutralToPlayer",,"Your screen fills with the Star Federation's logo, underlaid by text describing the time-of-contact and the rank of $personName.
 
The unhelpful automated placard fades as the commlink self terminates moments later. Perhaps the Federation comms officer is switching shifts?
OR
The grainy image of a Federation comms officer fills your screen, evidently routed through an improperly calibrated array.

""Greetings, $playerName, $personRank $personName acknowledges this contact. Please keep safe operational distance protocols in mind. Good travels.""
OR
Your info-feed receives a simple textual message:

[Violation logged - neutral IFF confirmed as per Star Federation naval code 11b.C3. Give Federal operators appropriate fleet space in future encounters.]

A microcredit fine arrives on your systems just as the commlink is cut from the other end.
OR
The static-distorted image of $personRank $personName appears on your comms screen. 

""Hail, citizen. Please keep to a minimal safe operating distance. Good flying.""
OR
The holoscreen crackles to life with pompous music and Fikenhildian-remeniscent holographics.

""The Star Federation needs recruits to bolster the Federal Navy! Protect the honest, the vulnerable, and secure your place in the future of the Federation! Interested applicants should report to the nearest major Federation station for evaluation and recruitment. This message is not a guarantee of selection.""
OR
""Hail, spacer. It's a rough sector out there,"" remarks $personName, ""But the Star Federation wishes to see safe travels upon all who seek an living among the stars. Consider joining up if you'd want to serve the same caliber of people - our compensation packages are quite enticing as well.""",cutCommLink:Cut the comm link,
flavorTextMarketFedHeadquartersStation,TradePanelFlavorText,"$market.id == fed_headquarters_market score:1000
$id == fed_headquarters_station","AddText ""When docking with Scaria station, you are presented with a comprehensive view several capital ships docked at station arms. A few silhouettes of the infamous Rebellion class dreadnoughts are moored near the ends of each structure, too big for typical starship berths.\n\nOnce past the station airlock proper, the network of clean and polished white hallways feel upscale and corporate, at least until you reach the inner sanctums. Though not exactly grimy as much as it is faded with age, the deeper metal hue of the original orbital platform is certainly pre-Collapse.\n\nUpon reaching the vast metal-glass dome which houses the mercantile district, one of the station’s various automated mag-drones buzzes over to you. It shows you exclusive personalized offers on its mini hologrid before you hear your datapad chime, which has been newly updated with standard commodities prices.\n\nIt seems every transaction above 1000 centicredits comes with a drink voucher, but only for one of the cheaper beverages at the station-run shops."" textGreenColor",,,
flavorTextMarketFedHeadquartersPlanet,TradePanelFlavorText,"$market.id == fed_headquarters_market score:1000
$id == fed_headquarters","AddText""Stepping off the shuttle and into the cool air, you notice a slightly acrid sting of smog with each breath. It’s definitely not healthy, as indicated by all the black-suited I-Sec guards wearing heavy filter gear.\n\nA short tram-ride later, you and your escorts arrive at the base of the SPACECom megacomplex. The closer view of the massive building reveals the constant battle to keep sooty particulate off of the ivory exterior panels.\n\nIt clearly looks much better from the distance.\n\nInside the complex is a grand, multitiered space which looks more like a Mega TriShopping complex, displaying its abstract architecture techniques, some natural Scarian plantlife, and probably even the ages-old wealth required to build it.\n\nYou’ve not much time to look before a crisply-uniformed escort flags you down. With a few pleasantries, they escort you down pearlescent hallways, following utilitarian stripes of bold colors on the floor that lead to the merchantile block.\n\nThe escort promptly hands you an analogue looking Tri-Chit which contains recent trade data and the economic authorization token. With but a nod, they leave you surrounded by speculators and appraisers.\n\nIt's probably a twenty minute walk from any good food or drink.""textGreenColor",,,
flavorTextMarketFedPaleTwinStation,TradePanelFlavorText,"$market.id == fed_paletwin_station_market score:1000
$id == fed_paletwin_station","AddText""The old-fashioned rolling airlock of Rider Station opens with a squeak and clanking noise, clearly having seen better days. Passing the threshold inside the station hull, the yellow chemlights and rising din of humanity feels you entered a Luddic market-hall.\n\nYou only make it to the second bulkhead before seeing the extent of the bubbling refugee crisis here. Loose crowds of immigrants loiter near their makeshift housing, and very few of those wear Maintenance or Spaceport jumpsuits. Young children gather in the windowed hallways, their faces pressed up against metal-glass as they watch starships taxi in the black. Clearly, they haven't grown bored watching the freighters consort with cargo tugs.\n\nYou're hit with a variety of smells as you move through each humanity-saturated bulkhead section: Some are pleasant exotic spices and cooking food, others the unmistakable reminder that sanitation is still a problem in space.\n\nThe nearer you approach the station's core sections, the more you see proper residential and commercial districts. Here, the more well-off refugees solicit their contracts, usually holding counterfeit training certs or showing the rad-scars presumably gained from years of spacefaring.\n\nThe trade floor itself is in the Command spire, past two checkpointed bulkheads, and bathed in a sterile white light. It's almost too quiet as a Federation requisitions officer greets you, TriPad in hand.""textGreenColor",,,
flavorTextMarketFedPaleTwinPlanet,TradePanelFlavorText,"$market.id == fed_paletwin_indie_market score:1000
$id == fed_paletwin","AddText""The dim and vast halls of the Pale Twin's main habitation are constantly shook by the ceaseless travels of ingot-laden railcars, their automated processions carrying them towards one of the many automated launchports. It isn't long before your luddic-weave wearing escort leads you up to the holobannered entrance of the Federation Commercial Hub.\n\nAs you pass the rows of exposed machinery near its mouth, you are blasted by moving wall of cooled air, clearly meant to segregate life and the grit of the rail-halls. Empty corridors here are numerous ever since the majority of the population evacuated to the station above; a reminder that the Erandi-Utopia life support systems were never meant to last for so long without proper service.\n\nThankfully, the trading hall is only past a few low-ceiling passages lined with several aromatic dining booths and buzzing chemlamps. The few diners present still wear their dusty thermal suits as they hunch over meals, totally ignoring your presence.\n\nWhen you finally arrive at the commercial hub, the emptiness is just as lonely as it is unsurprising. After all, the tiresome business concerning megatons of metal is comfortably conducted over commrelay."" textGreenColor",,,
