name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Federation Construction,fed_design,,,Star Federation,,,1000,,TRUE,,0,0,0,0,data.hullmods.FederationDesign,"Star Federation ships reflect a history of design and deployment by an increasingly Domain-divergent polity. Many of these differences were avoided by Domain bureaucrats due to unreliability, politics, or a combination of both.","Shields lose arc, but weapons fire faster as hard flux increases.",graphics/FED/hullmods/fed_design.png
ZOLTAN Shield,fed_auxshields,,,Star Federation,,,,,TRUE,,0,0,0,0,data.hullmods.FedAuxShields,"This ship is protected by a secondary shield module near the rear of the craft. The module has %s capacity, %s shield efficiency, and dissipates %s hard flux per second.

When active, the shield prevents nearly all damage from affecting the main ship's hull.

Why the Domain never adopted this type of secondary shield is unclear, but they are intrinsically difficult to incorporate on anything other than large ships, and can disabled by large area-of-effect explosions.",Ship is protected by a weak secondary shield.,graphics/FED/hullmods/fed_auxshields.png
Drone Targeting,fed_dronetargeting,,,Star Federation,,,1000,,TRUE,,0,0,0,0,data.hullmods.DroneTargeting,Limited drone intelligence reduces the effective operating range of the weapon installed on it.,Reduces weapon range signifigantly,graphics/FED/hullmods/fed_design.png
Damage Control Teams,StarFederationCommissionedCrews,,,Star Federation,,,,,TRUE,,0,0,0,0,data.hullmods.StarFederationCommissionedCrews,"Star Federation crews are well-trained in the art of emergency repairs, and extra damage control teams are assigned throughout the ship. 

If the ship has crew, all weapons and engines repair %s faster. Crew required is also increased by %s.","Weapons and engines repair faster, but crew requirements are increased.",graphics/FED/hullmods/fed_commcrew.png
Siege Engine,fed_firecontrol,,,Star Federation,,,1000,,TRUE,,0,0,0,0,data.hullmods.FederationFireControl,A suite of advanced targeting facilities increases projectile speed by %s and the base range of all weapons by %s. Extra-heavy mounting points also reduce recoil by %s.,"Slightly increases weapon range and  projectile speed, while reducing recoil.",graphics/FED/hullmods/fed_targeting.png
Secondary Shield Module,fed_auxshieldeffect,,,Star Federation,,,,,TRUE,,0,0,0,0,data.hullmods.FedSecondaryShieldEffect,"This module projects a sub-shield which %s and dissipates %s hard flux per second. It also takes %s more High Explosive damage.

This auxiliary shield will not protect the main ship from large explosions - a necessary sacrifice of the counter-harmonics between overlapping emitters.",This module projects a weak secondary shield,graphics/FED/hullmods/fed_auxshields.png
Flowing Conduits,fed_phasedesign,,,Star Federation,,,,,TRUE,,0,0,0,0,data.hullmods.FedPhaseCoils,"High-performance engines and phase resonance directors reduce the turbulence caused by high flux in p-space, causing only %s speed loss at %s flux. 

By default, installing the %s modification will raise the threshold for %s speed to %s hard flux.",This module projects a weak secondary shield.,graphics/FED/hullmods/fed_phase_field.png
Heavy Burst Capacitors,fed_energymod,,2,Star Federation,offensive,Weapons,10000,,,,3,5,9,15,data.hullmods.FedEnergyMod,"All energy weapons deal %s more damage and have their range increased by %s, but have their rate of fire reduced by %s.

Energy weapon ammo and ammo recharge rates are lowered by %s, and energy projectile speed is also decreased by %s.","Boosts energy weapon damage, but reduces rate of fire, projectile speed and ammo capacity.",graphics/FED/hullmods/fed_heavycapacitors.png
,,,,,,,,,,,,,,,,,,
Missile Micro-Replicator,fed_missileforge,,,Star Federation,,,1000,,TRUE,,0,0,0,0,data.hullmods.FedMissileForge,"Replenishes %s or %s of maximum ammo for missile weapons - whichever is greater.

For missiles with a per-shot damage of less than %s, replenishment happens every %s.

For missiles with a per-shot damage between %s, replenishment happens every %s.

Does not affect weapons outside of indicated damage range.",Slowly regenerates smaller missile ammunition.,graphics/hullmods/missile_autofactory.png
