name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
FTL Microjump,fed_microftl,,,,,,0.05,,2,0.04,0.6,0.1,0.1,2,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/displacer.png
FTL Jump,fed_ftl,,,,,,0.075,,2,0.03,0.6,0.35,0.25,10,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/displacer.png
Emergency FTL Jump,fed_ftl_slow,,,,,,0.1,,,,0.6,0.6,0.5,15,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/displacer.png
Cloaking Device,fed_cloak,,,,,,,,,,0.5,,0.5,1.25,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png
Auxiliary Jets,fed_assaultjets,,,,,,,,2,0.033,0.5,6,1,5,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Limited Cloak,fed_tempcloak,,0.5,,,,,,1,0.04,0.5,5,0.5,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png
Point Defense Array,fed_drone_pd_boss,,,0.01,,,,,8,0.075,0,,,3,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_mid.png
Defense Array MK4,fed_drone_pd_4x,,,0.01,,,,,4,0.06,0,,,3,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_mid.png
Antimatter Injector,fed_enginebattery,,,,,,,,3,0.05,0.65,0.275,0.7,2,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
ASB Volley,fed_asb,,,,,,,,,,10,,1,20,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Bomb Teleporter,fed_bomb_teleporter,,,,,,0.2,,,,0.75,,0.25,15,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Defense Array MK2,fed_drone_pd_2x,,,0.01,,,,,2,0.05,0,,,3,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_mid.png
Heavy Defense Drones,fed_drone_pd_slow_2x,,,0.01,,,,,2,0.05,0,,,3,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_mid.png
Overdrive Feeder,fed_weapon_charger,,,,,,,,,,0.25,4,7,7.5,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Engine Redline,fed_evasion,,,,,,,,,,0.5,2,4.5,12,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Evasive Maneuvers,fed_evasionlight,,,,,,,,,,0.75,1,3.5,15,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Flare Banks,fed_flarelauncher,,,,,,,,5,0.04,,,,3,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
Active Flare Salvo,fed_flarelauncher_active,,,,,,0.01,,3,0.125,,,,0.3,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Maneuvering Jets,fed_heavy_maneuveringjets,,,,,,,,2,0.06,1,2.5,1,2,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
EMP-Flux Discharger,fed_emp,,,,,,,,,,0.5,4,0.5,15,,,,TRUE,TRUE,,,,,TRUE,,,graphics/icons/hullsys/emp_emitter.png
