id,type,text1,text2,text3,notes
fed_burstlaser1,WEAPON,"A plasma pulse repeater offering best-in-class burst potential, disruptive polarity charge, all at a reasonable mounting cost. Throughput suffers massively once capacitors are exhausted.

Often reputed as the wealthy merchant-marine's ""self-defense weapon of choice"", the Light Pulser is economical and potent versus the shoddy armor plating of pirate raiders. Solely owning the design and manufacturing rights at the start of the Collapse, Gygas Industries profited millions of centi-credits as the sector's security deteriorated.

Small enough to be mounted on ground installations, the plasmatic nature of the Light Pulser's projectile can survive in many atmospheric mediums. When not fighting starships, this weapon is a brutal anti-vehicle and bombardment platform - albeit at the cost of an installation's powergrid.",General,,
fed_burstlaser2,WEAPON,"A capacitor-fed, burst-operated weapon with surprising efficiency against armored targets, though systemic modifications are required to prolong maximum output.

Developed by Gygas Industries on Cessitoc's northern pole, the Pulser series often went under civilian modifications to scale back its power requirements. This was often done to ease the mounting costs of a proper weapon, which was a middle ground between crews demanding anti-pirate measures and the margins to be made with expanded cargo hold mods. Gygas declared all postmarket powerplant alterations ""actionably illegal"" shortly after catching wind of the trend, fearing the power-starved variants would ruin the image of the Pulser brand.

Gygas Industries still failed to secure Pulser production contracts outside of the Star Federation Navy. Neither megacorp nor the Domain Naval Procurement agency found the weapon to be worth the steep purchase cost, especially when existing high-tech ships were rare.",General,,
fed_burstlaser3,WEAPON,"A high-performance variant of plasma pulser with impressive volley damage and reasonable armor efficiency. A good generalist weapon, if not restrained by capacitor size.

The largest pulse weapon developed by Gygas Industries, and more akin to a plasma mortar because of its ability to punch through armor. The Ultraheavy Pulser never saw great production throughout the sector due to its complexity and draconian manufacturing licensing, for the latter was never removed - even after it failed to qualify for Domain procurement. Since the Star Federation was the only faction in close proximity to Gygas's polar complex, they were able to sieze the entire complex of the disintegrating megacorporation. The holonet rumors that Scaria's defense drone relic came from within the vaults of Gygas, perhaps with several dreaded planet killer devices.

The UH-Pulser is said by some to be the worst of both worlds. Lacking the obliteration of the arcane Plasma Cannons, the sharp kick of a fully powered Autopulse, and especially the devastating wash of the Tacyhon Lance. Still, a few examples have seen these large cannons mounted on planetary installations, as they can provide anti-ship fire in atmospheric conditions. A quick burst from synchronized batteries dries up evasion vectors quickly, and the cohesive pulse-plasma is effective at incredible distances.",General,,
fed_flak1,WEAPON,"A light cannon that fires a small spread of multipurpose projectiles. While individually weak and therefore less effective against armor, the raw damage can overwhelm lighter shield generators.

The specially-designed projectiles of Scrapshot weapons collapse inwards on themselves on impact, fusing their cores in a millionth of a second. The resulting micro-fusion bursts cause equal damage across all types of defense and produce electromagnetic effects that potentially disrupt weaker components. Though its ability to punish shield generators is appreciated, its weak effect on hull has earned it the moniker ""sparkleshot"" among its gun crews.",Close Support,,
fed_flak2,WEAPON,"A medium cannon that fires a large spread of multipurpose projectiles. While individually weak and therefore less effective against armor, the raw damage is able to overwhelm shield generators. The large amount of shrapnel can also disrupt sensitive components.

The specially-designed projectiles of Scrapshot weapons collapse inwards on themselves on impact, fusing their cores in a millionth of a second. The resulting micro-fusion bursts cause equal damage across all types of defense and produce electromagnetic effects that potentially disrupt weaker components. Though it doesn't blast actual heaps of scrap as its name implies, the impactors are bent in strange ways by the explosions within them. Much like scrap metal, the remains of the projectiles left in the battlespace often resemble twisted strands, shards, and warped sheets.",Close Support,,
fed_flak3,WEAPON,"A massive cannon that fires a huge spread of multipurpose projectiles. While individually weak and therefore less effective against armor, the raw damage is able to overwhelm shield generators. The large amount of shrapnel can also disrupt sensitive components.

The specially-designed projectiles of Scrapshot weapons collapse inwards on themselves on impact, fusing their cores in a millionth of a second. The resulting micro-fusion bursts cause equal damage across all types of defense and produce electromagnetic effects that potentially disrupt weaker components. A pre-Domain invasion concept, this weapon was merely improved and scaled for Federation use with the assistance of the ENGICore AI network. It saw little usefulness against ensuing Domain drone swarms, whose sturdy and unshielded hulls could easily absorb the stray fragments. Said drones also ensured the factories and labs responsible for improving Scrapshots were razed to the ground.",Close Support,,
fed_heavylaser1,WEAPON,"A plasma mortar with amazing penetration and reach. Its relatively slow projectile speed and lack of sustained firepower prevent it from seeing widespread use, even if the latter can be mitigated by modifications.",General,,
fed_heavylaser2,WEAPON,"A heavy plasma mortar that emphasizes range and armor penetration over total damage. Ideal for supplementing larger energy weapons, but lacks the raw damage to wear down heavily shielded targets.",Strike,,
fed_heavylaser_small,WEAPON,"A plasma mortar with amazing penetration and reach. Its relatively slow projectile speed and low sustained firepower prevent it from seeing widespread use, even if the latter can be mitigated.",Strike,,
fed_duallaser,WEAPON,"A point-defense particle cannon trading out a flare-tracking AI suite for a second cannon. Less reliable than beams, but deceptively powerful for its size if certain improvements are made.

The collection of consciousnesses within ENGICore concluded Federation technological advances would be unable to produce small beam weapons with cost-effective stopping power. Their solution yielded a miniaturized device firing a pulse of poorly understood particles, seemingly existing between hyperspace and realspace for an incredibly short period. The packet unphases when it comes into proximity of a significant source of matter or destabilizes by itself after a short while. The products of rephasing produce volatile exotic byproducts which can cut through thin hull plating with heat levels equalling those found in a fusion reaction. The finalized designs were placed in smooth white casemates, appearing as if they were encased by stone. 

A middling variant, the Chisel can cut through swaths of targets with its greatly increased firepower.",Point Defense,,
fed_duallaser2,WEAPON,"A rapid-firing particle cannon battery designed to cut down swarms of missiles and fighters. The projectile speed may be less effective against fast targets, but an advanced sensor suite allows the weapon to ignore distraction flares.

The collection of consciousnesses within ENGICore concluded Federation technological advances would be unable to produce small beam weapons with cost-effective stopping power. Their solution yielded a miniaturized device firing a pulse of poorly understood particles, seemingly existing between hyperspace and realspace for an incredibly short period. The packet unphases when it comes into proximity of a significant source of matter or destabilizes by itself after a short while. The products of rephasing produce volatile exotic byproducts which can cut through thin hull plating with heat levels equalling those found in a fusion reaction. The finalized designs were placed in smooth white casemates, appearing as if they were encased by stone. 

The largest of the designs, the Carver can destroy wide swaths of incoming missiles and light fighters.",Point Defense,,
