name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Light Pulser,fed_burstlaser1,0,,500,550,,80,,,80,6,18,1.3,3,ENERGY,88,,,0.7,3,0.1,0,10,0.5,10,,1100,,,110,,,,"energy8, fed_wep",,Star Federation,,General,,,,,,,,,,
Heavy Pulser,fed_burstlaser2,0,,1100,600,,180,,,45,12,20,1.2,4,ENERGY,180,,,1.5,4,0.125,2,10,0.4,12.5,,900,,,200,,,,"energy13, fed_wep",,Star Federation,,General,,,,,,,,,,
Ultraheavy Pulser,fed_burstlaser3,0,,4750,750,,350,,,20,22,25,0.8,5,ENERGY,300,,,2.2,5,0.15,4,15,0.35,16,,700,,,300,,,,"energy18, fed_wep",,Star Federation,,General,,,,,,,,0% | 50% | 100% | 150%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piercing damage increases by %s/%s/%s/%s depending on the target hullsize.,0% | 50% | 100% | 150%,,
Overcharger,fed_heavylaser2,0,,1500,700,,325,,,30,11,,,,ENERGY,432,,,2.75,2,0.15,7,7,,,,800,,,325,,,,"energy12, fed_wep",,Star Federation,,General,,,,,,,,,,
Light Overcharger,fed_heavylaser_small,0,,800,650,,180,,,45,7,4,1.15,6,ENERGY,180,,,1,,,5,5,,,,900,,,180,,,,"energy9, fed_wep",,Star Federation,,General,,,,,Requires %s to reach full DPS.,Expanded Magazines,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halberd Beam,fed_beam_halberd,0,0.2,2500,600,900,,100,,15,15,,,,ENERGY,,990,0.25,0.25,2.5,6,,,,,1600,,,,,,,,"beam15, fed_wep,SR",,Star Federation,,General,,,,,"Hits on hull and armor deal arc to nearby engines and weapons, dealing %s and %s damage which increases by %s/%s/%s/%s depending on target hullsize. Also has a chance to %s that increases with the target's hard flux level, but the shield will negate damage by up to %s, depending on the target's empty flux proportion.",50 EMP | 135 Energy | 0% | 50% | 100% | 150% | pierce shields | 100%,The slow travel time of the beam means %s is dealt at %s.,about 25% less damage | maximum range,,
Glaive Beam,fed_beam_glaive,0,0.4,6000,700,1325,,200,,10,30,,,,ENERGY,,1755,0.25,0.25,2.5,7,,,,,1800,,,,,,,,"beam25, fed_wep,SR",,Star Federation,,General,,,,,"Hits on hull and armor deal arc to nearby engines and weapons, dealing %s and %s damage which increases by %s/%s/%s/%s depending on target hullsize. Also has a chance to %s that increases with the target's hard flux level, but the shield will negate damage by up to %s, depending on the target's empty flux proportion.",100 EMP | 200 Energy | 0% | 50% | 100% | 150% | pierce shields | 100%,The slow travel time of the beam means %s is dealt at %s.,about 25% less damage | maximum range,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
