name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Slider,supportships_sideboard,,High Tech,,0,500,100,600,1,100,0,,200,400,350,90,180,30,OMNI,,160,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,500
Wagon,supportships_wagon_fighter,,Midline,supportships_lifesaver,0,350,50,600,1,100,0,,150,300,250,90,180,30,FRONT,,200,0,1,,,5,5,,,,,,,,,,,,,,,,,,,,,,0,,,,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carton,supportships_carton,Wing Carrier,Low Tech,flarelauncher,4,1200,150,1500,1,100,30,1,90,100,70,50,80,200,OMNI,,60,0.5,0.8,,,10,40,30,30,1,30,10,10000,8,20,360,0.25,4,4,,,,,,,CARRIER,"base_bp,merc",,0.75,2,3,,500
Carton(TT),supportships_carton(TT),Electronic Warfare Frigate,Tri-Tachyon,supportships_jammerpod,4,1200,150,1500,1,100,30,,90,100,70,50,80,200,OMNI,,60,0.5,0.8,,,10,40,30,30,1,30,10,10000,8,20,360,0.25,2,2,,,,,,,CARRIER,rare_bp,0.5,0.75,2,3,,500
Carton (P),supportships_cartonp,Missile Frigate,Pirate,flarelauncher,4,1200,150,1500,1,100,30,,90,100,70,50,80,200,OMNI,,60,0.5,0.8,,,10,40,30,30,1,30,10,14000,8,20,360,0.25,4,4,,,,,,,,"pirate_bp,merc",,0.75,2,3,,500
Dram MK.II,supportships_lpdram,Modified Tanker,Luddic Path,burndrive,5,2500,400,1750,1,100,45,,120,100,75,50,75,200,OMNI,,90,0.5,1.2,,,15,25,15,20,1,20,10,20000,5,20,180,0.25,6,5,,,,,,,,LP_bp,,0.7,2,4,,500
Faraday,supportships_faraday,Support Frigate,High Tech,highenergyfocus,6,1800,200,2500,1,250,40,,100,90,75,35,80,250,FRONT,,270,0.3,0.8,,,20,30,40,30,1,30,10,20000,5,15,300,0.25,6,6,,,,,,,,"hightech_bp, merc",,0.7,2,3,,500
Gardener,supportships_gardener,Combat Freighter,Low Tech,flarelauncher,4,2000,300,1500,1,100,30,,120,90,75,60,120,300,OMNI,,80,0.4,0.8,,,10,20,110,50,1,50,10,13000,8,10,200,0.25,4,4,,,,,,,"CIVILIAN, FREIGHTER",base_bp,,0.5,2,2,,500
Maunder,supportships_maunder,Frigate,Midline,ammofeed,6,1800,350,3500,1,250,70,,130,110,90,60,90,200,FRONT,,240,0.4,0.8,,,15,30,30,30,1,30,10,10000,8,20,240,0.25,6,6,,,,,,,,"base_bp, merc",,0.5,2,2,,500
