id,type,text1,text2,text3,text4,notes
supportships_faraday,SHIP,"The Heavy Ion Beam project was an attempt by Tri-Tachyon to make a counter to the heavily armored but poorly shielded ships standard in Hegemony fleets by scaling up the very effective Ion Beam. 

The project was a complete disaster, with the gun being both an enormous and complex machine that was impossible to mount on any kind of turret, while also being not nearly powerful enough to be worth building it into the design of a capital ship. 

The only thing of any worth that came out of the project was the Faraday Class Frigate, which is essentially a Heavy Ion Beam with a ship built around it. It has been used successfully in Tri-Tachyon fleets as a pressure ship, forcing its enemies to keep their shields up or have their ship's controls lock up in a cascade of electrical failures. The ship however only has limited applicability by itself, as outside of the Heavy Ion Beam it is poorly armed.",,,,
supportships_lammergeier,SHIP,"The Lammergeier-Class Destroyer is a specialist design that has an integrated flux-fuel mixer, allowing it to dissipate flux rapidly in short bursts. It was designed to take advantage of the newest energy weapons that would normally bring a ship's flux systems to their knees.


The ship favors almost reckless aggression, especially as when the system is activated it forces the engines to maximum thrust to prevent overheating and jams within the engines. Many a captain has overestimated the power the system gives in the heat of combat, to dire consequences. However, those who can master the advantages they gain when using it are a terror on the battlefield.",,,,
supportships_lammergeierlg,SHIP,"Modified for operations in the Askonia system under orders from Supreme Executor Philip Andrada, this hull includes integrated solar shielding as well as a peculiar internal cladding provided by an industrial conglomerate out of Sindria itself. That the chief designer, appointed by the Supreme Executor for his many cycles of loyal service, sits on the board of that conglomerate is simply an example of the unity and efficiency of the Sindrian Polity.


The Lammergeier-Class Destroyer is a specialist design that has an integrated flux-fuel mixer, allowing it to dissipate flux rapidly in short bursts. It was designed to take advantage of the newest energy weapons that would normally bring a ship's flux systems to their knees.


The ship favors almost reckless aggression, especially as when the system is activated it forces the engines to maximum thrust to prevent overheating and jams within the engines. Many a captain has overestimated the power the system gives in the heat of combat, to dire consequences. However, those who can master the advantages they gain when using it are a terror on the battlefield.",,,,
supportships_carton,SHIP,"The creation of the Carton-Class Wing Carrier is often cited as a cautionary tale for ship designers. It was supposedly the result of a wild party. Domain bigwigs, in a ""fit of inspiration"" likely influenced by alcohol and other, much less legal substances, came up with the idea for a carrier that carries a singular fighter wing, allowing for ""maximal tactical and strategic flexibility"", and ""a cheap alternative to large carriers"". The design requirements were sent out to major ship manufacturers, and promptly forgotten as the party went on. 

One manufacturer, whose name is lost to time, was so confident with their design that they made an early mass production line even before the trial models were due. When the Carton was brought to the tests, the bigwigs realized that it was a terrible idea to jam a fighter wing into the size of a shipping container and rejected it. The manufacturer had to sell off its massive stockpile of Cartons to pay for its debts and ended up falling to bankruptcy.

The ship has seen use in modern times in many fleets to provide cheap fighter cover for those that lack funds or access to better options. ",,,,
supportships_cartonp,SHIP,"Pirate modifications of ships are on a varying scale of insanity. Some are just simple paintjobs, while others are unsafe total overhauls, often with dire consequences for their crews .

This modification of the Carton-Class Wing Carrier is one of the latter. From the outside, seemingly the only change is the replacement of the hangar with a large missile mount. But the sacrifices required to make that fit are immense. The fuel and cargo capacities are miniscule, everything is cramped, and the coffee maker was even taken out. This modification achieves its goals, but at a terrible cost.",,,,
supportships_dramlp,SHIP,"This light fuel tanker has been completely overhauled by the Pathers. Mounting points for guns are haphazardly cut into what used to be the main fuel tank, additional thrusters have been added, and large chunks of metal have been attatched to provide armor. This craft is fast and deadly, both to its enemies and crew, perfectly summing up Pather tactics.",,,,
supportships_nebulae,SHIP,"Nebulae-Class ships are more than just a slight modification with an archaic spelling, they are a total overhaul of a mostly useless transport. 

Although they look fairly similar to the original model from a glance, the paneling hides the fact that almost the entire front half of this ship has been gutted and replaced with a specialized system that allows this ship to vent its main gun's flux output while still protecting itself. This system allows it to have extremely oversized guns for its size. 

These ships are often found in the center of civilian convoys, providing unexpected resistance to piracy in otherwise defenceless fleets.",,,,
supportships_maunder,SHIP,"Maunder-Class Frigates are a common sight among many sorts of fleets, as it is an easily accessible option for those who want to pack a good amount of firepower. The convenient ammunition stowage and well-designed loading systems allows these small craft to fire at a blistering rate. 

The blueprint for this ship is supposedly based upon those of a transport craft, but the only surviving trace of that is the fairly large shuttle pad for a frigate. However, it is much too small to fit any forge capable of launching fighters.",,,,
supportships_maunderp,SHIP,"Maunder-Class Frigates are a common sight among many sorts of fleets, as it is an easily accessible option for those who want to pack a good amount of firepower. The convenient ammunition stowage and well-designed loading systems allows these small craft to fire at a blistering rate. 

In pirate fleets these ships are often converted into missile platforms. The robust loading systems of the original design are surprisingly easy to refit for missiles, allowing them to still be capable of outputting immense amounts of firepower for a ship of their size.

The blueprint for this ship is supposedly based upon those of a transport craft, but the only surviving trace of that is the fairly large shuttle pad for a frigate. However, it is much too small to fit any forge capable of launching fighters.",,,,
supportships_maunders,SHIP,"A rarity in this dark age, the original Maunder-Class Transport is a true luxury craft, with a miniature pool and hot tub, full sized kitchen, and large viewing domes. 

However, in modern times, this ship is very useless. Almost all blueprints for this ship have been modified for a combative purpose.",,,,
