id,type,text1,text2,text3,text4,notes
thg_outpost,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The Outpost was a relatively common drone carrier, known for deploying swarms of lighter craft alongside it's diverse, yet light, missile armament.",,,,
thg_charlatan,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

Phase technology is a rare sight among domain drones, with the Charlatan-class being a notable exception. It was one of the first vessels to employ the archaic ring-cloak system in an even further unrefined state than the ubiquitous Gremlin, as there was no need for specialized P-space shielding owing to the vessel's lack of an organic crew. They are not exceptional phase vessels by any modern standard and lack the ability to cloak in idle P-space, but are often employed en masse owing to the great ease of their production.",,,,
thg_kilt,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

One of the larger vessels to have ever made use of the archiac gremlin phase system, the Kilt-class is generally considered superior to the smaller, and slightly cheaper, Charlatan-class phase drone. However, it pays for it's marginally thicker armor plating and greater weapon compartmentalization with lower speed, while still sharing the same exceptionally unstable prototype cloak coil.",,,,
thg_castellan,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

A massive logistical supply ship fielded in spaces occupied by more well-developed explorarium autofactories, the Castellan is a- relatively speaking - miniaturized auto-foundry, supply depot, and survey ship all compacted into one. Though not explicity designed as a combat drone, it is heavily armed and armored nonetheless so as to survive intense asteroid-cracking operations and to provide support to defensive fleets which often times accompany it.",,,,
thg_canteen,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

Oft seen as a Castellan writ small, the Canteen is a compact, highly effecient mobile drone logistics vessel, equipped with a compact sensor suite and spacious cargo holds for supplying fuel and repairs to a greater autonomous fleet.",,,,
thg_luncheon,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

A small, yet extremely effecient autonomous supply drone, fitted with a decently-sized cargo hold and capacious fuel tanks, meant to supply modest autonomous domain fleets for relatively long periods of time.",,,,
thg_bulkhead,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

An odd sight among domain explorarium fleets, the Bulkhead is - unlike the much, much more common Ox - an exceptionally effecient, entirely autonomous drive-field tug vessel. These were often times employed among armadas of drone surveyors as they traveled the stars via realspace, boosting the otherwise rather sluggish great autofoundries across the cosmos. Also unlike the Ox, the Bulkhead carries a light, yet respectable arms package, as even it would be expected to fulfill a assault role should it be deemed necessary by the greater autonomous fleet.",,,,
thg_macahuitl,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

Considered by many to be unusually refined for a derelict vessel, the Maucahuitl is one of the few explorarium drones which is capable of effective flight both in and out of atmosphere. During times of conflict, great masses of these drones would fill the orbit of revolting nations, employing mass-bombing and precision strikes against the rebellious masses. In space, they're quite fragile, but pack a nasty punch in an exorbinantly nimble package.",,,,
thg_fisticuff,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

A no-nonsense design of combat drone, consisting of a large array of ammunition feed systems and munition stores neatly tucked away inside of a well-armored shell.",,,,
thg_deadbolt,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The larger brother of the Fisticuff drone, the Deadbolt fields notably heavier armament with slightly thicker armor and an even wider-spread Flak canister system, though all at the cost of speed, manueverability and all but the tiniest of cargo-capable crevices within the drone's hull.",,,,
