name,id,rarity,base_value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Cricket SRM Launcher,thg_cricket,,,1000,,200,,5,45,6,100,.2,,FRAGMENTATION,0,,0,5,10,0.1,0,0,0,0,,400,100,6,60,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, derelict, base_bp, hist1t, merc, ind",,,,Anti Small Craft,Fast,Excellent,,,,,,,,16.3
Micropulse Laser,thg_micropulse,,,600,,67,,0,30,14,20,2,,ENERGY,80,,0.05,0.05,1,,3,20,1,4,,1000,,,,,,,"energy18, base_bp, merc, ind, derelict",,,,General,,,,,,,,,,25
Cricket SRM Launcher (Fighter),thg_cricket_fighter,,,1000,,200,,5,45,0,20,1,,FRAGMENTATION,0,,0,4,10,0.12,0,0,0,0,,450,100,5,50,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE",,,,,Anti Small Craft,Fast,Excellent,,,,,,,,16.3
Thistle PD Cannon,thg_thistle,,,300,,25,,1,80,2,,,,FRAGMENTATION,1,,0,0.09,1,,0,14,1,10,,800,,,10,,,PD,"pd7, SR, merc, ind, base_bp, derelict",,,,Point Defense,,,,,,,,,,1
Zhuge Autocannon,thg_zhuge,,,850,,100,,16,15,8,,,,KINETIC,130,,0,.6,2,0.3,3,3,3,8.5,,800,,,75,,,,"kinetic18, base_bp, merc, ind, derelict",,,,Anti Shield,,,,,,,,,,7.25
Laggard Automortar,thg_laggard,,150,500,,75,,4,40,3,10,.8,,HIGH_EXPLOSIVE,65,,0,.4,1,,2,20,3.5,7,,550,,,10,,,,"he6, base_bp, ind, merc, derelict",,,,Anti Armor,,,,,,,,,,0.75
Mallet,thg_mallet,,,1200,,1500,,30,20,5,6,,,HIGH_EXPLOSIVE,0,,0,4.5,1,0.25,10,,0,0,,500,40,4,350,,,STRIKE,"strike10, rocket5, ind, missile_bp, merc, derelict",,,,Torpedo,Fast,None,,,,,,,TRUE,13.75
"Hammer-class Torpedo (Fighter, Single)",thg_hammer_fighter,,,1200,,1500,,30,10,,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,500,40,4,350,,,"DO_NOT_CONSERVE",,,,,Torpedo,Fast,None,,,,,,,TRUE,9.9
Rotary Kinetic Cannon,thg_rotaryk,,250,450,,40,,4,30,10,100,1.5,,KINETIC,50,,0,0.1,1,,0,20,1,10,,1000,,,30,,,,"he15, SR, lowtech_bp, midline_bp, merc, ind",,,,Anti Shield,,,,,,,,,,4.5
Sprinkler Rotary Strike Cannon,thg_rotarysmex,,,500,,30,,3,28,4,40,2,,HIGH_EXPLOSIVE,40,,0,0.1,1,,1,15,1,5,,750,,,30,,,,"he6, lowtech_bp, midline_bp, merc, ind",,,,Anti Armor,,,,,,,,,,3
Dual Rotary Kinetic Cannon,thg_rotaryklrg,,250,600,,40,,4,20,17,150,3.5,,KINETIC,50,,0,0.08,2,,0,30,1,10,,1000,,,30,,,,"he15, SR, lowtech_bp, midline_bp, merc, ind",,,,Anti Shield,,,,,,,,,,4.5
